analogValue,load,distance
20.67,79.25,5.96
20.66,79.00,5.94
20.65,78.90,5.96
20.65,78.94,5.96
20.58,77.86,5.94
20.64,78.72,5.94
20.62,78.48,5.96
20.67,79.14,5.96
20.64,78.70,5.96
20.62,78.49,5.94
20.73,80.07,5.94
20.62,78.50,5.94
25.29,134.97,6.01
74.15,543.36,6.18
50.89,360.34,6.55
51.43,364.62,6.48
51.13,362.25,7.25
49.74,351.23,7.55
51.37,364.12,7.84
48.53,341.63,7.78
48.34,340.13,8.56
46.62,326.46,9.32
46.67,326.86,9.20
47.02,329.68,9.51
46.49,325.45,9.44
46.21,323.25,10.16
46.76,327.57,10.51
46.26,323.66,10.80
46.22,323.29,11.59
45.84,320.25,11.52
44.46,309.34,11.81
43.94,305.18,12.17
45.27,315.75,12.45
43.81,304.15,12.83
44.43,309.13,13.12
43.81,304.15,13.78
43.30,300.18,14.14
43.14,298.83,14.45
43.79,304.01,13.95
42.92,297.00,14.68
42.21,291.11,15.45
44.37,308.64,15.81
42.99,297.60,15.69
43.14,298.85,16.45
42.57,294.05,16.81
42.01,289.37,17.10
41.89,288.41,17.03
42.71,295.23,17.34
42.20,290.97,17.70
42.36,292.35,18.41
42.45,293.10,18.77
42.92,297.04,19.12
41.67,286.51,19.46
42.55,293.94,19.77
41.63,286.26,19.72
41.63,286.23,20.42
41.29,283.39,20.37
40.90,280.11,21.56
40.18,274.07,21.74
39.45,267.99,21.66
40.21,274.33,22.02
40.59,277.51,22.78
40.16,273.91,22.24
40.89,280.03,22.54
34.26,224.59,23.21
16.43,3.74,22.68
15.97,0.00,22.29
15.94,0.00,22.34
15.99,0.00,22.44
15.97,0.00,22.03
15.95,0.00,21.34
15.97,0.00,20.98
15.95,0.00,20.62
15.92,0.00,20.26
15.92,0.00,19.48
15.88,0.00,19.19
15.92,0.00,19.36
15.93,0.00,18.90
15.94,0.00,18.55
15.93,0.00,17.88
15.97,0.00,17.93
15.94,0.00,17.95
15.90,0.00,17.70
15.97,0.00,16.93
15.90,0.00,16.57
15.91,0.00,15.79
15.92,0.00,16.28
15.87,0.00,15.09
15.95,0.00,15.21
15.91,0.00,14.79
15.94,0.00,14.50
15.92,0.00,14.14
15.97,0.00,13.37
15.94,0.00,13.02
15.93,0.00,12.35
15.92,0.00,12.30
15.92,0.00,12.11
15.94,0.00,11.65
15.90,0.00,11.72
15.96,0.00,11.35
15.95,0.00,10.58
15.93,0.00,10.70
15.95,0.00,10.34
15.95,0.00,9.68
15.92,0.00,9.27
15.96,0.00,8.92
15.89,0.00,8.52
15.93,0.00,8.32
15.92,0.00,7.86
15.93,0.00,7.50
15.93,0.00,7.21
15.95,0.00,6.86
15.91,0.00,6.50
15.90,0.00,6.14
15.90,0.00,6.04
15.92,0.00,5.97
15.94,0.00,5.97
15.93,0.00,5.97
15.92,0.00,5.99
15.95,0.00,5.97
15.92,0.00,5.97
