analogValue,load,distance
16.13,0.00,5.97
16.17,0.00,5.97
16.19,0.00,5.96
16.14,0.00,6.09
16.03,0.00,5.99
16.11,0.00,6.04
16.06,0.00,5.97
16.11,0.00,5.99
16.08,0.00,6.21
16.18,0.00,6.11
16.12,0.00,6.38
16.26,0.11,7.13
19.48,61.26,7.54
52.10,369.97,7.84
63.40,459.32,8.13
64.64,469.09,8.49
60.76,438.48,9.20
56.18,402.27,9.15
56.90,407.98,9.44
55.40,396.12,9.80
56.57,405.33,10.16
54.22,386.71,10.45
53.83,383.63,11.21
53.38,380.05,11.52
54.42,388.32,11.47
53.74,382.97,11.83
53.30,379.44,12.11
52.24,371.03,12.05
52.41,372.36,12.34
51.81,367.60,12.69
51.82,367.74,13.42
54.96,392.60,13.36
54.71,390.61,13.54
54.51,389.05,14.43
51.49,365.10,15.09
48.87,344.32,15.81
49.65,350.54,16.15
49.64,350.40,16.10
49.16,346.59,16.03
49.55,349.71,16.74
49.69,350.79,16.69
52.07,369.67,17.41
50.95,360.79,17.34
50.04,353.61,17.70
50.66,358.49,18.05
49.80,351.66,18.36
50.63,358.27,18.70
49.22,347.06,18.60
48.46,341.10,18.94
50.19,354.77,19.65
48.14,338.53,20.01
49.04,345.65,20.77
48.82,343.96,21.08
50.47,356.98,21.01
48.40,340.60,21.66
50.27,355.39,22.37
48.65,342.55,22.31
49.40,348.52,22.25
49.40,348.51,22.12
49.69,350.86,22.88
49.03,345.58,23.60
50.34,356.02,23.96
42.70,295.19,24.62
30.63,192.65,24.19
16.36,2.33,23.84
16.10,0.00,23.17
16.06,0.00,23.22
16.10,0.00,22.56
16.15,0.00,22.61
16.13,0.00,22.20
16.08,0.00,21.56
16.14,0.00,21.54
16.14,0.00,21.15
16.08,0.00,20.49
16.10,0.00,19.62
16.13,0.00,19.35
16.15,0.00,19.35
16.19,0.00,19.01
16.08,0.00,18.77
16.12,0.00,18.36
16.15,0.00,18.05
16.12,0.00,17.70
16.18,0.00,17.34
16.13,0.00,16.98
16.09,0.00,16.79
16.11,0.00,16.33
16.05,0.00,15.98
16.07,0.00,16.03
16.11,0.00,15.26
16.10,0.00,15.33
16.06,0.00,14.97
16.09,0.00,14.62
16.08,0.00,14.26
16.13,0.00,13.59
16.07,0.00,13.54
16.10,0.00,13.25
16.11,0.00,12.57
16.12,0.00,12.23
16.22,0.00,11.88
16.06,0.00,11.42
16.11,0.00,11.06
16.14,0.00,11.18
16.07,0.00,10.92
16.12,0.00,10.06
16.13,0.00,9.70
16.15,0.00,8.92
16.15,0.00,8.98
16.07,0.00,8.80
16.11,0.00,8.39
16.06,0.00,7.98
16.17,0.00,7.62
16.13,0.00,7.37
16.11,0.00,6.91
16.07,0.00,6.72
16.10,0.00,6.26
16.06,0.00,6.04
16.04,0.00,6.07
16.00,0.00,5.97
16.06,0.00,5.97
16.13,0.00,6.07
16.17,0.00,6.07
