analogValue,load,distance
16.11,0,5.97
16.17,0,5.97
16.17,0,5.89
16.2,0,6.07
16.15,0,5.92
16.23,0,5.97
16.18,0,5.97
16.17,0,5.94
16.22,0,5.97
16.19,0,5.84
16.19,0,5.99
16.41,3.41,6.84
32.28,208,7.13
65.64,476.99,7.44
81.9,603.46,7.72
62.42,451.58,8.15
65.72,477.65,8.44
57.94,416.21,8.8
60.75,438.39,8.68
55.39,396.02,9.39
55.97,400.65,9.73
56.74,406.73,10.45
54.25,386.96,10.82
54.52,389.09,10.74
53.33,379.69,11.45
54.39,388.09,11.81
53.31,379.52,12.17
53.02,377.24,12.47
52.79,375.43,12.83
51.89,368.3,12.76
53.23,378.93,13.37
53.06,377.53,13.31
53.1,377.87,14.09
52.04,369.47,13.65
53.13,378.13,14
52.25,371.09,14.67
53.12,378,15.07
52.36,371.98,15.74
53.13,378.09,16.1
51.76,367.2,15.98
50.68,358.68,16.33
51.1,362.03,16.69
50.64,358.32,17.46
50.79,359.57,17.76
50.34,356.01,17.7
51.87,368.12,18.05
51.17,362.57,18.77
50.87,360.16,18.7
50.21,354.92,19.41
50.31,355.77,19.36
50.94,360.73,19.72
50.45,356.84,20.01
49.77,351.44,20.37
50.56,357.76,21.13
49.76,351.39,21.44
49.46,348.96,21.66
50.06,353.74,22.02
49.17,346.68,22.31
49.29,347.63,22.66
49.22,347.12,23.02
49.17,346.73,23.31
48.65,342.56,24.08
49.23,347.14,24.43
49.01,345.44,24.79
48.78,343.61,24.74
41.97,289.02,24.96
17.28,21.84,24.86
16.25,0,24.76
16.18,0,24.45
16.12,0,24.09
16.21,0,23.74
16.11,0,23.11
16.19,0,22.85
16.19,0,22.49
16.22,0,22.14
16.12,0,21.68
16.16,0,21.44
16.18,0,20.96
16.06,0,20.3
16.13,0,20.37
16.16,0,19.55
16.12,0,19.19
16.11,0,18.92
16.25,0,18.55
16.18,0,18.55
16.14,0,18.29
16.1,0,17.98
16.14,0,17.58
16.15,0,17.27
16.1,0,17.34
16.15,0,17
16.13,0,16.62
16.12,0,16.38
16.18,0,15.45
16.07,0,14.73
16.11,0,14.38
16.18,0,14.12
16.13,0,13.66
16.14,0,13.31
16.18,0,12.97
16.14,0,12.61
16.11,0,12.25
16.1,0,11.96
16.13,0,11.71
16.16,0,11.23
16.14,0,10.97
16.12,0,10.94
16.14,0,10.58
16.12,0,9.82
16.13,0,9.94
16.14,0,9.2
16.08,0,8.92
16.19,0,8.15
16.2,0,7.67
16.11,0,7.74
16.11,0,7.49
16.17,0,7.5
16.16,0,6.74
16.12,0,6.06
16.18,0,5.73
16.13,0,6.06
