analogValue,load,distance
15.98,0.31,5.99
16.01,0.82,5.96
15.94,0.00,6.09
16.00,0.66,6.01
15.96,0.00,5.97
15.97,0.00,5.99
15.95,0.00,5.97
15.96,0.00,5.99
16.01,0.96,5.94
15.99,0.39,5.96
16.00,0.72,6.19
17.93,43.40,6.48
71.23,523.76,6.77
67.04,491.12,7.54
59.25,429.55,7.44
59.43,430.95,7.37
57.26,413.86,8.13
56.33,406.46,8.44
56.17,405.24,8.80
53.90,387.25,8.68
53.57,384.58,9.44
51.75,370.14,10.21
52.63,377.17,10.51
52.54,376.44,10.86
53.90,387.19,10.75
54.18,389.47,11.09
53.80,386.44,11.40
51.40,367.38,11.76
52.06,372.59,12.05
51.49,368.07,12.40
52.42,375.50,12.28
51.43,367.61,13.05
50.47,360.01,13.36
51.52,368.34,14.12
50.72,362.01,14.31
50.49,360.14,14.67
50.08,356.90,15.02
50.51,360.28,15.74
51.40,367.38,15.69
49.62,353.27,15.62
50.50,360.24,15.93
49.93,355.72,15.86
50.19,357.75,16.57
48.28,342.63,16.93
49.29,350.62,17.27
49.57,352.82,17.58
49.19,349.80,18.36
48.66,345.65,18.70
49.35,351.11,18.60
49.18,349.73,19.35
49.40,351.52,19.65
48.95,347.90,20.01
48.71,346.06,20.37
49.71,353.98,20.66
49.45,351.88,21.01
49.12,349.25,21.37
49.61,353.15,21.54
49.19,349.79,21.54
48.31,342.83,21.44
48.70,345.95,22.12
48.44,343.85,22.43
47.79,338.71,22.78
48.20,341.95,23.07
27.31,161.02,23.12
16.02,1.05,22.92
15.96,0.00,22.51
15.97,0.01,22.66
15.95,0.00,21.80
15.99,0.45,21.56
15.92,0.00,21.61
15.97,0.00,21.20
15.92,0.00,20.84
15.96,0.00,20.18
15.93,0.00,19.72
15.94,0.00,19.36
15.91,0.00,19.02
15.89,0.00,18.66
15.94,0.00,18.31
15.97,0.00,18.00
15.94,0.00,18.17
15.91,0.00,17.73
15.92,0.00,17.46
15.95,0.00,17.10
15.92,0.00,16.74
15.92,0.00,16.40
15.93,0.00,16.45
15.92,0.00,16.10
15.96,0.00,15.43
15.91,0.00,14.97
15.93,0.00,14.67
15.90,0.00,13.90
15.92,0.00,13.65
15.91,0.00,12.88
15.93,0.00,12.83
15.98,0.16,13.00
15.95,0.00,12.18
15.99,0.56,11.94
15.96,0.00,11.48
15.96,0.00,11.54
15.94,0.00,11.18
15.94,0.00,10.41
15.91,0.00,10.06
15.99,0.50,9.87
15.93,0.00,9.41
15.99,0.41,9.15
15.94,0.00,8.69
15.93,0.00,8.39
15.91,0.00,8.13
15.94,0.00,7.67
15.93,0.00,7.44
15.92,0.00,7.38
15.95,0.00,6.62
15.96,0.00,6.26
15.93,0.00,6.07
15.92,0.00,5.99
15.92,0.00,6.09
15.96,0.00,5.99
16.00,0.71,5.96
15.97,0.00,5.97
15.93,0.00,6.07
15.92,0.00,5.97
