analogValue,load,distance
16.05,0.00,5.99
16.04,0.00,6.07
16.05,0.00,5.99
16.03,0.00,5.97
16.01,0.00,5.97
16.03,0.00,6.07
16.03,0.00,6.14
16.05,0.00,6.50
16.04,0.00,6.53
16.09,0.00,7.15
37.16,256.18,8.03
67.83,500.87,7.84
68.10,503.00,8.20
58.47,427.01,8.56
61.77,453.02,9.27
54.59,396.39,9.20
55.74,405.43,9.97
54.64,396.79,9.85
52.45,379.47,10.21
52.88,382.86,10.92
51.18,369.41,10.86
50.87,366.95,11.64
50.14,361.19,11.52
49.94,359.65,11.86
51.27,370.17,12.64
49.13,353.21,12.95
50.63,365.04,13.29
49.63,357.18,13.19
49.23,354.01,13.53
50.92,367.33,14.21
49.13,353.20,14.50
49.17,353.52,14.55
49.05,352.59,15.14
49.19,353.70,15.50
49.71,357.79,15.86
48.06,344.78,16.21
49.70,357.76,16.57
48.05,344.72,16.45
48.36,347.14,16.81
49.00,352.17,17.52
47.82,342.84,17.87
48.22,346.05,18.22
48.36,347.15,18.53
47.88,343.32,18.87
48.11,345.20,18.82
49.78,358.37,19.53
48.71,349.92,19.46
47.26,338.45,19.82
47.08,337.03,20.13
47.46,340.05,20.47
47.31,338.85,20.83
46.82,334.97,21.57
47.72,342.05,21.76
47.64,341.44,21.73
47.55,340.74,22.48
46.82,334.95,22.77
46.75,334.41,23.12
47.71,342.01,23.48
47.52,340.51,23.84
47.48,340.16,24.14
47.39,339.48,24.48
46.95,335.99,24.84
46.75,334.45,25.20
43.71,310.40,25.91
18.68,58.11,25.79
16.05,0.00,25.45
16.02,0.00,24.57
16.02,0.00,24.31
16.01,0.00,23.85
15.95,0.00,23.92
16.01,0.00,23.28
16.06,0.00,22.92
16.01,0.00,22.56
15.99,0.00,21.85
16.02,0.00,21.51
16.02,0.00,21.25
16.03,0.00,20.79
16.03,0.00,20.43
16.02,0.00,20.08
16.03,0.00,19.74
16.01,0.00,19.36
16.02,0.00,19.53
16.02,0.00,19.18
16.00,0.00,18.72
16.04,0.00,18.36
16.02,0.00,18.00
16.03,0.00,17.75
16.03,0.00,17.46
16.00,0.00,17.10
16.03,0.00,16.33
16.01,0.00,16.38
16.03,0.00,15.62
16.04,0.00,15.69
15.99,0.00,15.33
16.03,0.00,15.07
15.98,0.00,14.21
16.02,0.00,13.83
16.01,0.00,13.49
16.04,0.00,13.14
16.04,0.00,13.19
16.01,0.00,12.57
16.01,0.00,12.13
16.03,0.00,11.76
16.04,0.00,11.42
16.02,0.00,11.06
15.98,0.00,10.70
16.02,0.00,10.75
15.98,0.00,10.41
15.99,0.00,9.70
16.02,0.00,9.34
15.98,0.00,8.98
15.97,0.00,8.63
16.03,0.00,8.29
16.00,0.00,7.93
16.02,0.00,7.55
16.00,0.00,7.20
16.03,0.00,6.86
16.00,0.00,6.50
15.98,0.00,6.30
15.98,0.00,6.04
16.00,0.00,5.97
