analogValue,load,distance
15.92,0.00,5.97
15.92,0.00,6.07
15.95,0.00,5.96
15.89,0.00,5.97
15.94,0.00,5.99
15.89,0.00,5.97
15.92,0.00,5.97
15.96,0.00,6.02
15.90,0.00,5.99
15.94,0.00,5.97
15.95,0.00,6.04
15.97,0.00,6.26
24.67,135.09,6.65
70.35,520.51,6.96
56.72,413.20,7.32
52.01,376.00,7.61
49.58,356.79,8.39
51.05,368.41,8.25
48.16,345.56,8.61
48.94,351.70,8.97
49.63,357.14,9.27
47.87,343.26,9.97
48.67,349.58,9.92
47.29,338.68,10.28
47.47,340.13,10.57
48.97,351.96,10.92
46.25,330.49,11.64
47.16,337.69,11.57
46.23,330.34,12.35
46.53,332.67,12.64
47.42,339.72,12.59
46.38,331.52,13.34
47.21,338.04,13.24
46.38,331.52,13.59
46.22,330.27,14.19
46.19,329.99,14.24
44.66,317.88,14.85
45.96,328.19,14.79
46.42,331.83,15.57
46.97,336.16,15.93
46.59,333.16,16.21
46.60,333.22,16.57
46.39,331.56,16.86
44.94,320.14,16.81
45.19,322.12,17.58
44.78,318.83,17.87
45.63,325.55,18.22
45.62,325.50,18.58
45.57,325.14,18.89
45.27,322.70,18.82
47.04,336.74,19.58
46.73,334.29,19.87
46.72,334.21,20.25
46.76,334.54,20.54
47.07,336.94,20.89
46.96,336.05,20.84
45.94,328.01,21.54
46.41,331.73,21.49
45.19,322.12,22.07
45.56,325.01,22.41
46.27,330.65,22.78
45.36,323.45,23.12
42.16,298.12,23.43
38.53,267.69,23.48
33.51,225.58,23.48
16.01,0.00,22.75
15.89,0.00,22.97
15.92,0.00,22.51
15.82,0.00,22.25
15.89,0.00,21.80
15.85,0.00,21.44
15.91,0.00,21.08
15.89,0.00,20.32
15.88,0.00,20.43
15.83,0.00,19.65
15.90,0.00,19.29
15.88,0.00,18.94
15.88,0.00,18.60
15.85,0.00,18.32
15.87,0.00,18.41
15.86,0.00,18.04
15.92,0.00,17.70
15.88,0.00,17.34
15.90,0.00,16.98
15.87,0.00,16.69
15.91,0.00,15.93
15.89,0.00,15.57
15.82,0.00,15.62
15.86,0.00,14.85
15.86,0.00,15.01
15.92,0.00,14.55
15.88,0.00,14.19
15.87,0.00,13.83
15.90,0.00,13.12
15.90,0.00,12.78
15.85,0.00,12.42
15.85,0.00,12.57
15.88,0.00,12.11
15.86,0.00,11.35
15.90,0.00,11.42
15.88,0.00,11.11
15.87,0.00,10.34
15.88,0.00,9.99
15.84,0.00,9.73
15.83,0.00,9.34
15.90,0.00,8.98
15.89,0.00,8.63
15.88,0.00,8.27
15.83,0.00,7.91
15.86,0.00,7.62
15.85,0.00,7.27
15.86,0.00,6.91
15.87,0.00,6.55
15.86,0.00,6.19
15.89,0.00,6.02
15.89,0.00,5.97
15.86,0.00,5.97
15.87,0.00,6.07
15.87,0.00,5.97
15.85,0.00,5.97
15.91,0.00,5.97
