analogValue,load,distance
21.91,103.99,25.73
21.92,104.09,25.74
21.90,103.93,25.73
21.94,104.37,26.15
21.94,104.30,26.10
21.97,104.71,25.74
21.96,104.58,25.74
21.98,104.83,25.74
21.90,103.91,25.73
21.90,103.94,25.73
21.93,104.27,25.74
21.90,103.92,25.74
21.94,104.32,25.73
21.92,104.14,25.73
21.95,104.42,25.73
21.94,104.35,25.74
21.96,104.56,25.74
21.92,104.12,25.73
21.95,104.46,25.73
21.92,104.11,25.74
21.93,104.18,25.74
21.93,104.24,25.73
21.92,104.14,25.74
21.95,104.48,25.73
21.93,104.18,25.73
21.92,104.07,25.74
21.93,104.19,25.74
21.93,104.27,25.73
21.96,104.54,25.73
21.94,104.35,25.74
21.93,104.26,25.73
21.97,104.67,25.73
21.94,104.36,25.73
21.93,104.18,25.74
21.96,104.53,25.73
21.94,104.36,25.73
21.92,104.10,25.73
21.91,104.05,25.74
21.89,103.79,25.73
21.93,104.23,25.74
21.88,103.62,25.74
21.89,103.81,25.73
21.92,104.11,25.73
21.94,104.30,25.74
21.91,104.00,25.74
21.94,104.39,25.73
21.93,104.18,25.73
21.94,104.35,25.74
21.89,103.80,25.73
21.95,104.45,25.73
21.92,104.13,25.74
21.92,104.08,25.73
21.92,104.11,25.73
21.89,103.81,25.73
21.91,103.97,25.73
21.92,104.11,25.73
21.95,104.47,25.74
21.93,104.26,25.73
21.95,104.48,25.73
21.91,104.05,25.73
21.93,104.29,25.73
21.94,104.31,25.73
21.91,104.01,25.73
21.96,104.62,25.73
21.94,104.29,25.74
21.91,104.03,25.73
21.93,104.22,25.74
21.90,103.87,25.74
21.94,104.32,25.74
21.97,104.64,25.73
21.92,104.10,25.74
21.91,103.97,25.73
21.96,104.52,25.73
21.95,104.43,25.74
21.92,104.13,25.74
21.90,103.86,25.74
21.96,104.52,25.74
21.89,103.80,25.74
21.91,104.03,25.74
21.97,104.63,25.74
21.94,104.31,25.74
21.93,104.26,25.73
21.94,104.39,25.74
21.94,104.34,25.73
21.90,103.89,25.73
21.93,104.29,25.74
21.93,104.18,25.73
21.91,103.99,25.74
21.91,103.97,25.74
21.97,104.64,25.74
21.95,104.49,25.73
21.95,104.48,25.74
21.94,104.30,25.73
21.95,104.40,25.74
21.94,104.35,25.73
21.89,103.79,25.74
21.92,104.14,25.74
21.92,104.07,25.74
21.92,104.15,25.74
21.92,104.16,25.73
21.94,104.29,25.73
21.95,104.48,25.73
21.93,104.26,25.73
21.94,104.30,25.74
21.92,104.11,25.74
21.91,104.03,25.74
21.93,104.24,25.74
21.91,103.98,25.74
21.89,103.83,25.74
21.93,104.22,25.74
21.93,104.20,25.73
21.94,104.39,25.73
21.95,104.43,25.73
21.92,104.13,25.73
21.94,104.39,25.73
21.92,104.16,25.73
21.92,104.13,25.74
21.95,104.50,25.74
21.91,104.00,25.73
21.91,103.96,25.73
21.92,104.16,25.73
