analogValue,load,distance
16.08,0,5.97
16.11,0,5.96
16.11,0,6.07
16.14,0,6.07
16.07,0,5.99
16.07,0,5.97
16.11,0,5.97
16.06,0,5.97
16.08,0,5.97
16.09,0,5.97
16.14,0,5.99
16.11,0,6.36
16.1,0,6.65
26.12,151.37,7.01
76.9,571.63,7.25
54.8,398.03,7.66
66.86,493.22,7.96
57.89,422.44,8.68
58.22,425.04,8.63
57.38,418.41,8.97
55.7,405.15,9.32
57.25,417.37,9.63
56.42,410.81,10.4
54.09,392.41,10.28
54.13,392.74,10.62
55.88,406.52,10.99
52.63,380.91,11.71
54.18,393.15,11.64
52.21,377.55,12.4
54.74,397.53,12.69
53.45,387.34,12.64
52.24,377.83,13
54.05,392.09,13.71
51.3,370.4,13.65
53.09,384.52,14
52.37,378.81,14.62
51.93,375.33,14.65
53.05,384.16,15.31
51.96,375.54,16.04
53.15,385.01,15.98
50.76,366.08,15.91
51.61,372.81,16.67
52.7,381.39,16.98
51.08,368.66,17.34
51.47,371.69,17.27
51.78,374.18,17.98
51.18,369.41,18.34
51.93,375.36,18.7
49.86,358.99,19.06
51.56,372.43,19.35
49.99,360,19.7
51.41,371.22,19.63
50.61,364.93,20.42
50.54,364.33,20.71
50.54,364.33,20.66
50.8,366.43,21.42
49.83,358.79,21.59
49.9,359.3,21.95
49.41,355.46,22.29
49.17,353.58,22.65
48.01,344.41,22.95
49.78,358.37,22.88
48.42,347.63,23.26
47.11,337.3,24.02
47.69,341.84,24.31
43.04,305.09,25.03
37.69,260.62,25.08
16.2,1.78,24.77
16.1,0,23.92
16.08,0,23.68
16.07,0,22.99
16.06,0,23.04
16.08,0,22.8
16.1,0,22.43
16.05,0,21.98
16.1,0,21.3
16.1,0,20.84
16.08,0,20.49
16.07,0,20.66
16.11,0,20.2
16.08,0,19.48
16.08,0,19.23
16.07,0,19.19
16.08,0,18.84
16.1,0,18.58
16.08,0,18.22
16.07,0,17.87
16.06,0,17.51
16.08,0,16.74
16.08,0,16.38
16.1,0,16.03
16.1,0,16.1
16.05,0,15.74
16.11,0,15.38
16.09,0,15.02
16.07,0,14.77
16.05,0,14.43
16.07,0,14.05
16.09,0,13.66
16.08,0,12.9
16.09,0,12.52
16.07,0,12.18
16.09,0,11.84
16.07,0,11.48
16.07,0,11.54
16.09,0,11.18
16.07,0,10.87
16.06,0,10.11
16.07,0,9.75
16.1,0,9.39
16.07,0,9.05
16.11,0,8.68
16.06,0,8.75
16.09,0,7.98
16.07,0,7.62
16.05,0,7.32
16.05,0,7.06
16.09,0,6.62
16.07,0,6.26
16.07,0,6.04
16.05,0,6.07
