analogValue,load,distance
15.97,0.00,5.97
15.99,0.00,5.99
15.97,0.00,5.99
15.95,0.00,5.99
15.99,0.00,6.07
15.95,0.00,5.97
15.96,0.00,5.97
15.97,0.00,5.97
15.94,0.00,5.97
15.89,0.00,5.97
15.97,0.00,5.97
15.91,0.00,5.97
15.95,0.00,5.97
15.96,0.00,5.97
15.88,0.00,6.06
15.94,0.00,6.09
15.95,0.00,6.74
15.97,0.00,7.03
29.95,194.46,7.91
74.35,551.74,7.32
47.84,343.06,8.08
55.88,406.53,8.44
47.50,340.35,9.15
49.62,357.10,9.09
50.37,363.02,9.39
47.03,336.62,9.73
48.99,352.12,10.04
46.37,331.44,10.80
47.26,338.47,10.28
46.58,333.10,11.45
46.65,333.66,11.33
47.18,337.86,12.05
46.98,336.25,12.00
47.50,340.33,12.34
46.91,335.66,13.05
46.30,330.85,13.00
46.66,333.75,13.70
45.79,326.87,14.00
45.40,323.72,13.85
46.79,334.75,14.56
44.11,313.57,14.90
45.77,326.66,15.21
45.74,326.42,15.55
46.74,334.35,15.93
44.42,316.04,16.21
44.72,318.36,16.57
44.76,318.72,16.45
44.09,313.43,17.22
45.31,323.07,17.52
44.54,316.95,17.87
44.29,314.99,18.17
45.61,325.39,18.53
44.83,319.26,18.82
44.74,318.51,18.75
43.91,311.99,19.52
44.19,314.24,19.41
43.15,306.00,20.13
43.75,310.69,20.06
43.74,310.63,20.77
42.66,302.14,20.71
45.03,320.80,21.01
43.28,307.01,21.37
44.45,316.24,21.66
43.71,310.40,22.31
43.05,305.18,22.19
42.92,304.18,22.95
43.71,310.40,23.24
42.97,304.53,23.60
43.90,311.91,23.91
43.52,308.93,24.26
38.59,268.13,24.38
36.12,247.43,24.38
16.20,4.90,24.04
15.92,0.00,23.68
15.97,0.00,23.46
15.93,0.00,23.11
15.93,0.00,22.75
15.96,0.00,22.03
15.91,0.00,21.68
15.93,0.00,21.34
15.94,0.00,21.46
15.91,0.00,21.20
15.91,0.00,20.32
15.91,0.00,19.96
15.90,0.00,20.03
15.90,0.00,19.67
15.94,0.00,18.95
15.90,0.00,18.70
15.97,0.00,18.66
15.95,0.00,18.31
15.95,0.00,18.05
15.90,0.00,17.75
15.92,0.00,17.39
15.88,0.00,17.05
15.93,0.00,16.76
15.88,0.00,16.06
15.91,0.00,16.15
15.89,0.00,15.28
15.93,0.00,15.33
15.89,0.00,14.97
15.92,0.00,14.26
15.89,0.00,13.90
15.91,0.00,13.97
15.92,0.00,13.66
15.91,0.00,13.31
15.92,0.00,12.95
15.92,0.00,12.18
15.87,0.00,12.25
15.93,0.00,11.54
15.89,0.00,11.59
15.88,0.00,11.35
15.89,0.00,10.87
15.94,0.00,10.17
15.94,0.00,9.82
15.92,0.00,9.87
15.93,0.00,9.10
15.90,0.00,8.81
15.92,0.00,8.46
15.88,0.00,8.10
15.90,0.00,7.74
15.94,0.00,7.38
