analogValue,load,distance
15.92,0.00,5.97
15.98,0.00,5.97
15.94,0.00,5.97
15.96,0.00,6.07
15.94,0.00,5.97
15.98,0.00,6.07
15.98,0.00,5.99
15.94,0.00,5.97
15.98,0.00,5.99
15.92,0.00,5.97
15.94,0.00,5.97
15.95,0.00,6.55
15.98,0.00,6.43
35.43,241.64,6.89
73.25,543.10,7.20
62.59,459.53,7.54
63.09,463.47,7.84
59.10,431.97,7.79
57.51,419.38,8.49
55.52,403.73,9.26
53.52,387.93,9.61
52.86,382.71,9.92
53.73,389.53,9.85
53.46,387.44,10.63
52.45,379.45,10.51
53.15,385.01,11.21
52.69,381.38,10.75
53.38,386.84,11.47
51.73,373.78,11.83
52.60,380.63,12.11
51.34,370.65,12.88
52.38,378.87,12.76
51.54,372.26,13.12
52.52,379.99,13.88
48.81,350.71,13.76
49.73,358.00,14.48
51.64,373.09,14.31
52.59,380.59,15.06
52.65,381.04,15.38
52.65,381.01,15.67
52.57,380.36,16.03
52.23,377.69,16.33
52.13,376.96,16.69
53.62,388.67,17.03
53.91,391.01,17.34
53.86,390.59,17.64
52.72,381.60,17.98
53.22,385.56,18.34
52.35,378.66,18.65
54.37,394.61,18.99
54.03,391.91,19.29
51.60,372.70,19.24
55.09,400.34,19.94
54.28,393.91,19.89
53.32,386.30,20.59
53.28,386.01,20.54
53.09,384.54,21.25
52.73,381.63,21.18
55.27,401.75,21.49
52.95,383.39,21.71
53.47,387.52,22.00
53.11,384.69,22.77
52.43,379.30,22.65
50.62,365.00,23.14
49.94,359.61,23.12
49.97,359.85,23.12
49.91,359.41,23.12
49.82,358.69,23.12
49.73,357.93,23.14
49.75,358.15,23.14
49.73,357.96,23.12
49.79,358.44,23.14
38.04,263.53,23.07
16.09,1.42,22.49
15.97,0.00,22.51
15.92,0.00,22.25
15.95,0.00,21.39
15.95,0.00,21.03
15.97,0.00,21.10
15.92,0.00,20.47
15.93,0.00,20.03
15.90,0.00,19.77
15.92,0.00,19.72
15.89,0.00,19.36
15.92,0.00,19.06
15.92,0.00,18.29
15.86,0.00,18.36
15.89,0.00,18.00
15.89,0.00,17.76
15.89,0.00,17.39
15.90,0.00,17.10
15.94,0.00,16.74
15.92,0.00,15.98
15.91,0.00,16.04
15.90,0.00,15.67
15.94,0.00,15.43
15.90,0.00,15.04
15.94,0.00,14.36
15.93,0.00,13.90
15.92,0.00,13.54
15.95,0.00,13.61
15.93,0.00,13.00
15.88,0.00,12.95
15.93,0.00,12.18
15.95,0.00,11.83
15.97,0.00,12.00
15.90,0.00,11.11
15.92,0.00,10.82
15.91,0.00,10.57
15.98,0.00,10.11
15.94,0.00,9.75
15.92,0.00,9.41
15.90,0.00,9.05
15.95,0.00,8.75
15.90,0.00,8.39
15.89,0.00,7.62
15.91,0.00,7.67
15.92,0.00,7.32
15.95,0.00,7.44
15.86,0.00,7.10
15.86,0.00,6.31
