analogValue,load,distance
15.95,0.00,5.97
15.97,0.00,5.97
15.99,0.00,5.99
15.96,0.00,5.99
15.95,0.00,5.96
15.97,0.00,5.97
15.97,0.00,6.09
15.98,0.00,6.07
15.97,0.00,5.97
15.97,0.00,5.99
15.95,0.00,5.97
16.02,0.00,6.07
15.94,0.00,5.99
15.98,0.00,6.07
15.94,0.00,6.43
15.97,0.00,6.79
16.03,0.00,7.10
45.60,325.32,7.96
71.72,531.17,7.78
47.64,341.46,8.13
54.85,398.42,8.49
51.92,375.27,8.80
48.20,345.85,9.14
48.31,346.78,9.92
46.65,333.60,9.80
49.93,359.52,10.16
48.82,350.81,10.46
45.94,328.02,10.80
47.74,342.25,11.11
47.29,338.66,11.47
47.82,342.85,12.23
48.78,350.48,12.11
48.43,347.66,12.88
50.76,366.08,12.76
48.46,347.94,13.53
48.86,351.07,13.32
50.85,366.85,14.09
48.30,346.65,14.38
48.20,345.90,14.33
50.25,362.10,14.72
50.80,366.41,14.97
50.79,366.32,15.69
48.96,351.86,16.03
49.71,357.77,16.38
47.32,338.89,16.69
48.98,352.06,17.05
46.91,335.66,17.34
49.60,356.97,17.71
50.27,362.25,18.00
48.12,345.23,18.36
48.92,351.59,18.72
47.70,341.90,18.58
47.86,343.17,18.94
47.85,343.11,19.24
48.08,344.93,19.58
49.43,355.57,20.30
49.63,357.16,20.25
47.75,342.31,20.96
49.72,357.92,20.89
48.47,348.04,21.68
47.28,338.60,21.54
48.62,349.20,22.19
49.15,353.36,22.07
48.76,350.29,22.43
47.90,343.53,23.14
45.95,328.13,23.50
48.62,349.19,23.79
44.72,318.40,24.38
42.48,300.66,24.02
42.35,299.68,24.02
42.31,299.33,24.02
41.63,293.68,24.01
16.22,5.76,23.79
15.97,0.00,23.46
15.94,0.00,22.70
15.98,0.00,22.85
15.92,0.00,22.08
15.93,0.00,21.69
15.96,0.00,21.74
15.92,0.00,21.49
15.93,0.00,21.03
15.95,0.00,20.67
15.94,0.00,19.96
15.93,0.00,19.60
15.93,0.00,19.24
15.90,0.00,19.31
15.92,0.00,18.95
15.90,0.00,18.66
15.95,0.00,18.41
15.92,0.00,17.95
15.92,0.00,17.70
15.94,0.00,17.34
15.94,0.00,16.98
15.93,0.00,16.69
15.94,0.00,16.33
15.90,0.00,15.98
15.92,0.00,15.21
15.95,0.00,15.26
15.94,0.00,14.90
15.91,0.00,14.56
15.92,0.00,13.83
15.92,0.00,13.49
15.92,0.00,13.14
15.93,0.00,12.78
15.95,0.00,12.90
15.90,0.00,12.23
15.92,0.00,11.77
15.93,0.00,11.42
15.93,0.00,11.06
15.92,0.00,11.13
15.90,0.00,10.41
15.95,0.00,10.06
15.95,0.00,9.70
15.90,0.00,9.34
15.94,0.00,8.98
15.88,0.00,9.10
15.87,0.00,8.34
15.94,0.00,7.98
15.92,0.00,7.62
15.90,0.00,7.27
15.91,0.00,6.91
