analogValue,load,distance
16.03,0.00,5.97
16.01,0.00,5.97
16.00,0.00,6.07
16.04,0.00,5.97
16.08,0.00,5.97
16.01,0.00,5.99
16.00,0.00,6.07
16.06,0.00,5.97
16.05,0.00,5.97
16.00,0.00,6.06
16.12,0.00,6.01
39.13,265.35,6.41
55.15,394.13,7.13
58.46,420.32,7.01
66.88,486.81,6.94
62.39,451.38,7.32
55.30,395.32,8.08
55.68,398.34,8.37
52.33,371.75,8.68
53.73,382.84,9.03
53.48,380.88,9.39
54.77,391.11,10.09
49.76,351.37,10.04
50.17,354.63,10.33
50.58,357.86,10.28
51.83,367.77,10.97
50.16,354.53,11.74
50.01,353.38,12.10
51.34,363.90,11.57
48.85,344.16,12.34
51.27,363.34,13.12
50.49,357.17,13.41
48.22,339.18,13.34
49.99,353.17,14.05
49.21,347.02,14.00
50.03,353.52,14.26
48.53,341.65,14.55
48.84,344.06,14.60
49.22,347.08,15.21
48.01,337.53,15.55
48.16,338.69,15.91
48.05,337.80,17.10
47.07,330.08,16.98
47.22,331.27,17.32
47.38,332.49,17.70
46.51,325.59,17.98
46.35,324.36,18.34
46.87,328.47,18.70
46.41,324.81,18.99
46.05,321.92,18.94
46.49,325.43,19.65
45.57,318.15,19.60
45.51,317.65,19.94
45.65,318.77,20.23
45.83,320.19,20.18
44.81,312.12,21.35
46.79,327.82,21.23
45.04,313.98,21.61
45.05,314.01,22.24
45.39,316.73,22.12
46.04,321.89,22.90
44.68,311.09,23.19
44.60,310.49,23.55
43.02,297.81,23.84
38.10,256.66,23.96
37.18,249.02,23.96
37.14,248.70,23.96
19.08,55.10,23.79
16.01,0.00,23.45
15.93,0.00,23.16
15.97,0.00,22.80
15.99,0.00,22.03
15.99,0.00,21.78
15.98,0.00,21.32
15.98,0.00,21.03
15.97,0.00,20.67
16.03,0.00,20.32
16.02,0.00,20.47
15.99,0.00,19.60
15.96,0.00,19.29
15.99,0.00,18.95
15.96,0.00,18.60
16.02,0.00,18.75
15.98,0.00,18.41
15.97,0.00,18.04
15.96,0.00,17.34
15.96,0.00,17.39
16.01,0.00,17.05
15.98,0.00,16.69
15.99,0.00,16.44
15.95,0.00,16.38
15.99,0.00,16.03
16.02,0.00,15.26
15.96,0.00,14.90
15.93,0.00,14.55
15.96,0.00,14.19
15.97,0.00,13.42
16.02,0.00,13.07
15.95,0.00,13.19
15.99,0.00,12.49
15.97,0.00,12.06
15.99,0.00,11.71
15.95,0.00,11.35
15.96,0.00,11.01
15.99,0.00,10.70
15.93,0.00,10.34
16.02,0.00,10.40
15.95,0.00,9.63
15.99,0.00,9.27
15.96,0.00,8.92
16.01,0.00,8.63
15.98,0.00,8.27
16.01,0.00,7.93
15.97,0.00,7.55
15.96,0.00,6.79
15.99,0.00,6.96
15.98,0.00,6.55
16.02,0.00,6.21
15.95,0.00,6.02
16.01,0.00,5.97
15.97,0.00,5.97
