analogValue,load,distance
16.00,0.00,5.99
15.97,0.00,5.99
15.99,0.00,5.97
15.99,0.00,5.99
16.01,0.00,5.97
16.04,0.00,5.97
15.99,0.00,5.97
16.08,0.00,5.97
15.96,0.00,5.97
16.00,0.00,5.97
16.07,0.00,6.11
16.43,3.82,6.48
59.15,425.74,6.79
58.27,418.81,7.08
50.35,356.08,7.44
52.23,370.93,7.79
50.46,356.94,8.08
47.66,334.73,8.80
47.46,333.12,8.73
47.31,331.94,9.03
46.60,326.34,9.37
46.51,325.61,9.73
46.02,321.75,10.45
44.74,311.58,10.80
45.43,317.07,10.69
45.79,319.92,11.04
44.86,312.48,11.35
43.83,304.37,11.64
46.04,321.83,12.00
44.50,309.64,12.71
43.59,302.43,13.12
43.70,303.30,13.41
43.65,302.93,13.66
43.28,299.99,13.54
43.49,301.62,14.26
43.64,302.87,14.21
42.99,297.56,14.97
43.89,304.79,14.96
43.57,302.25,15.62
43.43,301.20,15.98
43.34,300.44,16.69
43.80,304.12,16.62
43.55,302.09,16.98
43.60,302.50,16.86
43.71,303.38,17.58
43.84,304.42,17.51
43.55,302.13,18.29
44.15,306.85,18.15
43.61,302.62,18.53
44.51,309.72,18.82
43.95,305.30,19.52
43.39,300.84,19.48
43.91,305.01,19.82
43.41,301.05,20.13
43.48,301.60,20.06
43.40,300.94,20.77
43.78,303.94,21.11
43.86,304.60,21.44
43.39,300.89,21.64
43.18,299.16,21.93
42.13,290.40,22.71
36.64,244.47,22.53
30.84,194.99,22.54
16.09,0.00,22.27
16.02,0.00,22.02
15.91,0.00,21.56
15.90,0.00,21.27
15.96,0.00,20.91
15.96,0.00,20.55
15.93,0.00,20.25
15.95,0.00,20.32
15.98,0.00,19.55
15.97,0.00,19.19
15.96,0.00,18.84
15.94,0.00,18.65
15.99,0.00,18.29
15.96,0.00,17.93
16.00,0.00,17.63
16.01,0.00,18.05
15.93,0.00,17.34
15.97,0.00,16.98
15.91,0.00,16.62
15.97,0.00,16.27
15.96,0.00,15.91
15.92,0.00,15.14
15.96,0.00,15.36
15.99,0.00,14.90
15.97,0.00,14.56
15.97,0.00,13.88
15.94,0.00,13.53
15.97,0.00,13.07
15.99,0.00,13.19
15.98,0.00,12.42
15.94,0.00,12.59
15.99,0.00,12.11
15.94,0.00,11.76
15.96,0.00,11.50
15.96,0.00,11.11
15.97,0.00,10.75
15.99,0.00,9.99
15.95,0.00,9.22
15.99,0.00,9.27
15.98,0.00,8.98
15.99,0.00,9.05
15.98,0.00,8.68
15.99,0.00,7.98
15.99,0.00,7.21
16.02,0.00,6.86
15.93,0.00,6.91
15.96,0.00,6.55
15.98,0.00,6.26
15.93,0.00,6.04
15.97,0.00,5.97
15.98,0.00,5.97
15.95,0.00,6.07
15.97,0.00,5.97
15.95,0.00,5.99
15.96,0.00,5.99
15.95,0.00,5.97
15.97,0.00,5.97
15.95,0.00,5.97
