G1para,G2para,G3para,G4para,G5para,G1perp,G2perp,G3perp,G4perp,G5perp
1.0000000,0.9362641,0.8936686,0.9281237,0.8908608,0.9170302,0.9158145,0.9457903,0.9125662,0.8553990
0.9362641,1.0000000,0.8955374,0.9423529,0.9328501,0.9393092,0.9263518,0.9236279,0.9290640,0.8804736
0.8936686,0.8955374,1.0000000,0.9418749,0.9354209,0.9148847,0.8802495,0.9342661,0.9339700,0.9138654
0.9281237,0.9423529,0.9418749,1.0000000,0.9436683,0.9614674,0.8879178,0.9455221,0.9724453,0.9208097
0.8908608,0.9328501,0.9354209,0.9436683,1.0000000,0.9083462,0.8866623,0.8931681,0.9369739,0.9235644
0.9170302,0.9393092,0.9148847,0.9614674,0.9083462,1.0000000,0.9092512,0.9317682,0.9583545,0.8994508
0.9158145,0.9263518,0.8802495,0.8879178,0.8866623,0.9092512,1.0000000,0.9004402,0.9001592,0.8750512
0.9457903,0.9236279,0.9342661,0.9455221,0.8931681,0.9317682,0.9004402,1.0000000,0.9240575,0.9022307
0.9125662,0.9290640,0.9339700,0.9724453,0.9369739,0.9583545,0.9001592,0.9240575,1.0000000,0.9318866
0.8553990,0.8804736,0.9138654,0.9208097,0.9235644,0.8994508,0.8750512,0.9022307,0.9318866,1.0000000
