Filter,Date,Experiment,Filtration,mass1,mass2,mass3,mass4,mass5
FA,20230626,1,Ndata,1360.6,1360.5,1360.4,1360.5,1360.4
FN,20230626,1,Ndata,1360.6,1360.5,1360.6,1360.6,1360.6
FA,20230626,1,Ndata,1356.5,1356.4,1356.3,1356.5,1356.4
FN,20230626,1,Sample,1416.2,1416.1,1416.1,1416.2,1416.2
FA,20230627,2,Ndata,1360.6,1360.5,1360.6,1360.6,1360.6
FN,20230627,2,Ndata,1360.2,1360.5,1360.5,1360.4,1360.5
FA,20230627,2,Ndata,1354.3,1354.2,1354.2,1354.1,1354.3
FN,20230627,2,Sample,1426.7,1426.7,1426.9,1426.8,1426.8
FA,20230628,3,Ndata,1360.2,1360.5,1360.5,1360.4,1360.5
FN,20230628,3,Ndata,1360.6,1360.5,1360.7,1360.6,1360.6
FA,20230628,3,Ndata,1354.5,1354.5,1354.6,1354.5,1354.6
FN,20230628,3,Sample,1412.5,1412.4,1412.5,1412.5,1412.4
FA,20230629,4,Ndata,1360.6,1360.5,1360.7,1360.6,1360.6
FN,20230629,4,Ndata,1360.6,1360.4,1360.5,1360.5,1360.6
FA,20230629,4,Ndata,1355.2,1355.1,1355.1,1355.2,1355.3
FN,20230629,4,Sample,1412.4,1412.2,1412.3,1412.3,1412.3
FA,20230630,5,Ndata,1360.6,1360.4,1360.5,1360.5,1360.6
FN,20230630,5,Ndata,1360.4,1360.5,1360.4,1360.4,1360.5
FA,20230630,5,Ndata,1353,1353.1,1353,1353.1,1353.2
FN,20230630,5,Sample,1410.3,1410.2,1410.3,1410.3,1410.1
FA,20230703,6,Ndata,1360.4,1360.5,1360.4,1360.4,1360.5
FN,20230703,6,Ndata,1360.7,1360.7,1360.8,1360.8,1360.7
FA,20230703,6,Ndata,1358.1,1358,1358.1,1358,1358
FN,20230703,6,Sample,1419,1418.9,1419,1418.8,1419
FA,20230704,7,Ndata,1360.7,1360.7,1360.8,1360.8,1360.7
FN,20230704,7,Ndata,1360.7,1360.5,1360.5,1360.6,1360.7
FA,20230704,7,Ndata,1352.3,1352.1,1352.2,1352.2,1352.1
FN,20230704,7,Sample,1405.1,1405.2,1405,1405,1405.2
FA,20230705,8,Ndata,1360.7,1360.7,1360.7,1360.6,1360.7
FN,20230705,8,Ndata,1360.6,1360.6,1360.6,1360.7,1360.6
FA,20230705,8,Ndata,1352.3,1352.2,1352.3,1352.3,1352.2
FN,20230705,8,Sample,1397.9,1397.8,1397.9,1397.9,1397.9
FA,20230707,9,Ndata,1350.8,1350.8,1350.7,1350.8,1350.8
FN,20230707,9,Ndata,1360.7,1360.6,1360.6,1360.7,1360.6
FA,20230707,9,Ndata,1360.2,1360.3,1360.3,1360.2,1360.3
FN,20230707,9,Sample,1395.2,1395.1,1395.2,1395.1,1395.1
FA,20230710,10,Ndata,1360.7,1360.7,1360.8,1360.7,1360.7
FN,20230710,10,Ndata,1360.6,1360.6,1360.5,1360.6,1360.6
FA,20230710,10,Ndata,1349.1,1349.1,1349.1,1349,1349.1
FN,20230710,10,Sample,1393.6,1393.6,1393.7,1393.7,1393.6
FA,20230711,11,Ndata,1360.6,1360.6,1360.5,1360.6,1360.6
FN,20230711,11,Ndata,1360.5,1360.5,1360.6,1360.5,1360.5
FA,20230711,11,Ndata,1349.9,1349.8,1350.1,1350,1349.9
FN,20230711,11,Sample,1390.5,1390.5,1390.5,1390.4,1390.5
FA,20230712,12,Ndata,1360.7,1360.7,1360.8,1360.8,1360.8
FN,20230712,12,Ndata,1360.6,1360.5,1360.6,1360.6,1360.5
FA,20230712,12,Ndata,1345.1,1345.2,1345.1,1345.2,1345.2
FN,20230712,12,Sample,1384.8,1384.7,1384.8,1384.7,1384.7
FA,20230713,13,Ndata,1360.7,1360.7,1360.6,1360.7,1360.7
FN,20230713,13,Ndata,1360.4,1360.4,1360.4,1360.5,1360.4
FA,20230713,13,Ndata,1344.5,1344.6,1344.4,1344.6,1344.5
FN,20230713,13,Sample,1381.8,1381.8,1381.7,1381.7,1381.7
FA,20230714,14,Ndata,1360.7,1360.7,1360.7,1360.6,1360.7
FN,20230714,14,Ndata,1360.6,1360.6,1360.6,1360.6,1360.7
FA,20230714,14,Ndata,1344.5,1344.4,1344.4,1344.3,1344.5
FN,20230714,14,Sample,1374.2,1374.2,1374.3,1374.2,1374.3
FA,20230717,15,Ndata,1360.8,1360.9,1360.8,1360.8,1360.9
FN,20230717,15,Ndata,1360.7,1360.7,1360.7,1360.7,1360.7
FA,20230717,15,Ndata,1341,1341.1,1340.9,1340.8,1340.8
FN,20230717,15,Sample,1365.4,1365.3,1365.4,1365.4,1365.3
