Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
20230509_MP_W000_G1_10_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230509_MP_W000_G1_1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230509_MP_W000_G1_2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230509_MP_W000_G1_3_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230509_MP_W000_G1_4_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230509_MP_W000_G1_5_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230509_MP_W000_G1_6_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230509_MP_W000_G1_7_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230509_MP_W000_G1_8_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230509_MP_W000_G1_9_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230509_MP_W000_G1_negative_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230509_MP_W000_G1_positive_B.TIF,11,0.261,0.024,0.25,0.209,0.487,0.534
20230510_MP_W000_G1_10_Atr.TIF,6,0.192,0.032,0.184,1.716,0.204,0.298
20230510_MP_W000_G1_1_Atr.TIF,6,0.234,0.039,0.224,2.425,0.097,0.663
20230510_MP_W000_G1_2_Atr.TIF,1,0.018,0.018,0.017,1.172,0.166,0.436
20230510_MP_W000_G1_3_Atr.TIF,7,0.239,0.034,0.229,1.942,0.141,0.577
20230510_MP_W000_G1_4_Atr.TIF,5,0.057,0.011,0.055,0.82,0.259,0.551
20230510_MP_W000_G1_5_Atr.TIF,5,0.142,0.028,0.136,1.541,0.246,0.433
20230510_MP_W000_G1_6_Atr.TIF,8,0.316,0.04,0.304,2.34,0.155,0.534
20230510_MP_W000_G1_7_Atr.TIF,8,0.208,0.026,0.199,1.495,0.218,0.333
20230510_MP_W000_G1_8_Atr.TIF,6,0.279,0.047,0.268,2.542,0.104,0.608
20230510_MP_W000_G1_9_Atr.TIF,7,0.2,0.029,0.192,1.447,0.337,NaN
20230510_MP_W000_G1_negative_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W000_G1_positive_Atr.TIF,11,0.245,0.022,0.235,255,1.298,0.188
20230511_MP_W001_G1_10_Atr.TIF,11,0.285,0.026,0.273,1.495,0.152,0.47
20230511_MP_W001_G1_1_Atr.TIF,14,0.243,0.017,0.233,1.056,0.226,0.529
20230511_MP_W001_G1_2_Atr.TIF,2,0.064,0.032,0.061,1.908,0.116,0.293
20230511_MP_W001_G1_3_Atr.TIF,5,0.103,0.021,0.099,1.259,0.206,0.511
20230511_MP_W001_G1_4_Atr.TIF,6,0.095,0.016,0.091,0.92,0.281,0.672
20230511_MP_W001_G1_5_Atr.TIF,16,0.347,0.022,0.333,1.29,0.254,0.595
20230511_MP_W001_G1_6_Atr.TIF,10,0.233,0.023,0.224,1.417,0.172,0.481
20230511_MP_W001_G1_7_Atr.TIF,6,0.152,0.025,0.146,1.424,0.229,0.458
20230511_MP_W001_G1_8_Atr.TIF,11,0.25,0.023,0.24,1.379,0.19,0.525
20230511_MP_W001_G1_9_Atr.TIF,11,0.339,0.031,0.326,1.75,0.185,0.492
20230511_MP_W001_G1_negative_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
20230511_MP_W001_G1_positive_Atr.TIF,10,0.241,0.024,0.231,1.325,0.198,0.483
20230510_MP_W001_G1_10_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W001_G1_1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W001_G1_2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W001_G1_3_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W001_G1_4_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W001_G1_5_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W001_G1_6_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W001_G1_7_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W001_G1_8_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W001_G1_9_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W001_G1_negative_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W001_G1_positive_B.TIF,11,0.247,0.022,0.237,1.27,0.2,0.473
20230512_MP_W002_G1_10_Atr.TIF,3,0.053,0.018,0.051,0.886,0.349,0.642
20230512_MP_W002_G1_1_Atr.TIF,4,0.059,0.015,0.056,0.889,0.291,0.594
20230512_MP_W002_G1_2_Atr.TIF,2,0.023,0.011,0.022,0.687,0.368,0.78
20230512_MP_W002_G1_3_Atr.TIF,1,0.01,0.01,0.009,0.602,0.337,0.649
20230512_MP_W002_G1_4_Atr.TIF,1,0.069,0.069,0.067,2.809,0.111,0.469
20230512_MP_W002_G1_5_Atr.TIF,4,0.15,0.037,0.144,2.186,0.1,0.371
20230512_MP_W002_G1_6_Atr.TIF,6,0.108,0.018,0.103,1.039,0.297,0.622
20230512_MP_W002_G1_7_Atr.TIF,2,0.031,0.015,0.03,0.938,0.221,0.548
20230512_MP_W002_G1_8_Atr.TIF,5,0.114,0.023,0.109,1.264,0.215,0.547
20230512_MP_W002_G1_9_Atr.TIF,3,0.087,0.029,0.083,1.582,0.177,0.438
20230512_MP_W002_G1_negative_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
20230512_MP_W002_G1_positive_Atr.TIF,11,0.265,0.024,0.254,1.299,0.205,0.487
20230510_MP_W002_G1_10_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W002_G1_1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W002_G1_2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W002_G1_3_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W002_G1_4_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W002_G1_5_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W002_G1_6_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W002_G1_7_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W002_G1_8_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W002_G1_9_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W002_G1_negative_B.TIF,0,0,NaN,0,NaN,NaN,NaN
20230510_MP_W002_G1_positive_B.TIF,11,0.247,0.022,0.237,1.27,0.2,0.473
20230515_MP_W003_G1_10_Atr.TIF,3,0.024,0.008,0.023,0.676,0.232,0.511
