Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Circ.,Solidity
20240108_RTWash_W000_RT0_800g_20cm_B10_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20240108_RTWash_W000_RT0_800g_20cm_B1_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20240108_RTWash_W000_RT0_800g_20cm_B2_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20240108_RTWash_W000_RT0_800g_20cm_B3_B.TIF,1,0.012,0.012,0.011,255,0.721,0.289,0.569
20240108_RTWash_W000_RT0_800g_20cm_B4_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20240108_RTWash_W000_RT0_800g_20cm_B5_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20240108_RTWash_W000_RT0_800g_20cm_B6_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20240108_RTWash_W000_RT0_800g_20cm_B7_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20240108_RTWash_W000_RT0_800g_20cm_B8_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20240108_RTWash_W000_RT0_800g_20cm_B9_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20240108_RTWash_W000_RT0_800g_20cm_negative_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20240108_RTWash_W000_RT0_800g_20cm_positive_B.TIF,10,0.352,0.035,0.338,255,1.788,0.179,0.469
20240108_RTWash_W000_RT0_800g_20cm_B10_Atr.TIF,7,0.284,0.041,0.272,255,2.436,0.133,0.369
20240108_RTWash_W000_RT0_800g_20cm_B1_Atr.TIF,5,0.192,0.038,0.184,255,2.167,0.152,0.424
20240108_RTWash_W000_RT0_800g_20cm_B2_Atr.TIF,4,0.092,0.023,0.088,255,1.473,0.131,0.43
20240108_RTWash_W000_RT0_800g_20cm_B3_Atr.TIF,8,0.229,0.029,0.22,255,1.517,0.26,0.536
20240108_RTWash_W000_RT0_800g_20cm_B4_Atr.TIF,7,0.192,0.027,0.184,255,1.677,0.193,0.455
20240108_RTWash_W000_RT0_800g_20cm_B5_Atr.TIF,4,0.104,0.026,0.099,255,1.252,0.23,0.537
20240108_RTWash_W000_RT0_800g_20cm_B6_Atr.TIF,8,0.091,0.011,0.087,255,0.782,0.251,0.572
20240108_RTWash_W000_RT0_800g_20cm_B7_Atr.TIF,9,0.166,0.018,0.159,255,1.06,0.227,0.567
20240108_RTWash_W000_RT0_800g_20cm_B8_Atr.TIF,9,0.283,0.031,0.271,255,1.704,0.157,0.438
20240108_RTWash_W000_RT0_800g_20cm_B9_Atr.TIF,8,0.12,0.015,0.115,255,0.946,0.256,0.528
20240108_RTWash_W000_RT0_800g_20cm_negative_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20240108_RTWash_W000_RT0_800g_20cm_positive_Atr.TIF,10,0.296,0.03,0.284,255,1.526,0.195,0.488
20240110_RTWash_W001_RT1_800g_20cm_B10_Atr.TIF,7,0.128,0.018,0.122,255,1.285,0.181,0.512
20240110_RTWash_W001_RT1_800g_20cm_B1_Atr.TIF,8,0.152,0.019,0.146,255,1.316,0.149,0.54
20240110_RTWash_W001_RT1_800g_20cm_B2_Atr.TIF,9,0.21,0.023,0.202,255,1.411,0.274,0.587
20240110_RTWash_W001_RT1_800g_20cm_B3_Atr.TIF,6,0.121,0.02,0.116,255,1.236,0.22,0.587
20240110_RTWash_W001_RT1_800g_20cm_B4_Atr.TIF,10,0.173,0.017,0.167,255,1.134,0.227,0.54
20240110_RTWash_W001_RT1_800g_20cm_B5_Atr.TIF,8,0.143,0.018,0.137,255,1.04,0.245,0.585
20240110_RTWash_W001_RT1_800g_20cm_B6_Atr.TIF,6,0.094,0.016,0.091,255,1.037,0.226,0.575
20240110_RTWash_W001_RT1_800g_20cm_B7_Atr.TIF,11,0.258,0.023,0.248,255,1.393,0.227,0.527
20240110_RTWash_W001_RT1_800g_20cm_B8_Atr.TIF,13,0.231,0.018,0.221,255,1.042,0.299,0.606
20240110_RTWash_W001_RT1_800g_20cm_B9_Atr.TIF,13,0.325,0.025,0.312,255,1.455,0.214,0.505
20240110_RTWash_W001_RT1_800g_20cm_negative_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20240110_RTWash_W001_RT1_800g_20cm_positive_Atr.TIF,11,0.337,0.031,0.324,255,1.587,0.193,0.499
20240108_RTWash_W001_RT1_800g_20cm_B10_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20240108_RTWash_W001_RT1_800g_20cm_B1_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20240108_RTWash_W001_RT1_800g_20cm_B2_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
