Slice,Count,Total Area,Average Size,%Area,Mean,,
G1_F1_R1_C1_AW.TIF,3,0.134,0.045,0.11,1.88,0.29,0.602
G1_F1_R1_C1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R1_C10_AW.TIF,9,0.149,0.017,0.123,1.038,0.222,0.573
G1_F1_R1_C10_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R1_C2_AW.TIF,12,0.534,0.045,0.44,2.006,0.156,0.462
G1_F1_R1_C2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R1_C3_AW.TIF,10,0.487,0.049,0.401,1.885,0.209,0.428
G1_F1_R1_C3_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R1_C4_AW.TIF,5,0.048,0.01,0.039,0.765,0.207,0.546
G1_F1_R1_C4_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R1_C5_AW.TIF,9,0.109,0.012,0.089,0.903,0.268,0.553
G1_F1_R1_C5_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R1_C6_AW.TIF,7,0.278,0.04,0.229,2.297,0.193,0.426
G1_F1_R1_C6_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R1_C7_AW.TIF,13,0.391,0.03,0.322,1.829,0.21,0.466
G1_F1_R1_C7_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R1_C8_AW.TIF,7,0.14,0.02,0.116,1.421,0.194,0.513
G1_F1_R1_C8_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R1_C9_AW.TIF,6,0.418,0.07,0.344,3.037,0.165,0.375
G1_F1_R1_C9_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R10_C1_AW.TIF,1,0.028,0.028,0.156,1.828,0.104,0.33
G1_F1_R10_C1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R10_C10_AW.TIF,1,0.008,0.008,0.042,0.376,0.668,0.867
G1_F1_R10_C10_B.TIF,1,0.007,0.007,0.006,0.358,0.702,0.903
G1_F1_R10_C2_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R10_C2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R10_C3_AW.TIF,2,0.035,0.018,0.2,1.137,0.222,0.521
G1_F1_R10_C3_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R10_C4_AW.TIF,4,0.138,0.035,0.78,1.894,0.154,0.459
G1_F1_R10_C4_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R10_C5_AW.TIF,1,0.029,0.029,0.163,1.738,0.12,0.344
G1_F1_R10_C5_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R10_C6_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R10_C6_B.TIF,1,0.009,0.009,0.007,0.691,0.23,0.484
G1_F1_R10_C7_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R10_C7_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R10_C8_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
