Experiment,Diff.FA,U.F.FA,Diff.FN,U.F.FN,Wf,U.C,U.C3
1,-4.05999999999995,0.0529150262212695,55.5800000000002,0.0316227766016982,59.64,0.061644140029678,0.18
2,-6.3599999999999,0.0424264068711864,66.3599999999999,0.0692820323027479,72.72,0.0812403840463501,0.24
3,-5.88000000000011,0.0632455532033496,51.8600000000001,0.039999999999992,57.74,0.0748331477354594,0.22
4,-5.41999999999985,0.0489897948556793,51.78,0.0489897948556422,57.2,0.0692820323027512,0.21
5,-7.44000000000005,0.0529150262212695,49.8,0.0469041575982256,57.24,0.0707106781186322,0.21
6,-2.40000000000009,0.034641016151346,58.2,0.0469041575982256,60.6,0.0583095189484273,0.17
7,-8.55999999999995,0.0447213595499958,44.5,0.063245553203382,53.06,0.0774596669241601,0.23
8,-8.42000000000007,0.0316227766016838,37.2600000000002,0.0282842712475005,45.68,0.0424264068712186,0.13
9,9.48000000000002,0.031622776601655,34.5,0.0346410161514248,25.02,0.0469041575982498,0.14
10,-11.6400000000001,0.0282842712474362,33.0599999999999,0.0316227766016982,44.7,0.0424264068711864,0.13
11,-10.6399999999999,0.0547722557504959,29.96,0.0282842712474362,40.6,0.0616441400296595,0.18
12,-15.5999999999999,0.0346410161513854,24.1800000000001,0.034641016151346,39.78,0.0489897948556468,0.15
13,-16.1600000000001,0.0424264068711757,21.3199999999999,0.031622776601655,37.48,0.0529150262212609,0.16
14,-16.26,0.0424264068712079,13.6200000000001,0.0316227766016838,29.88,0.0529150262213038,0.16
15,-19.9199999999998,0.0632455532033748,4.66000000000008,0.0244948974278652,24.58,0.0678232998312715,0.2
