Experiment,Diff.FA,U.F.FA,Diff.FN,U.F.FN,Wf,U.C,U.C3
1,0.0999999999999091,0.0529150262213038,67,0.0547722557505291,66.9,0.0761577310586564,0.23
2,-0.119999999999891,0.0489897948556422,103.08,0.0447213595499958,103.2,0.0663324958070922,0.2
3,-0.159999999999854,0.039999999999992,85.8799999999999,0.0346410161513854,86.04,0.0529150262212909,0.16
4,0.0799999999999272,0.0447213595499958,131.36,0.039999999999992,131.28,0.0599999999999947,0.18
5,-0.0199999999999818,0.0447213595500263,121.6,0.0346410161513854,121.62,0.0565685424949527,0.17
6,-0.0199999999999818,0.0447213595500263,124.52,0.0547722557505208,124.54,0.0707106781186773,0.21
7,0.0399999999999636,0.0447213595499551,108.68,0.0489897948556793,108.64,0.0663324958070922,0.2
8,0.0599999999999454,0.0509901951359038,106.06,0.0399999999999636,106,0.0648074069840372,0.19
9,-0.139999999999873,0.039999999999992,105.04,0.0400000000000261,105.18,0.0565685424949367,0.17
10,0,0.034641016151346,129.12,0.0447213595499856,129.12,0.0565685424948965,0.17
11,-0.0799999999999272,0.034641016151346,127.86,0.0316227766016982,127.94,0.0469041575982207,0.14
12,0.0199999999999818,0.0447213595499551,126.08,0.034641016151346,126.06,0.0565685424948723,0.17
13,0.400000000000091,0.0424264068711864,134.4,0.0424264068711757,134,0.0599999999999833,0.18
14,-0.120000000000118,0.0447213595500009,131.06,0.0547722557505291,131.18,0.0707106781186676,0.21
15,0.240000000000009,0.0509901951359439,153.78,0.0316227766016982,153.54,0.0600000000000212,0.18
16,-0.399999999999864,0.044721359550006,105.86,0.0529150262212781,106.26,0.0692820323027512,0.21
17,0,0.0547722557505291,127.1,0.0346410161513854,127.1,0.0648074069840933,0.19
18,0.279999999999973,0.0489897948556793,87.1200000000001,0.0374165738677358,86.84,0.0616441400297001,0.18
19,-0.240000000000009,0.0447213595499958,118.36,0.237907545067419,118.6,0.242074368738217,0.73
20,0.0399999999999636,0.0400000000000261,111.58,0.0547722557505291,111.54,0.0678232998312782,0.2
21,-0.0399999999999636,0.0447213595499856,126.5,0.044721359550006,126.54,0.0632455532033676,0.19
22,0.119999999999891,0.0447213595499856,110.24,0.17204650534087,110.12,0.177763888346327,0.53
23,-0.159999999999854,0.0529150262212952,106.66,0.0447213595499754,106.82,0.0692820323027446,0.21
24,0.0199999999999818,0.034641016151346,99.4000000000001,0.0529150262212781,99.38,0.0632455532033388,0.19
25,0.240000000000009,0.039999999999992,99.4200000000001,0.0447213595499958,99.18,0.0599999999999947,0.18
26,-0.220000000000027,0.0374165738677358,95.8199999999999,0.187082869338684,96.04,0.190787840283375,0.57
27,0.0999999999999091,0.0424264068711864,112.22,0.0547722557505,112.12,0.069282032302738,0.21
28,-0.259999999999991,0.0529150262213038,111.46,0.0447213595499551,111.72,0.069282032302738,0.21
29,0.1400000000001,0.0447213595499958,114.68,0.0547722557504917,114.54,0.0707106781186354,0.21
30,-0.0199999999999818,0.034641016151346,108.44,0.0400000000000261,108.46,0.0529150262212909,0.16
31,0.0399999999999636,0.0447213595499551,105.66,0.0529150262213038,105.62,0.069282032302738,0.21
32,0.0599999999999454,0.0547722557504668,117.92,0.0374165738677054,117.86,0.0663324958070477,0.2
33,-0.0199999999999818,0.0547722557504668,118.56,0.0424264068711864,118.58,0.0692820323027118,0.21
35,-0.0599999999999454,0.0447213595499958,97.3999999999999,0.044721359550006,97.46,0.0632455532033748,0.19
36,0.239999999999782,0.0529150262213124,79.8799999999999,0.0316227766016838,79.64,0.0616441400297075,0.18
37,-0.119999999999891,0.0489897948556561,87.9799999999998,0.0346410161514248,88.1,0.0600000000000212,0.18
38,-0.0799999999999272,0.0374165738677054,102.06,0.0447213595499958,102.14,0.0583095189484312,0.17
39,0.199999999999818,0.0282842712474683,110.1,0.0707106781186869,109.9,0.0761577310586713,0.23
40,-0.139999999999873,0.0424264068711757,108.28,0.0489897948556793,108.42,0.0648074069840793,0.19
41,0.180000000000064,0.0447213595499856,112.12,0.0489897948556701,111.94,0.0663324958071059,0.2
42,-0.259999999999991,0.0400000000000261,109.46,0.0509901951359439,109.72,0.0648074069841074,0.19
43,0.0399999999999636,0.050990195135935,112.48,0.0489897948556793,112.44,0.0707106781186708,0.21
44,-0.220000000000027,0.0547722557505208,114.32,0.214476105895291,114.54,0.221359436211806,0.66
45,0,0.0529150262212952,115.28,0.0489897948556793,115.28,0.072111025509293,0.22
46,0.200000000000045,0.0529150262212952,106.88,0.0489897948556422,106.68,0.0721110255092678,0.22
47,0.0199999999999818,0.0447213595499856,100.16,0.039999999999992,100.14,0.0599999999999871,0.18
48,0.0599999999999454,0.0399999999999636,120.66,0.0447213595499856,120.6,0.0599999999999682,0.18
49,-0.0199999999999818,0.048989794855619,103.82,0.0489897948556422,103.84,0.0692820323027085,0.21
50,0.0199999999999818,0.048989794855619,102.96,0.0447213595500263,102.94,0.0663324958070956,0.2
51,0.0799999999999272,0.0489897948556468,109.34,0.0447213595499856,109.26,0.0663324958070888,0.2
