Washnumber,Wash,Rinse,Total,Ucalibration,U.V,U.V2
1,5.5,14.5,20,12.9099444873581,0.144913767461894,0.289827534923789
2,5.5,14,19.5,12.747548783982,0.144899390382891,0.289798780765781
3,5,16.5,21.5,13.3853153368408,0.144956890143242,0.289913780286485
4,5,17,22,13.5400640077266,0.144971261519884,0.289942523039768
5,5.5,17,22.5,13.6930639376292,0.144985631471996,0.289971262943991
6,5.5,15.5,21,13.228756555323,0.144942517341646,0.289885034683292
7,5.5,18,23.5,13.9940463531222,0.145014367104321,0.290028734208641
8,5.5,16,21.5,13.3853153368408,0.144956890143242,0.289913780286485
9,5.5,17,22.5,13.6930639376292,0.144985631471996,0.289971262943991
10,6,18,24,14.142135623731,0.145028732785381,0.290057465570761
11,5.5,15.5,21,13.228756555323,0.144942517341646,0.289885034683292
12,6,17,23,13.8443731048635,0.145,0.29
13,8,14.5,22.5,13.6930639376292,0.144985631471996,0.289971262943991
14,7.5,19.5,27,15,0.145114897006935,0.29022979401387
15,8,18.5,26.5,14.8604620834392,0.145100539856565,0.29020107971313
16,5,19.5,24.5,14.2886901662352,0.145043097043603,0.290086194087206
17,6,19,25,14.4337567297406,0.14505745987941,0.29011491975882
18,5.5,16.5,22,13.5400640077266,0.144971261519884,0.289942523039768
19,6,20.5,26.5,14.8604620834392,0.145100539856565,0.29020107971313
20,6.5,18.5,25,14.4337567297406,0.14505745987941,0.29011491975882
21,5.5,18.8,24.3,14.2302494707577,0.145037351511027,0.290074703022055
22,6,18,24,14.142135623731,0.145028732785381,0.290057465570761
23,5.5,20.5,26,14.7196014438797,0.145086181285469,0.290172362570938
24,5.5,20,25.5,14.5773797371133,0.145071821293225,0.290143642586449
25,5,19,24,14.142135623731,0.145028732785381,0.290057465570761
26,6,18.5,24.5,14.2886901662352,0.145043097043603,0.290086194087206
27,5,18,23,13.8443731048635,0.145,0.29
28,5.5,15.5,21,13.228756555323,0.144942517341646,0.289885034683292
29,6,20,26,14.7196014438797,0.145086181285469,0.290172362570938
30,5.5,19,24.5,14.2886901662352,0.145043097043603,0.290086194087206
31,7.5,17,24.5,14.2886901662352,0.145043097043603,0.290086194087206
32,7.5,19.5,27,15,0.145114897006935,0.29022979401387
34,7.5,17,24.5,14.2886901662352,0.145043097043603,0.290086194087206
33,6.5,18.5,25,14.4337567297406,0.14505745987941,0.29011491975882
35,5,20,25,14.4337567297406,0.14505745987941,0.29011491975882
36,5,16,21,13.228756555323,0.144942517341646,0.289885034683292
37,5,15,20,12.9099444873581,0.144913767461894,0.289827534923789
38,6,18,24,14.142135623731,0.145028732785381,0.290057465570761
39,6.5,18.5,25,14.4337567297406,0.14505745987941,0.29011491975882
40,6.5,17.5,24,14.142135623731,0.145028732785381,0.290057465570761
41,6.5,19,25.5,14.5773797371133,0.145071821293225,0.290143642586449
42,6.5,19.8,26.3,14.8042786608016,0.145094796598638,0.290189593197275
43,7,17,24,14.142135623731,0.145028732785381,0.290057465570761
44,5.5,19.5,25,14.4337567297406,0.14505745987941,0.29011491975882
45,5.5,19.5,25,14.4337567297406,0.14505745987941,0.29011491975882
46,6,18.5,24.5,14.2886901662352,0.145043097043603,0.290086194087206
47,6,18,24,14.142135623731,0.145028732785381,0.290057465570761
48,6,18.5,24.5,14.2886901662352,0.145043097043603,0.290086194087206
49,7,18.5,25.5,14.5773797371133,0.145071821293225,0.290143642586449
50,6.5,19,25.5,14.5773797371133,0.145071821293225,0.290143642586449
51,6.5,18.5,25,14.4337567297406,0.14505745987941,0.29011491975882
