Slice,Count,Total Area,Average Size,%Area,Mean
RT100_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT10_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT11_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT12_G1_1_para_B.TIF,1,0.009,0.009,0.008,255
RT13_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT14_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT15_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT16_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT17_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT18_G1_1_para_B.TIF,1,0.009,0.009,0.007,255
RT19_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT1_G1_1_para_B.TIF,1,0.009,0.009,0.008,255
RT20_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT21_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT22_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT23_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT24_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT25_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT26_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT27_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT28_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT29_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT2_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT30_G1_1_para_B.TIF,1,0.007,0.007,0.006,255
RT31_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT32_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT33_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT34_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT35_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT36_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT37_G1_1_para_B.TIF,0,0,NaN,0,NaN
RT38_G1_1_para_B.TIF,0,0,NaN,0,NaN
