Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
RT_G1_3_negative_Atr.TIF,1,0.009,0.009,0.007,0.387,0.769,0.934
RT_G1_3_positive_Atr.TIF,6,0.239,0.04,0.177,2.152,0.151,0.335
RT1_G1_3_para_Atr.TIF,6,0.074,0.012,0.055,0.708,0.353,0.67
RT10_G1_3_para_Atr.TIF,5,0.132,0.026,0.098,1.211,0.29,0.582
RT100_G1_3_para_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
RT11_G1_3_para_Atr.TIF,6,0.24,0.04,0.179,1.909,0.186,0.451
RT12_G1_3_para_Atr.TIF,1,0.055,0.055,0.042,2.592,0.103,0.296
RT13_G1_3_para_Atr.TIF,3,0.057,0.019,0.045,1.027,0.308,0.646
RT14_G1_3_para_Atr.TIF,6,0.174,0.029,0.136,1.48,0.288,0.494
RT15_G1_3_para_Atr.TIF,3,0.142,0.047,0.111,2.26,0.117,0.333
RT16_G1_3_para_Atr.TIF,3,0.085,0.028,0.067,1.34,0.253,0.534
RT17_G1_3_para_Atr.TIF,4,0.069,0.017,0.054,1.211,0.184,0.454
RT18_G1_3_para_Atr.TIF,5,0.13,0.026,0.102,1.125,0.337,0.575
RT19_G1_3_para_Atr.TIF,3,0.198,0.066,0.155,3.29,0.186,0.465
RT2_G1_3_para_Atr.TIF,8,0.188,0.023,0.14,1.422,0.201,0.476
RT20_G1_3_para_Atr.TIF,2,0.083,0.041,0.065,2.307,0.259,0.514
RT21_G1_3_para_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
RT22_G1_3_para_Atr.TIF,1,0.02,0.02,0.016,1.195,0.173,0.494
RT23_G1_3_para_Atr.TIF,6,0.132,0.022,0.103,1.202,0.229,0.488
RT24_G1_3_para_Atr.TIF,2,0.067,0.034,0.053,1.767,0.168,0.436
RT25_G1_3_para_Atr.TIF,6,0.187,0.031,0.146,1.609,0.175,0.434
RT26_G1_3_para_Atr.TIF,1,0.127,0.127,0.099,6.091,0.043,0.161
RT27_G1_3_para_Atr.TIF,2,0.015,0.007,0.012,0.471,0.423,0.779
RT28_G1_3_para_Atr.TIF,2,0.052,0.026,0.04,1.381,0.197,0.493
RT29_G1_3_para_Atr.TIF,4,0.124,0.031,0.097,1.804,0.217,0.437
RT3_G1_3_para_Atr.TIF,5,0.334,0.067,0.248,3.023,0.117,0.335
RT30_G1_3_para_Atr.TIF,4,0.232,0.058,0.181,2.806,0.211,0.442
RT31_G1_3_para_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
RT32_G1_3_para_Atr.TIF,5,0.148,0.03,0.115,1.561,0.222,0.501
RT33_G1_3_para_Atr.TIF,2,0.056,0.028,0.043,1.324,0.206,0.459
RT34_G1_3_para_Atr.TIF,1,0.007,0.007,0.005,0.611,0.233,0.54
RT35_G1_3_para_Atr.TIF,1,0.009,0.009,0.007,0.655,0.273,0.574
RT36_G1_3_para_Atr.TIF,1,0.09,0.09,0.071,4.471,0.057,0.197
RT37_G1_3_para_Atr.TIF,5,0.16,0.032,0.124,1.683,0.212,0.481
RT38_G1_3_para_Atr.TIF,1,0.016,0.016,0.012,0.816,0.303,0.639
RT39_G1_3_para_Atr.TIF,7,0.128,0.018,0.1,1.027,0.325,0.584
RT4_G1_3_para_Atr.TIF,4,0.4,0.1,0.297,5.275,0.072,0.253
RT40_G1_3_para_Atr.TIF,3,0.088,0.029,0.068,1.222,0.322,0.59
RT41_G1_3_para_Atr.TIF,2,0.039,0.02,0.03,1.042,0.31,0.669
RT42_G1_3_para_Atr.TIF,3,0.062,0.021,0.048,1.01,0.293,0.616
RT43_G1_3_para_Atr.TIF,5,0.122,0.024,0.094,1.345,0.197,0.48
RT44_G1_3_para_Atr.TIF,6,0.138,0.023,0.107,1.27,0.229,0.534
RT45_G1_3_para_Atr.TIF,2,0.042,0.021,0.032,1.261,0.177,0.497
RT46_G1_3_para_Atr.TIF,1,0.171,0.171,0.132,8.183,0.032,0.114
RT47_G1_3_para_Atr.TIF,4,0.085,0.021,0.066,0.987,0.255,0.554
RT48_G1_3_para_Atr.TIF,2,0.108,0.054,0.084,2.635,0.141,0.443
RT49_G1_3_para_Atr.TIF,7,0.211,0.03,0.163,1.307,0.26,0.518
RT5_G1_3_para_Atr.TIF,5,0.107,0.021,0.079,1.156,0.216,0.524
RT50_G1_3_para_Atr.TIF,1,0.013,0.013,0.01,0.801,0.254,0.591
RT51_G1_3_para_Atr.TIF,4,0.197,0.049,0.154,2.461,0.119,0.375
RT52_G1_3_para_Atr.TIF,4,0.212,0.053,0.167,2.669,0.203,0.501
