Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Circ.,Solidity
20230626_MP_W000_G4A_10_Atr.TIF,6,0.21,0.035,0.201,255,2.038,0.119,0.315
20230626_MP_W000_G4A_1_Atr.TIF,3,0.073,0.024,0.07,255,1.475,0.157,0.498
20230626_MP_W000_G4A_2_Atr.TIF,12,0.297,0.025,0.285,255,1.5,0.205,0.487
20230626_MP_W000_G4A_3_Atr.TIF,10,0.297,0.03,0.285,255,1.84,0.162,0.465
20230626_MP_W000_G4A_4_Atr.TIF,2,0.166,0.083,0.159,255,5.208,0.042,0.232
20230626_MP_W000_G4A_5_Atr.TIF,2,0.083,0.042,0.08,255,2.107,0.12,0.291
20230626_MP_W000_G4A_6_Atr.TIF,6,0.295,0.049,0.283,255,2.788,0.104,0.307
20230626_MP_W000_G4A_7_Atr.TIF,5,0.105,0.021,0.1,255,1.344,0.157,0.4
20230626_MP_W000_G4A_8_Atr.TIF,3,0.123,0.041,0.118,255,2.49,0.103,0.302
20230626_MP_W000_G4A_9_Atr.TIF,9,0.318,0.035,0.305,255,2.015,0.142,0.442
20230626_MP_W000_G4B_10_Atr.TIF,9,0.2,0.022,0.192,255,1.384,0.216,0.477
20230626_MP_W000_G4B_1_Atr.TIF,7,0.193,0.028,0.185,255,1.475,0.256,0.487
20230626_MP_W000_G4B_2_Atr.TIF,2,0.071,0.036,0.068,255,2.12,0.106,0.349
20230626_MP_W000_G4B_3_Atr.TIF,3,0.259,0.086,0.248,255,5.608,0.048,0.217
20230626_MP_W000_G4B_4_Atr.TIF,8,0.735,0.092,0.706,255,5.513,0.157,0.4
20230626_MP_W000_G4B_5_Atr.TIF,5,0.236,0.047,0.226,255,2.508,0.109,0.348
20230626_MP_W000_G4B_6_Atr.TIF,7,0.14,0.02,0.134,255,1.238,0.2,0.425
20230626_MP_W000_G4B_7_Atr.TIF,2,0.088,0.044,0.084,255,2.64,0.078,0.28
20230626_MP_W000_G4B_8_Atr.TIF,8,0.161,0.02,0.155,255,1.17,0.222,0.52
20230626_MP_W000_G4B_9_Atr.TIF,5,0.095,0.019,0.091,255,1.318,0.17,0.514
20230626_MP_W000_G4C_10_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230626_MP_W000_G4C_1_Atr.TIF,11,0.429,0.039,0.411,255,2.3,0.154,0.404
20230626_MP_W000_G4C_2_Atr.TIF,4,0.047,0.012,0.046,255,0.795,0.25,0.584
20230626_MP_W000_G4C_3_Atr.TIF,5,0.135,0.027,0.13,255,1.631,0.189,0.505
20230626_MP_W000_G4C_4_Atr.TIF,2,0.042,0.021,0.04,255,1.57,0.171,0.472
20230626_MP_W000_G4C_5_Atr.TIF,8,0.22,0.028,0.211,255,1.519,0.179,0.5
