Slice,Count,Total.Area,Average.Size,X.Area,Perim.,Circ.,Solidity
W000_G1_10_perp_Atr.TIF,18,0.616,0.034,0.475,2.066,0.147,0.45
W000_G1_1_para_Atr.TIF,6,0.178,0.03,0.137,1.825,0.149,0.417
W000_G1_2_para_Atr.TIF,10,0.324,0.032,0.25,2.028,0.227,0.517
W000_G1_3_para_Atr.TIF,7,0.189,0.027,0.146,1.56,0.178,0.457
W000_G1_4_para_Atr.TIF,8,0.212,0.026,0.163,1.593,0.228,0.491
W000_G1_5_para_Atr.TIF,7,0.263,0.038,0.203,2.162,0.159,0.403
W000_G1_6_perp_Atr.TIF,12,0.405,0.034,0.312,2.183,0.114,0.361
W000_G1_7_perp_Atr.TIF,12,0.441,0.037,0.34,2.128,0.185,0.446
W000_G1_8_perp_Atr.TIF,9,0.192,0.021,0.148,1.289,0.218,0.521
W000_G1_9_perp_Atr.TIF,11,0.357,0.032,0.275,1.853,0.167,0.47
W000_G2_10_perp_Atr.TIF,11,0.375,0.034,0.289,2.026,0.2,0.496
W000_G2_1_para_Atr.TIF,6,0.205,0.034,0.158,1.92,0.146,0.444
W000_G2_2_para_Atr.TIF,4,0.149,0.037,0.115,1.98,0.193,0.483
W000_G2_3_para_Atr.TIF,4,0.115,0.029,0.089,1.631,0.197,0.536
W000_G2_4_para_Atr.TIF,5,0.086,0.017,0.066,1.143,0.168,0.54
W000_G2_5_para_Atr.TIF,10,0.402,0.04,0.31,2.469,0.202,0.466
W000_G2_6_perp_Atr.TIF,10,0.417,0.042,0.321,2.639,0.112,0.359
W000_G2_7_perp_Atr.TIF,12,0.451,0.038,0.348,2.197,0.133,0.4
W000_G2_8_perp_Atr.TIF,5,0.101,0.02,0.078,1.271,0.188,0.545
W000_G2_9_perp_Atr.TIF,16,0.492,0.031,0.379,1.97,0.149,0.399
W000_G3_10_perp_Atr.TIF,6,0.113,0.019,0.087,1.199,0.214,0.518
W000_G3_1_para_Atr.TIF,5,0.151,0.03,0.116,1.976,0.142,0.408
W000_G3_2_para_Atr.TIF,12,0.451,0.038,0.348,2.377,0.14,0.436
W000_G3_3_para_Atr.TIF,8,0.144,0.018,0.111,1.228,0.187,0.498
W000_G3_4_para_Atr.TIF,9,0.385,0.043,0.297,2.752,0.146,0.472
W000_G3_5_para_Atr.TIF,9,0.249,0.028,0.192,1.74,0.171,0.443
