Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
W001_G1_10_perp_Atr.TIF,14,0.467,0.033,0.373,1.932,0.153,0.466
W001_G1_1_para_Atr.TIF,24,0.56,0.023,0.446,1.325,0.224,0.542
W001_G1_2_para_Atr.TIF,13,0.242,0.019,0.193,1.135,0.251,0.601
W001_G1_3_para_Atr.TIF,22,0.508,0.023,0.405,1.327,0.212,0.534
W001_G1_4_para_Atr.TIF,9,0.321,0.036,0.256,2.076,0.168,0.5
W001_G1_5_para_Atr.TIF,15,0.422,0.028,0.336,1.673,0.244,0.544
W001_G1_6_perp_Atr.TIF,23,0.408,0.018,0.325,1.115,0.232,0.555
W001_G1_7_perp_Atr.TIF,36,0.941,0.026,0.75,1.599,0.186,0.47
W001_G1_8_perp_Atr.TIF,28,0.679,0.024,0.541,1.468,0.219,0.549
W001_G1_9_perp_Atr.TIF,11,0.353,0.032,0.282,1.89,0.139,0.421
W001_G2_10_perp_Atr.TIF,15,0.242,0.016,0.193,1.013,0.273,0.582
W001_G2_1_para_Atr.TIF,18,0.58,0.032,0.463,1.902,0.175,0.507
W001_G2_2_para_Atr.TIF,21,0.533,0.025,0.425,1.47,0.171,0.452
W001_G2_3_para_Atr.TIF,16,0.39,0.024,0.311,1.317,0.241,0.56
W001_G2_4_para_Atr.TIF,16,0.467,0.029,0.372,1.664,0.198,0.54
W001_G2_5_para_Atr.TIF,19,0.406,0.021,0.324,1.24,0.222,0.55
W001_G2_6_perp_Atr.TIF,16,0.342,0.021,0.273,1.3,0.223,0.586
W001_G2_7_perp_Atr.TIF,28,0.597,0.021,0.476,1.252,0.233,0.566
W001_G2_8_perp_Atr.TIF,11,0.277,0.025,0.221,1.466,0.218,0.538
W001_G2_9_perp_Atr.TIF,15,0.488,0.033,0.389,1.843,0.193,0.511
W001_G3_10_perp_Atr.TIF,19,0.442,0.023,0.352,1.337,0.21,0.502
W001_G3_1_para_Atr.TIF,11,0.327,0.03,0.261,1.682,0.182,0.478
W001_G3_2_para_Atr.TIF,17,0.409,0.024,0.326,1.325,0.252,0.571
W001_G3_3_para_Atr.TIF,15,0.291,0.019,0.232,1.178,0.233,0.525
W001_G3_4_para_Atr.TIF,16,0.258,0.016,0.205,1.006,0.31,0.601
W001_G3_5_para_Atr.TIF,26,0.71,0.027,0.566,1.571,0.212,0.495
W001_G3_6_perp_Atr.TIF,33,0.896,0.027,0.714,1.552,0.205,0.539
W001_G3_7_perp_Atr.TIF,20,0.571,0.029,0.455,1.683,0.157,0.444
W001_G3_8_perp_Atr.TIF,16,0.219,0.014,0.175,0.884,0.29,0.61
W001_G3_9_perp_Atr.TIF,18,0.598,0.033,0.477,1.874,0.199,0.515
W001_G4_10_perp_Atr.TIF,24,0.884,0.037,0.705,2.105,0.176,0.456
W001_G4_1_para_Atr.TIF,19,0.381,0.02,0.304,1.203,0.212,0.521
W001_G4_2_para_Atr.TIF,16,0.322,0.02,0.257,1.244,0.234,0.534
W001_G4_3_para_Atr.TIF,22,0.393,0.018,0.313,1.045,0.263,0.561
W001_G4_4_para_Atr.TIF,11,0.225,0.02,0.179,1.198,0.21,0.514
W001_G4_5_para_Atr.TIF,20,0.444,0.022,0.354,1.238,0.232,0.538
W001_G4_6_perp_Atr.TIF,31,0.683,0.022,0.545,1.301,0.215,0.52
W001_G4_7_perp_Atr.TIF,21,0.508,0.024,0.405,1.454,0.201,0.47
W001_G4_8_perp_Atr.TIF,34,0.715,0.021,0.57,1.277,0.215,0.527
W001_G4_9_perp_Atr.TIF,33,0.799,0.024,0.637,1.416,0.192,0.489
W001_G5_10_perp_Atr.TIF,20,0.618,0.031,0.493,1.713,0.178,0.486
W001_G5_1_para_Atr.TIF,24,0.589,0.025,0.47,1.45,0.185,0.457
W001_G5_2_para_Atr.TIF,19,0.541,0.028,0.432,1.757,0.175,0.445
W001_G5_3_para_Atr.TIF,19,0.384,0.02,0.306,1.211,0.235,0.552
W001_G5_4_para_Atr.TIF,14,0.282,0.02,0.225,1.235,0.198,0.521
W001_G5_5_para_Atr.TIF,11,0.273,0.025,0.218,1.621,0.194,0.467
W001_G5_6_perp_Atr.TIF,25,0.5,0.02,0.398,1.139,0.253,0.602
W001_G5_7_perp_Atr.TIF,25,0.844,0.034,0.673,1.861,0.199,0.467
W001_G5_8_perp_Atr.TIF,21,0.628,0.03,0.501,1.727,0.189,0.512
W001_G5_9_perp_Atr.TIF,12,0.254,0.021,0.203,1.31,0.203,0.497
W001_negative_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
W001_positive_Atr.TIF,14,0.855,0.061,0.681,3.341,0.134,0.34
