Slice,Count,Total Area,Average Size,%Area,Mean,Circ.,Solidity
W009_G1_1_para_AtrTa.TIF,21,0.487,0.023,0.405,255,0.241,0.542
W009_G1_2_para_AtrTa.TIF,7,0.167,0.024,0.139,255,0.246,0.58
W009_G1_3_para_AtrTa.TIF,8,0.181,0.023,0.151,255,0.223,0.509
W009_G1_6_perp_AtrTa.TIF,13,0.348,0.027,0.289,255,0.199,0.513
W009_G1_7_perp_AtrTa.TIF,5,0.215,0.043,0.179,255,0.247,0.465
W009_G1_8_perp_AtrTa.TIF,7,0.151,0.022,0.125,255,0.205,0.531
W009_G2_1_para_AtrTa.TIF,7,0.071,0.01,0.059,255,0.28,0.551
W009_G2_2_para_AtrTa.TIF,8,0.201,0.025,0.168,255,0.256,0.509
W009_G2_3_para_AtrTa.TIF,7,0.132,0.019,0.11,255,0.236,0.55
W009_G2_6_perp_AtrTa.TIF,6,0.178,0.03,0.148,255,0.202,0.563
W009_G2_7_perp_AtrTa.TIF,5,0.158,0.032,0.132,255,0.206,0.499
W009_G2_8_perp_AtrTa.TIF,1,0.026,0.026,0.022,255,0.1,0.22
W009_G3_1_para_AtrTa.TIF,31,0.736,0.024,0.613,255,0.224,0.55
W009_G3_2_para_AtrTa.TIF,14,0.392,0.028,0.326,255,0.177,0.475
W009_G3_3_para_AtrTa.TIF,8,0.133,0.017,0.111,255,0.208,0.463
W009_G3_6_perp_AtrTa.TIF,16,0.246,0.015,0.205,255,0.22,0.541
W009_G3_7_perp_AtrTa.TIF,16,0.444,0.028,0.37,255,0.225,0.517
W009_G3_8_perp_AtrTa.TIF,10,0.243,0.024,0.202,255,0.206,0.554
W009_G4_1_para_AtrTa.TIF,13,0.27,0.021,0.225,255,0.21,0.554
W009_G4_2_para_AtrTa.TIF,12,0.198,0.016,0.165,255,0.231,0.542
W009_G4_3_para_AtrTa.TIF,10,0.34,0.034,0.283,255,0.189,0.431
W009_G4_6_perp_AtrTa.TIF,11,0.253,0.023,0.211,255,0.225,0.543
W009_G4_7_perp_AtrTa.TIF,5,0.095,0.019,0.079,255,0.363,0.611
W009_G4_8_perp_AtrTa.TIF,21,0.54,0.026,0.449,255,0.242,0.576
W009_G5_1_para_AtrTa.TIF,8,0.13,0.016,0.109,255,0.328,0.597
W009_G5_2_para_AtrTa.TIF,9,0.207,0.023,0.173,255,0.255,0.535
W009_G5_3_para_AtrTa.TIF,7,0.155,0.022,0.129,255,0.22,0.542
W009_G5_6_perp_AtrTa.TIF,11,0.408,0.037,0.34,255,0.207,0.47
W009_G5_7_perp_AtrTa.TIF,5,0.103,0.021,0.086,255,0.279,0.574
W009_G5_8_perp_AtrTa.TIF,8,0.198,0.025,0.165,255,0.238,0.512
