Slice,Count,Total Area,Average Size,%Area,Mean,Circ.,Solidity
W010_G1_1_para_Atr.TIF,11,0.232,0.021,0.193,255,0.237,0.558
W010_G1_2_para_Atr.TIF,7,0.091,0.013,0.076,255,0.238,0.526
W010_G1_3_para_Atr.TIF,10,0.175,0.017,0.146,255,0.212,0.554
W010_G1_6_perp_Atr.TIF,3,0.139,0.046,0.115,255,0.158,0.431
W010_G1_7_perp_Atr.TIF,6,0.104,0.017,0.086,255,0.232,0.582
W010_G1_8_perp_Atr.TIF,9,0.153,0.017,0.127,255,0.255,0.597
W010_G2_1_para_Atr.TIF,10,0.165,0.017,0.138,255,0.217,0.535
W010_G2_2_para_Atr.TIF,6,0.096,0.016,0.08,255,0.232,0.566
W010_G2_3_para_Atr.TIF,4,0.047,0.012,0.039,255,0.415,0.803
W010_G2_6_perp_Atr.TIF,11,0.269,0.024,0.224,255,0.215,0.537
W010_G2_7_perp_Atr.TIF,8,0.16,0.02,0.133,255,0.313,0.574
W010_G2_8_perp_Atr.TIF,7,0.183,0.026,0.152,255,0.168,0.463
W010_G3_1_para_Atr.TIF,3,0.03,0.01,0.025,255,0.279,0.585
W010_G3_2_para_Atr.TIF,5,0.074,0.015,0.062,255,0.213,0.521
W010_G3_3_para_Atr.TIF,2,0.038,0.019,0.031,255,0.193,0.494
W010_G3_6_perp_Atr.TIF,8,0.184,0.023,0.153,255,0.204,0.55
W010_G3_7_perp_Atr.TIF,8,0.179,0.022,0.149,255,0.219,0.55
W010_G3_8_perp_Atr.TIF,7,0.139,0.02,0.115,255,0.323,0.624
W010_G4_1_para_Atr.TIF,7,0.149,0.021,0.124,255,0.188,0.528
W010_G4_2_para_Atr.TIF,7,0.125,0.018,0.104,255,0.254,0.596
W010_G4_3_para_Atr.TIF,7,0.194,0.028,0.161,255,0.16,0.516
W010_G4_6_perp_Atr.TIF,7,0.169,0.024,0.141,255,0.186,0.603
W010_G4_7_perp_Atr.TIF,9,0.208,0.023,0.173,255,0.199,0.537
W010_G4_8_perp_Atr.TIF,12,0.257,0.021,0.214,255,0.223,0.607
W010_G5_1_para_Atr.TIF,5,0.117,0.023,0.097,255,0.27,0.581
W010_G5_2_para_Atr.TIF,5,0.183,0.037,0.152,255,0.183,0.441
W010_G5_3_para_Atr.TIF,5,0.135,0.027,0.112,255,0.163,0.55
W010_G5_6_perp_Atr.TIF,2,0.026,0.013,0.021,255,0.36,0.77
W010_G5_7_perp_Atr.TIF,3,0.036,0.012,0.03,255,0.295,0.664
W010_G5_8_perp_Atr.TIF,2,0.026,0.013,0.022,255,0.298,0.611
W010_negative__Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
W010_positive__Atr.TIF,13,0.4,0.031,0.333,255,0.171,0.473
