Slice,Count,Total Area,Average Size,%Area,Mean,,
W013_G1_1_para_Atr.TIF,4,0.075,0.019,0.062,1.03,0.24,0.605
W013_G1_2_para_Atr.TIF,2,0.037,0.019,0.031,0.991,0.234,0.503
W013_G1_3_para_Atr.TIF,7,0.095,0.014,0.079,0.799,0.288,0.612
W013_G1_6_perp_Atr.TIF,4,0.092,0.023,0.077,1.258,0.175,0.528
W013_G1_7_perp_Atr.TIF,4,0.056,0.014,0.046,0.888,0.355,0.628
W013_G1_8_perp_Atr.TIF,9,0.166,0.018,0.138,1.089,0.225,0.568
W013_G2_1_para_Atr.TIF,5,0.113,0.023,0.094,1.235,0.25,0.575
W013_G2_2_para_Atr.TIF,12,0.231,0.019,0.193,1.049,0.296,0.641
W013_G2_3_para_Atr.TIF,5,0.07,0.014,0.058,0.664,0.4,0.735
W013_G2_6_perp_Atr.TIF,6,0.126,0.021,0.105,1.177,0.287,0.58
W013_G2_7_perp_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_G2_8_perp_Atr.TIF,7,0.17,0.024,0.142,1.257,0.319,0.584
W013_G3_1_para_Atr.TIF,7,0.106,0.015,0.088,0.909,0.275,0.597
W013_G3_2_para_Atr.TIF,6,0.157,0.026,0.131,1.402,0.217,0.49
W013_G3_3_para_Atr.TIF,2,0.02,0.01,0.017,0.7,0.244,0.638
W013_G3_6_perp_Atr.TIF,4,0.137,0.034,0.114,1.754,0.181,0.49
W013_G3_7_perp_Atr.TIF,2,0.098,0.049,0.082,2.637,0.228,0.456
W013_G3_8_perp_Atr.TIF,4,0.068,0.017,0.056,0.968,0.327,0.678
W013_G4_1_para_Atr.TIF,7,0.144,0.021,0.12,1.156,0.314,0.658
W013_G4_2_para_Atr.TIF,4,0.085,0.021,0.071,1.15,0.252,0.581
W013_G4_3_para_Atr.TIF,5,0.133,0.027,0.111,1.424,0.202,0.542
W013_G4_6_perp_Atr.TIF,7,0.152,0.022,0.127,1.096,0.307,0.669
W013_G4_7_perp_Atr.TIF,5,0.086,0.017,0.071,0.881,0.289,0.617
W013_G4_8_perp_Atr.TIF,7,0.139,0.02,0.116,1.033,0.289,0.632
W013_G5_1_para_Atr.TIF,4,0.113,0.028,0.094,1.408,0.302,0.608
W013_G5_2_para_Atr.TIF,3,0.063,0.021,0.052,1.001,0.338,0.656
W013_G5_3_para_Atr.TIF,4,0.053,0.013,0.044,0.811,0.261,0.565
W013_G5_6_perp_Atr.TIF,4,0.103,0.026,0.086,1.369,0.262,0.616
W013_G5_7_perp_Atr.TIF,5,0.091,0.018,0.075,1.099,0.214,0.467
W013_G5_8_perp_Atr.TIF,1,0.009,0.009,0.008,0.71,0.231,0.603
W013_negative__Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
W013_positive__Atr.TIF,11,0.415,0.038,0.345,2.041,0.162,0.425
