Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
W030_G1_1_para_AtrTa.TIF,3,0.05,0.017,0.042,0.896,0.331,0.617
W030_G1_6_perp_AtrTa.TIF,0,0,NaN,0,NaN,NaN,NaN
W030_G2_1_para_AtrTa.TIF,2,0.025,0.013,0.021,0.618,0.537,0.745
W030_G2_6_perp_AtrTa.TIF,1,0.007,0.007,0.006,0.474,0.381,0.697
W030_G3_1_para_AtrTa.TIF,0,0,NaN,0,NaN,NaN,NaN
W030_G3_6_perp_AtrTa.TIF,1,0.018,0.018,0.015,0.944,0.26,0.699
W030_G4_1_para_AtrTa.TIF,5,0.077,0.015,0.064,0.788,0.373,0.681
W030_G4_6_perp_AtrTa.TIF,0,0,NaN,0,NaN,NaN,NaN
W030_G5_1_para_AtrTa.TIF,0,0,NaN,0,NaN,NaN,NaN
W030_G5_6_perp_AtrTa.TIF,2,0.039,0.019,0.032,1.153,0.195,0.497
