Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
W003_G1_1_para_AtrTa.TIF,19,0.489,0.026,0.407,1.294,0.239,0.598
W003_G1_2_para_AtrTa.TIF,12,0.190,0.016,0.159,0.972,0.282,0.616
W003_G1_3_para_AtrTa.TIF,14,0.266,0.019,0.222,1.167,0.265,0.573
W003_G1_6_perp_AtrTa.TIF,19,0.402,0.021,0.335,1.203,0.250,0.555
W003_G1_7_perp_AtrTa.TIF,22,0.606,0.028,0.504,1.653,0.183,0.502
W003_G1_8_perp_AtrTa.TIF,36,0.760,0.021,0.633,1.202,0.249,0.564
W003_G2_1_para_AtrTa.TIF,14,0.257,0.018,0.214,1.183,0.255,0.565
W003_G2_2_para_AtrTa.TIF,19,0.637,0.034,0.530,1.737,0.195,0.452
W003_G2_3_para_AtrTa.TIF,21,0.461,0.022,0.384,1.202,0.266,0.554
W003_G2_6_perp_AtrTa.TIF,23,0.523,0.023,0.435,1.377,0.214,0.497
W003_G2_7_perp_AtrTa.TIF,11,0.232,0.021,0.193,1.237,0.264,0.595
W003_G2_8_perp_AtrTa.TIF,18,0.463,0.026,0.386,1.448,0.222,0.551
W003_G3_1_para_AtrTa.TIF,19,0.402,0.021,0.334,1.281,0.218,0.551
W003_G3_2_para_AtrTa.TIF,22,0.943,0.043,0.785,2.218,0.204,0.489
W003_G3_3_para_AtrTa.TIF,22,0.434,0.020,0.362,1.081,0.240,0.558
W003_G3_6_perp_AtrTa.TIF,25,0.674,0.027,0.561,1.558,0.202,0.471
W003_G3_7_perp_AtrTa.TIF,35,0.667,0.019,0.555,1.104,0.267,0.623
W003_G3_8_perp_AtrTa.TIF,19,0.397,0.021,0.330,1.279,0.229,0.509
W003_G4_1_para_AtrTa.TIF,23,0.613,0.027,0.511,1.447,0.189,0.471
W003_G4_2_para_AtrTa.TIF,11,0.453,0.041,0.377,2.138,0.173,0.462
W003_G4_3_para_AtrTa.TIF,18,0.452,0.025,0.376,1.390,0.195,0.473
W003_G4_6_perp_AtrTa.TIF,26,0.632,0.024,0.526,1.432,0.195,0.516
W003_G4_7_perp_AtrTa.TIF,24,0.583,0.024,0.486,1.367,0.212,0.505
W003_G4_8_perp_AtrTa.TIF,13,0.270,0.021,0.224,1.339,0.179,0.405
W003_G5_1_para_AtrTa.TIF,10,0.137,0.014,0.114,0.868,0.300,0.612
W003_G5_2_para_AtrTa.TIF,13,0.251,0.019,0.209,1.152,0.221,0.610
W003_G5_3_para_AtrTa.TIF,15,0.445,0.030,0.370,1.585,0.200,0.505
W003_G5_6_perp_AtrTa.TIF,7,0.159,0.023,0.132,1.393,0.249,0.522
W003_G5_7_perp_AtrTa.TIF,28,0.566,0.020,0.471,1.200,0.245,0.575
W003_G5_8_perp_AtrTa.TIF,23,0.478,0.021,0.398,1.144,0.285,0.580
