Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
MP_W004_G2_10_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_1_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_2_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_3_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_4_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_5_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_6_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_7_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_8_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_9_ATa.TIF,1,0.013,0.013,0.012,0.573,0.497,0.772
MP_W004_G2_10_Atr.TIF,4,0.063,0.016,0.06,0.991,0.212,0.73
MP_W004_G2_1_Atr.TIF,4,0.089,0.022,0.086,1.3,0.306,0.558
MP_W004_G2_2_Atr.TIF,6,0.093,0.016,0.09,1.032,0.247,0.504
MP_W004_G2_3_Atr.TIF,6,0.071,0.012,0.068,0.69,0.345,0.662
MP_W004_G2_4_Atr.TIF,6,0.145,0.024,0.14,1.419,0.215,0.61
MP_W004_G2_5_Atr.TIF,3,0.051,0.017,0.049,0.986,0.292,0.575
MP_W004_G2_6_Atr.TIF,6,0.105,0.018,0.101,0.914,0.31,0.656
MP_W004_G2_7_Atr.TIF,4,0.037,0.009,0.036,0.716,0.236,0.706
MP_W004_G2_8_Atr.TIF,4,0.062,0.015,0.059,0.77,0.313,0.644
MP_W004_G2_9_Atr.TIF,3,0.04,0.013,0.038,0.773,0.309,0.644
MP_W004_G2_negative_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_positive_Atr.TIF,11,0.204,0.019,0.196,1.137,0.228,0.514
MP_W004_G2_10_AtrTa.TIF,7,0.138,0.02,0.132,1.191,0.259,0.588
MP_W004_G2_1_AtrTa.TIF,4,0.1,0.025,0.096,1.448,0.212,0.482
MP_W004_G2_2_AtrTa.TIF,5,0.079,0.016,0.075,0.998,0.24,0.521
MP_W004_G2_3_AtrTa.TIF,8,0.133,0.017,0.128,0.774,0.352,0.668
MP_W004_G2_4_AtrTa.TIF,7,0.228,0.033,0.219,1.589,0.258,0.582
MP_W004_G2_5_AtrTa.TIF,3,0.072,0.024,0.069,0.98,0.421,0.667
MP_W004_G2_6_AtrTa.TIF,7,0.147,0.021,0.141,0.978,0.314,0.623
MP_W004_G2_7_AtrTa.TIF,5,0.093,0.019,0.089,1.147,0.304,0.57
MP_W004_G2_8_AtrTa.TIF,4,0.109,0.027,0.104,1.062,0.294,0.619
MP_W004_G2_9_AtrTa.TIF,5,0.062,0.012,0.059,0.703,0.319,0.694
MP_W004_G2_10_B.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_3_B.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_4_B.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_5_B.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_6_B.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_7_B.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_8_B.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_9_B.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_negative_B.TIF,0,0,NaN,0,NaN,NaN,NaN
MP_W004_G2_positive_B.TIF,11,0.248,0.023,0.238,1.274,0.2,0.471
