Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
W005_G1_1_para_Ta.TIF,22,0.484,0.022,0.390,1.362,0.197,0.475
W005_G1_2_para_Ta.TIF,18,0.341,0.019,0.274,1.163,0.202,0.474
W005_G1_3_para_Ta.TIF,26,0.471,0.018,0.379,1.111,0.251,0.548
W005_G1_6_perp_Ta.TIF,25,0.705,0.028,0.567,1.635,0.185,0.467
W005_G1_7_perp_Ta.TIF,22,0.790,0.036,0.636,1.906,0.219,0.505
W005_G1_8_perp_Ta.TIF,14,0.385,0.027,0.309,1.603,0.178,0.457
W005_G2_1_para_Ta.TIF,25,0.603,0.024,0.485,1.333,0.233,0.534
W005_G2_2_para_Ta.TIF,16,0.367,0.023,0.295,1.303,0.234,0.519
W005_G2_3_para_Ta.TIF,21,0.517,0.025,0.416,1.499,0.182,0.475
W005_G2_6_perp_Ta.TIF,20,0.370,0.018,0.298,1.164,0.211,0.509
W005_G2_7_perp_Ta.TIF,14,0.365,0.026,0.294,1.709,0.145,0.453
W005_G2_8_perp_Ta.TIF,16,0.344,0.022,0.277,1.238,0.197,0.487
W005_G3_1_para_Ta.TIF,27,0.678,0.025,0.546,1.328,0.217,0.498
W005_G3_2_para_Ta.TIF,20,0.381,0.019,0.307,1.142,0.216,0.536
W005_G3_3_para_Ta.TIF,9,0.339,0.038,0.273,2.253,0.140,0.404
W005_G3_6_perp_Ta.TIF,15,0.345,0.023,0.277,1.264,0.230,0.512
W005_G3_7_perp_Ta.TIF,29,0.547,0.019,0.440,1.152,0.223,0.506
W005_G3_8_perp_Ta.TIF,33,0.938,0.028,0.755,1.638,0.179,0.431
W005_G4_1_para_Ta.TIF,21,0.459,0.022,0.369,1.215,0.265,0.558
W005_G4_2_para_Ta.TIF,15,0.315,0.021,0.254,1.307,0.208,0.459
W005_G4_3_para_Ta.TIF,16,0.374,0.023,0.301,1.359,0.233,0.502
W005_G4_6_perp_Ta.TIF,21,0.464,0.022,0.373,1.208,0.240,0.513
W005_G4_7_perp_Ta.TIF,17,0.430,0.025,0.346,1.414,0.209,0.487
W005_G4_8_perp_Ta.TIF,21,0.467,0.022,0.376,1.244,0.242,0.523
W005_G5_1_para_Ta.TIF,16,0.415,0.026,0.334,1.436,0.223,0.511
W005_G5_2_para_Ta.TIF,18,0.457,0.025,0.368,1.322,0.241,0.489
W005_G5_3_para_Ta.TIF,23,0.837,0.036,0.674,1.953,0.168,0.445
W005_G5_6_perp_Ta.TIF,25,0.434,0.017,0.349,0.979,0.287,0.590
W005_G5_7_perp_Ta.TIF,12,0.273,0.023,0.219,1.343,0.173,0.457
W005_G5_8_perp_Ta.TIF,14,0.275,0.020,0.221,1.165,0.202,0.486
