Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
MP_W006_G4C_10_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W006_G4C_1_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W006_G4C_2_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W006_G4C_3_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W006_G4C_4_ATa.TIF,1,0.008,0.008,0.008,0.481,0.440,0.705
MP_W006_G4C_5_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W006_G4C_6_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W006_G4C_7_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W006_G4C_8_ATa.TIF,1,0.009,0.009,0.008,0.376,0.754,0.925
MP_W006_G4C_9_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W006_G4C_10_Atr.TIF,17,0.294,0.017,0.282,1.115,0.230,0.544
MP_W006_G4C_1_Atr.TIF,19,0.344,0.018,0.331,1.112,0.251,0.524
MP_W006_G4C_2_Atr.TIF,15,0.251,0.017,0.241,0.999,0.277,0.617
MP_W006_G4C_3_Atr.TIF,19,0.309,0.016,0.296,1.091,0.233,0.519
MP_W006_G4C_4_Atr.TIF,16,0.352,0.022,0.337,1.314,0.208,0.525
MP_W006_G4C_5_Atr.TIF,10,0.214,0.021,0.206,1.363,0.158,0.477
MP_W006_G4C_6_Atr.TIF,4,0.095,0.024,0.091,1.458,0.154,0.401
MP_W006_G4C_7_Atr.TIF,15,0.263,0.018,0.252,1.061,0.233,0.586
MP_W006_G4C_8_Atr.TIF,10,0.174,0.017,0.167,1.061,0.268,0.604
MP_W006_G4C_9_Atr.TIF,9,0.172,0.019,0.166,1.182,0.184,0.493
MP_W006_G4C_negative_Atr.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W006_G4C_positive_Atr.TIF,12,0.217,0.018,0.208,1.090,0.242,0.536
MP_W006_G4C_10_AtrTa.TIF,11,0.168,0.015,0.161,1.062,0.227,0.578
MP_W006_G4C_1_AtrTa.TIF,9,0.156,0.017,0.150,1.044,0.234,0.550
MP_W006_G4C_2_AtrTa.TIF,12,0.227,0.019,0.218,1.105,0.254,0.551
MP_W006_G4C_3_AtrTa.TIF,16,0.285,0.018,0.273,1.165,0.261,0.531
MP_W006_G4C_4_AtrTa.TIF,17,0.369,0.022,0.354,1.239,0.241,0.554
MP_W006_G4C_5_AtrTa.TIF,10,0.172,0.017,0.165,1.192,0.164,0.460
MP_W006_G4C_6_AtrTa.TIF,6,0.115,0.019,0.111,1.281,0.176,0.421
MP_W006_G4C_7_AtrTa.TIF,6,0.115,0.019,0.110,1.146,0.222,0.565
MP_W006_G4C_8_AtrTa.TIF,6,0.094,0.016,0.091,0.993,0.214,0.505
MP_W006_G4C_9_AtrTa.TIF,10,0.163,0.016,0.156,1.097,0.182,0.470
MP_W006_G4C_10_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W006_G4C_1_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W006_G4C_2_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W006_G4C_3_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W006_G4C_4_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W006_G4C_5_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W006_G4C_6_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W006_G4C_7_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W006_G4C_8_B.TIF,1,0.027,0.027,0.026,1.623,0.127,0.342
MP_W006_G4C_9_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W006_G4C_negative_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W006_G4C_positive_B.TIF,11,0.246,0.022,0.236,1.249,0.230,0.511
