Slice,Count,Total Area,Average Size,%Area,Mean,Circ.,Solidity
W007_G1_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G1_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G1_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G1_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G1_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G1_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G2_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G2_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G2_3_para_B.TIF,1,0.008,0.008,0.007,0.375,0.7,0.887
W007_G2_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G2_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G2_8_perp_B.TIF,1,0.007,0.007,0.006,0.423,0.519,0.812
W007_G3_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G3_2_para_B.TIF,1,0.006,0.006,0.005,0.398,0.502,0.861
W007_G3_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G3_6_perp_B.TIF,1,0.013,0.013,0.011,0.606,0.447,0.691
W007_G3_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G3_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G4_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G4_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G4_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G4_6_perp_B.TIF,1,0.022,0.022,0.019,1.325,0.16,0.466
W007_G4_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G4_8_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G5_1_para_B.TIF,1,0.006,0.006,0.005,0.329,0.653,0.891
W007_G5_2_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G5_3_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G5_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G5_7_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_G5_8_perp_B.TIF,1,0.009,0.009,0.008,0.778,0.187,0.619
W007_negative_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W007_positive_B.TIF,14,0.547,0.039,0.455,2.069,0.17,0.426
