Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
MP_W008_G4B_10_ATa.TIF,1,0.007,0.007,0.007,0.494,0.380,0.704
MP_W008_G4B_1_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W008_G4B_2_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W008_G4B_3_ATa.TIF,2,0.015,0.007,0.014,0.681,0.200,0.551
MP_W008_G4B_4_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W008_G4B_5_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W008_G4B_6_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W008_G4B_7_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W008_G4B_8_ATa.TIF,1,0.020,0.020,0.019,1.195,0.172,0.438
MP_W008_G4B_9_ATa.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W008_G4B_10_Atr.TIF,10,0.145,0.014,0.139,0.871,0.255,0.563
MP_W008_G4B_1_Atr.TIF,11,0.192,0.017,0.184,1.122,0.245,0.561
MP_W008_G4B_2_Atr.TIF,13,0.197,0.015,0.189,0.951,0.284,0.559
MP_W008_G4B_3_Atr.TIF,10,0.183,0.018,0.176,1.097,0.251,0.614
MP_W008_G4B_4_Atr.TIF,10,0.164,0.016,0.157,1.012,0.282,0.590
MP_W008_G4B_5_Atr.TIF,8,0.097,0.012,0.093,0.853,0.257,0.540
MP_W008_G4B_6_Atr.TIF,7,0.134,0.019,0.129,1.139,0.221,0.550
MP_W008_G4B_7_Atr.TIF,11,0.163,0.015,0.156,0.982,0.280,0.545
MP_W008_G4B_8_Atr.TIF,3,0.047,0.016,0.045,0.837,0.311,0.650
MP_W008_G4B_9_Atr.TIF,14,0.252,0.018,0.242,1.117,0.207,0.531
MP_W008_G4B_negative_Atr.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W008_G4B_positive_Atr.TIF,10,0.218,0.022,0.209,1.235,0.229,0.514
MP_W008_G4B_10_AtrTa.TIF,9,0.120,0.013,0.115,0.915,0.231,0.525
MP_W008_G4B_1_AtrTa.TIF,3,0.091,0.030,0.087,1.904,0.230,0.529
MP_W008_G4B_2_AtrTa.TIF,4,0.074,0.019,0.071,1.249,0.183,0.369
MP_W008_G4B_3_AtrTa.TIF,7,0.142,0.020,0.137,1.261,0.227,0.545
MP_W008_G4B_4_AtrTa.TIF,7,0.077,0.011,0.074,0.750,0.292,0.640
MP_W008_G4B_5_AtrTa.TIF,5,0.062,0.012,0.059,0.873,0.275,0.649
MP_W008_G4B_6_AtrTa.TIF,7,0.121,0.017,0.116,0.995,0.264,0.588
MP_W008_G4B_7_AtrTa.TIF,7,0.139,0.020,0.133,1.269,0.355,0.600
MP_W008_G4B_8_AtrTa.TIF,2,0.033,0.017,0.032,0.884,0.322,0.674
MP_W008_G4B_9_AtrTa.TIF,14,0.300,0.021,0.288,1.229,0.223,0.513
MP_W008_G4B_10_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W008_G4B_1_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W008_G4B_2_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W008_G4B_3_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W008_G4B_4_B.TIF,1,0.006,0.006,0.006,0.588,0.220,0.506
MP_W008_G4B_5_B.TIF,1,0.011,0.011,0.011,0.596,0.406,0.764
MP_W008_G4B_6_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W008_G4B_7_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W008_G4B_8_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W008_G4B_9_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W008_G4B_negative_B.TIF,0,0.000,NaN,0.000,NaN,NaN,NaN
MP_W008_G4B_positive_B.TIF,11,0.229,0.021,0.220,1.178,0.246,0.538
