Slice,Count,Total Area,Average Size,%Area,Mean,,
W013_G1_1_para_AtrTa.TIF,4,0.072,0.018,0.06,1.039,0.228,0.601
W013_G1_2_para_AtrTa.TIF,2,0.048,0.024,0.04,1.285,0.254,0.493
W013_G1_3_para_AtrTa.TIF,6,0.074,0.012,0.062,0.721,0.333,0.64
W013_G1_6_perp_AtrTa.TIF,4,0.095,0.024,0.079,1.324,0.164,0.499
W013_G1_7_perp_AtrTa.TIF,3,0.048,0.016,0.04,0.923,0.268,0.656
W013_G1_8_perp_AtrTa.TIF,9,0.173,0.019,0.144,1.143,0.236,0.547
W013_G2_1_para_AtrTa.TIF,5,0.127,0.025,0.106,1.253,0.242,0.542
W013_G2_2_para_AtrTa.TIF,9,0.209,0.023,0.174,1.184,0.282,0.624
W013_G2_3_para_AtrTa.TIF,5,0.06,0.012,0.05,0.68,0.337,0.643
W013_G2_6_perp_AtrTa.TIF,4,0.114,0.028,0.095,1.666,0.147,0.432
W013_G2_7_perp_AtrTa.TIF,1,0.007,0.007,0.005,0.409,0.496,0.746
W013_G2_8_perp_AtrTa.TIF,6,0.16,0.027,0.133,1.41,0.287,0.544
W013_G3_1_para_AtrTa.TIF,7,0.105,0.015,0.087,0.907,0.259,0.565
W013_G3_2_para_AtrTa.TIF,5,0.204,0.041,0.17,2.18,0.151,0.378
W013_G3_3_para_AtrTa.TIF,1,0.012,0.012,0.01,0.796,0.247,0.499
W013_G3_6_perp_AtrTa.TIF,5,0.143,0.029,0.119,1.548,0.187,0.482
W013_G3_7_perp_AtrTa.TIF,2,0.105,0.053,0.087,2.25,0.239,0.457
W013_G3_8_perp_AtrTa.TIF,5,0.097,0.019,0.08,1.058,0.351,0.683
W013_G4_1_para_AtrTa.TIF,6,0.133,0.022,0.111,1.346,0.265,0.566
W013_G4_2_para_AtrTa.TIF,4,0.094,0.023,0.078,1.326,0.192,0.481
W013_G4_3_para_AtrTa.TIF,4,0.112,0.028,0.093,1.346,0.187,0.486
W013_G4_6_perp_AtrTa.TIF,7,0.14,0.02,0.117,1.041,0.283,0.597
W013_G4_7_perp_AtrTa.TIF,6,0.082,0.014,0.069,0.803,0.274,0.619
W013_G4_8_perp_AtrTa.TIF,4,0.093,0.023,0.078,1.34,0.223,0.542
W013_G5_1_para_AtrTa.TIF,3,0.099,0.033,0.082,1.624,0.272,0.578
W013_G5_2_para_AtrTa.TIF,2,0.051,0.025,0.042,1.284,0.301,0.597
W013_G5_3_para_AtrTa.TIF,4,0.061,0.015,0.05,0.828,0.282,0.586
W013_G5_6_perp_AtrTa.TIF,3,0.103,0.034,0.085,1.954,0.146,0.502
W013_G5_7_perp_AtrTa.TIF,5,0.091,0.018,0.076,1.149,0.243,0.45
W013_G5_8_perp_AtrTa.TIF,1,0.008,0.008,0.007,0.704,0.211,0.673
