Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
W015_G1_1_para_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G1_2_para_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G1_3_para_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G1_6_perp_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G1_7_perp_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G1_8_perp_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G2_1_para_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G2_2_para_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G2_3_para_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G2_6_perp_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G2_7_perp_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G2_8_perp_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G3_1_para_ATa.TIF,2,0.023,0.011,0.019,0.537,0.472,0.831
W015_G3_2_para_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G3_3_para_ATa.TIF,1,0.009,0.009,0.008,0.532,0.417,0.718
W015_G3_6_perp_ATa.TIF,2,0.027,0.014,0.023,0.791,0.344,0.623
W015_G3_7_perp_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G3_8_perp_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G4_1_para_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G4_2_para_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G4_3_para_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G4_6_perp_ATa.TIF,1,0.022,0.022,0.018,0.892,0.343,0.679
W015_G4_7_perp_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G4_8_perp_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G5_1_para_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G5_2_para_ATa.TIF,1,0.01,0.01,0.008,0.741,0.227,0.624
W015_G5_3_para_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G5_6_perp_ATa.TIF,1,0.034,0.034,0.028,1.349,0.232,0.682
W015_G5_7_perp_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
W015_G5_8_perp_ATa.TIF,0,0,NaN,0,NaN,NaN,NaN
