Slice,Count,Total Area,Average Size,%Area,Mean,Circ.,Solidity
W020_G1_1_para_AtrTa.TIF,5,0.1,0.02,0.084,255,0.247,0.502
W020_G1_6_perp_AtrTa.TIF,1,0.035,0.035,0.029,255,0.123,0.465
W020_G2_1_para_AtrTa.TIF,3,0.023,0.008,0.019,255,0.595,0.815
W020_G2_6_perp_AtrTa.TIF,5,0.105,0.021,0.087,255,0.201,0.497
W020_G3_1_para_AtrTa.TIF,3,0.073,0.024,0.061,255,0.36,0.608
W020_G3_6_perp_AtrTa.TIF,6,0.149,0.025,0.124,255,0.201,0.516
W020_G4_1_para_AtrTa.TIF,4,0.099,0.025,0.082,255,0.409,0.688
W020_G4_6_perp_AtrTa.TIF,4,0.101,0.025,0.084,255,0.251,0.566
W020_G5_1_para_AtrTa.TIF,5,0.068,0.014,0.056,255,0.384,0.689
W020_G5_6_perp_AtrTa.TIF,4,0.139,0.035,0.116,255,0.443,0.71
