Slice,Count,Total Area,Average Size,%Area,Mean,Circ.,Solidity
W020_G1_1_para_Atr.TIF,5,0.088,0.018,0.074,255,0.222,0.508
W020_G1_6_perp_Atr.TIF,2,0.031,0.016,0.026,255,0.202,0.609
W020_G2_1_para_Atr.TIF,3,0.02,0.007,0.017,255,0.52,0.783
W020_G2_6_perp_Atr.TIF,5,0.087,0.017,0.073,255,0.209,0.504
W020_G3_1_para_Atr.TIF,4,0.085,0.021,0.071,255,0.279,0.561
W020_G3_6_perp_Atr.TIF,8,0.168,0.021,0.14,255,0.279,0.568
W020_G4_1_para_Atr.TIF,3,0.059,0.02,0.049,255,0.275,0.544
W020_G4_6_perp_Atr.TIF,3,0.073,0.024,0.061,255,0.143,0.446
W020_G5_1_para_Atr.TIF,3,0.036,0.012,0.03,255,0.375,0.7
W020_G5_6_perp_Atr.TIF,4,0.124,0.031,0.104,255,0.435,0.71
W020_negative__Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
W020_positive__Atr.TIF,10,0.407,0.041,0.339,255,0.175,0.4
