Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
W024_G1_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W024_G1_6_perp_B.TIF,1,0.022,0.022,0.019,1.091,0.236,0.48
W024_G2_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W024_G2_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W024_G3_1_para_B.TIF,1,0.006,0.006,0.005,0.381,0.536,0.895
W024_G3_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W024_G4_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W024_G4_6_perp_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W024_G5_1_para_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W024_G5_6_perp_B.TIF,3,0.068,0.023,0.056,1.438,0.147,0.37
W024_negative_B.TIF,0,0,NaN,0,NaN,NaN,NaN
W024_positive_B.TIF,10,0.427,0.043,0.355,2.179,0.157,0.36
