Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
W038_G1_1_para_Atr.TIF,3,0.03,0.01,0.024,0.826,0.183,0.525
W038_G1_6_perp_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
W038_G2_1_para_Atr.TIF,1,0.054,0.054,0.043,2.832,0.085,0.396
W038_G2_6_perp_Atr.TIF,3,0.035,0.012,0.028,0.833,0.248,0.617
W038_G3_1_para_Atr.TIF,1,0.009,0.009,0.007,0.599,0.328,0.713
W038_G3_6_perp_Atr.TIF,1,0.027,0.027,0.021,1.562,0.137,0.413
W038_G4_1_para_Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
W038_G4_6_perp_Atr.TIF,1,0.008,0.008,0.007,0.511,0.404,0.656
W038_G5_1_para_Atr.TIF,1,0.015,0.015,0.012,1.037,0.174,0.482
W038_G5_6_perp_Atr.TIF,2,0.027,0.014,0.022,0.841,0.244,0.666
W038_negative__Atr.TIF,0,0,NaN,0,NaN,NaN,NaN
W038_positive__Atr.TIF,9,0.393,0.044,0.309,2.195,0.152,0.39
