Slice,Count,Total Area,Average Size,%Area,Circ.,Solidity,
G14_F1_R1_C10_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R2_C10_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R3_C10_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R4_C10_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R5_C10_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R6_C1_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R7_C1_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R8_C1_AW.TIF,1,0.016,0.016,0.017,0.146,0.292,
G14_F2_R1_C10_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R2_C10_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R3_C10_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R4_C10_AW.TIF,1,0.007,0.007,0.007,0.277,0.61,
G14_F2_R5_C10_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R6_C2_AW.TIF,1,0.006,0.006,0.005,0.221,0.675,
G14_F2_R7_C2_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R8_C2_AW.TIF,3,0.032,0.011,0.026,0.304,0.6,
G14_F2_R9_C2_AW.TIF,2,0.072,0.036,0.06,0.111,0.343,
G14_F1_R1_C1_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R1_C2_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R1_C3_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R1_C4_AW.TIF,1,0.008,0.008,0.007,0.707,0.192,0.359
G14_F1_R1_C5_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R1_C6_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R1_C7_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R1_C8_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R1_C9_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R2_C1_AW.TIF,1,0.012,0.012,0.01,0.486,0.79,
G14_F1_R2_C2_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R2_C3_AW.TIF,2,0.09,0.045,0.074,0.161,0.395,
G14_F1_R2_C4_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R2_C5_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R2_C6_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R2_C7_AW.TIF,1,0.006,0.006,0.005,0.21,0.604,
G14_F1_R2_C8_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R2_C9_AW.TIF,1,0.015,0.015,0.013,0.294,0.655,
G14_F1_R3_C1_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R3_C2_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R3_C3_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R3_C4_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R3_C5_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R3_C6_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R3_C7_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R3_C8_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R3_C9_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R4_C1_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R4_C2_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R4_C3_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R4_C4_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R4_C5_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R4_C6_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R4_C7_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R4_C8_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R4_C9_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R5_C1_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R5_C2_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R5_C3_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R5_C4_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R5_C5_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R5_C6_AW.TIF,1,0.016,0.016,0.013,0.26,0.576,
G14_F1_R5_C7_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R5_C8_AW.TIF,0,0,NaN,0,NaN,NaN,
