Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity
G2_F1_R1_C1_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R1_C1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R1_C10_AW.TIF,3,0.196,0.065,0.211,3.11,0.097,0.306
G2_F1_R1_C10_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R1_C2_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R1_C2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R1_C3_AW.TIF,2,0.018,0.009,0.015,0.66,0.433,0.589
G2_F1_R1_C3_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R1_C4_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R1_C4_B.TIF,1,0.016,0.016,0.013,0.789,0.319,0.658
G2_F1_R1_C5_AW.TIF,1,0.009,0.009,0.007,0.638,0.276,0.606
G2_F1_R1_C5_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R1_C6_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R1_C6_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R1_C7_AW.TIF,9,0.108,0.012,0.089,1.076,0.135,0.507
G2_F1_R1_C7_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R1_C8_AW.TIF,4,0.077,0.019,0.063,1.678,0.127,0.487
G2_F1_R1_C8_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R1_C9_AW.TIF,1,0.012,0.012,0.01,0.867,0.207,0.466
G2_F1_R1_C9_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R10_C1_AW.TIF,3,0.045,0.015,0.115,1.026,0.241,0.523
G2_F1_R10_C1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R10_C10_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R10_C10_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R10_C2_AW.TIF,1,0.031,0.031,0.078,2.276,0.074,0.185
G2_F1_R10_C2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R10_C3_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R10_C3_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R10_C4_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R10_C4_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R10_C5_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R10_C5_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R10_C6_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R10_C6_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R10_C7_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R10_C7_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R10_C8_AW.TIF,1,0.014,0.014,0.037,0.967,0.194,0.402
G2_F1_R10_C8_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R10_C9_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R10_C9_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R2_C1_AW.TIF,1,0.031,0.031,0.026,2.252,0.077,0.174
G2_F1_R2_C1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R2_C10_AW.TIF,1,0.033,0.033,0.035,1.731,0.137,0.363
G2_F1_R2_C10_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R2_C2_AW.TIF,4,0.121,0.03,0.1,1.743,0.171,0.399
G2_F1_R2_C2_B.TIF,1,0.02,0.02,0.016,1.384,0.131,0.31
G2_F1_R2_C3_AW.TIF,1,0.056,0.056,0.046,3.282,0.065,0.165
G2_F1_R2_C3_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G2_F1_R2_C4_AW.TIF,1,0.033,0.033,0.028,2.52,0.066,0.346
G2_F1_R2_C4_B.TIF,0,0,NaN,0,NaN,NaN,NaN
