V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
W000,7,6,5.67,4,5,4.67,3.33,6.33,7.67,5
W001,10.33,11,7.67,13,7,14.33,14.67,12.33,14.67,18
W002,18,11.33,11.33,14.33,11,17.33,14,16.33,17.33,22.67
W003,12,14,11,11,14,14.67,13.67,10,16.67,14
W004,13.33,12.33,16.67,13.33,14.33,12.67,20.33,16.33,18,14.33
W005,12,10.67,6,11,10.33,13.33,15.67,12.67,12.33,9.67
W006,13.67,13.67,12,13.67,11.67,10.33,15.67,12,11.67,16
W007,10.33,10.33,9.33,9.67,8.67,11,14.67,10.67,8.33,10
W008,7.33,8.33,9.33,7.67,8.33,9.33,11,8,9.67,13
W009,10.33,9.67,10.67,10.67,8.33,11,10.33,11,10.67,10.33
W010,11.33,9.67,5.33,8,8.33,10.33,11.33,12.67,13,9.33
W011,6.33,8.67,5.67,5.67,7,7,4.33,4.67,8.33,8
W012,8,11.33,10.67,7.33,11,8.67,7.33,8,6.33,14.33
W013,10.33,8.33,4.67,7.33,9.33,9.33,8,9.33,6.67,13.33
W014,8.67,7.67,8,6.67,12.33,7.33,7.33,6.67,8.33,12.33
W015,5.33,4.67,4.33,8,8,5.67,7.33,9,7.67,3
W018,5.67,5,8,6.33,6.67,6.67,9.33,8.33,7.67,11
W019,6.67,4.33,5.33,6,4.33,3,7.67,4,8,10.33
W020,2.67,4.67,3,3.33,3.33,5.33,7.33,4.67,4.67,3.33
W021,5,4,4.67,8.33,3.33,6.33,5,5.33,7,9.33
W022,3.67,5,1.67,4,4.67,5,2.33,6,2.67,5
W023,4,3.33,2,5,5.67,2.67,4.67,7.33,5.67,7
W025,4,4.67,3.67,5,3,4.67,3.33,7.67,7,5
W027,0.33,2.33,2,3.33,2,2.33,4.33,4,1.33,2
W029,3.33,2,3.67,4.33,3.67,2.33,3.33,2.67,2.67,3.33
W031,1,1.67,3,0.67,3,3.67,4.33,2,1.67,3.67
W033,3.67,1.67,3,2,3.33,2.33,2.33,2.33,4.33,3.67
W035,3.33,2.33,3.33,1.67,2.67,3,3,2.67,3.33,1
W037,1.67,2.33,3.33,5,2.67,3,5,2,2.67,2.67
W039,1.33,3,1.67,1.67,2.33,3.67,3.33,2.67,3.67,3.67
W041,1.33,0.67,2,0.33,1.33,1.33,0.67,2.67,1.67,2
