V1,V2,V3,V4,V5,V6
W000,10,8.3,8.1,7.3,6
W001,19.5,17.5,19.1,23.1,18.9
W002,20,17.67,15.33,21.67,17.5
W003,21.33,18,23,19.5,15.83
W004,21.5,20.17,29.33,26.17,24.33
W005,20.83,18,21,16.33,14.67
W006,17.38,22.75,16,15.38,13.88
W007,15.33,10.17,14.17,15.5,9.33
W008,3.33,4.5,5.5,5.33,4
W009,8.67,4.83,14.17,11,7.83
W010,7.5,7.67,5.5,8.17,3.17
W011,4.6,6.11,8.1,4.4,5.9
W012,4.33,6.83,5.17,5.17,9.33
W013,4.83,5.67,4.17,5.67,3.5
W014,3.5,3,3.83,6.67,9.33
W015,3.33,4.5,4.67,4.33,4.67
W016,3.25,3.38,2.12,5.25,3.5
W017,5,3.5,5.17,4,5.67
W018,4.5,0.5,0.5,2,0.5
W019,2.83,3.5,2.33,3,2.17
W020,3,4,6,3,3.5
W021,1.1,1.6,3.6,1.8,2.6
W022,3.5,5.5,4,1,4
W023,1.5,2.17,0.67,2,1.83
W024,2,1.5,0.5,1.5,0.5
W025,1.17,1.5,1.83,1.83,1.67
W026,3,1,1.25,0.5,0
W027,0.83,1.5,1.67,2.83,1.67
W028,1.5,0.5,2.5,1,1
W029,2,0.83,0.83,2.33,2.67
W030,0.5,0.5,0.5,1.5,1
W031,3,1.8,1.9,2.2,2.7
W032,0,0,-0.5,0.5,0
W033,0.5,1.67,1.33,1.83,1.33
W034,-0.5,0.5,-0.5,1,2.5
W035,0.67,1.5,0.83,0.5,1.67
W036,2.25,2.5,1,1,1
W037,0.83,0.5,0.5,0,1.83
W038,0.5,2,0.5,0.5,1
W039,0.67,1,1.17,0.67,1.17
W040,0,1,0.5,0,4
W041,0.2,0.5,1,0.4,0.3
W042,0,0,0,0,-0.5
W043,0.33,1.17,0.5,0.67,0.67
W044,-0.5,1.5,1,0.5,0.5
W045,0.33,0.33,1.17,0.5,1.17
W046,1.5,1,1,0.5,0.25
W047,0.33,0.67,0.5,0.67,2.17
W048,1,1,0.5,0,1.5
W049,0.17,0,-0.17,0.33,0.17
W050,0,0.5,0,1,0
W051,0,0.6,0.4,0.1,-0.1
