Weight,Uweight,U2weight,Loadcell,Uloadcell,U2loadcell
0.00,0.0029,0.0058,0.09,0.04,0.09
20.58,0.0029,0.0058,15.86,0.21,0.43
49.65,0.0029,0.0058,51.07,0.14,0.29
99.62,0.0029,0.0058,99.40,0.15,0.29
199.36,0.0029,0.0058,199.40,0.13,0.25
299.11,0.0029,0.0058,300.64,0.53,1.06
399.05,0.0029,0.0058,399.94,0.15,0.31
498.77,0.0029,0.0058,499.44,0.25,0.50
598.52,0.0029,0.0058,598.60,0.13,0.25
698.72,0.0029,0.0058,698.62,0.40,0.81
799.06,0.0029,0.0058,799.08,0.17,0.34
899.38,0.0029,0.0058,900.03,0.11,0.23
998.65,0.0029,0.0058,998.11,0.17,0.33
