"1 garment, no dertergent, no softener",,,,,"1 garment, dertergent, no softener",,,,,"1 garment, dertergent and  softener",,,,,"12 garments, no dertergent, no softener",,,
meanArea (mm2),SD,Weight used ,Wash number,,meanArea (mm2),SD,Weight used ,Wash number,,meanArea (mm2),SD,Weight used ,Wash number,,meanArea (mm2),SD,Weight used ,Wash number
32.74,11.45,100g,W000,,11.04,2.3,100g,W000,,34.58,9.99,100g,W000,,22.81,9.29,100g,W000
51.85,17.77,200g,W000,,15.63,3.97,200g,W000,,49.19,12.31,200g,W000,,43.2,38.08,200g,W000
64.31,18.25,400g,W000,,31.22,8.92,400g,W000,,79.47,19.59,400g,W000,,47.45,11.81,400g,W000
74.77,8.54,800g,W000,,43.58,5.69,800g,W000,,111.5,35.25,800g,W000,,68.61,14.37,800g,W000
81.83,10.16,1000g,W000,,47.08,15.37,1000g,W000,,139.12,45.02,1000g,W000,,62.33,14.97,1000g,W000
109.01,14.44,2000g,W000,,84.65,21.25,2000g,W000,,111.83,9.8,2000g,W000,,64.63,17.75,2000g,W000
71.29,14.34,100g,W001,,109.12,15.98,100g,W001,,89.76,8.63,100g,W001,,130.29,40.33,100g,W001
118.01,13.72,200g,W001,,123.04,12.49,200g,W001,,119.54,20.38,200g,W001,,150.63,36.45,200g,W001
243.63,47.15,400g,W001,,177.58,24.99,400g,W001,,203.58,34.88,400g,W001,,171.33,38.97,400g,W001
233.45,34.67,800g,W001,,223,39.64,800g,W001,,184.48,29.05,800g,W001,,201.53,39.28,800g,W001
296.05,53.69,1000g,W001,,232.58,58.87,1000g,W001,,286.69,43.94,1000g,W001,,243.15,55.89,1000g,W001
382.37,66.19,2000g,W001,,319.8,17.95,2000g,W001,,348.35,40.79,2000g,W001,,327.53,69.2,2000g,W001
21.99,9.32,100g,W003,,52.08,5.86,100g,W003,,106.97,15.38,100g,W003,,125.41,33.87,100g,W003
40.88,13.04,200g,W003,,58.82,16.15,200g,W003,,146.81,60.58,200g,W003,,177.04,47.2,200g,W003
45.94,8.4,400g,W003,,99.34,29.2,400g,W003,,138.81,24.85,400g,W003,,246.05,47.14,400g,W003
71.92,22.47,800g,W003,,205.13,28.8,800g,W003,,220.83,25.34,800g,W003,,311.67,61.2,800g,W003
98.83,36.31,1000g,W003,,200.19,47.21,1000g,W003,,215.11,31.78,1000g,W003,,346.6,63.58,1000g,W003
169.24,43.36,2000g,W003,,267.17,48.17,2000g,W003,,292.85,52.9,2000g,W003,,453.36,85.58,2000g,W003
34.04,15.31,100g,W005,,16.6,2.09,100g,W005,,22.39,9.55,100g,W005,,72.59,10.67,100g,W005
29.74,6.26,200g,W005,,28.85,5.92,200g,W005,,31.67,4.85,200g,W005,,84.03,23,200g,W005
61.2,39.47,400g,W005,,80.58,19.5,400g,W005,,57.06,16.38,400g,W005,,121.86,30.64,400g,W005
99.25,23.35,800g,W005,,119.96,26.53,800g,W005,,85.61,23.05,800g,W005,,185.32,42.05,800g,W005
117.26,17.98,1000g,W005,,127.76,28.03,1000g,W005,,115.71,47.81,1000g,W005,,237.73,65.76,1000g,W005
159.86,38.72,2000g,W005,,221.95,45.62,2000g,W005,,196.49,25.54,2000g,W005,,286.49,62.4,2000g,W005
7.9,1.3,100g,W007,,6.52,2.11,100g,W007,,49.06,13.12,100g,W007,,194.73,57.38,100g,W007
9.33,0.93,200g,W007,,13.87,0.96,200g,W007,,85.29,10.98,200g,W007,,190.45,60.48,200g,W007
16.74,6.89,400g,W007,,31.03,8.96,400g,W007,,120.14,17.41,400g,W007,,134.68,35.05,400g,W007
34.01,11.92,800g,W007,,33.56,9.38,800g,W007,,135.85,31.76,800g,W007,,360.64,93.84,800g,W007
53.64,7.14,1000g,W007,,114.9,17.37,1000g,W007,,140.12,17.22,1000g,W007,,293.21,56.03,1000g,W007
88.02,19.18,2000g,W007,,162.58,22.54,2000g,W007,,223.5,38.77,2000g,W007,,330.38,100.26,2000g,W007
36.3,31.19,100g,W009,,8.99,2.34,100g,W009,,17.58,3.22,100g,W009,,38.28,13.98,100g,W009
47.01,16.65,200g,W009,,18.56,9.13,200g,W009,,22.69,11.53,200g,W009,,47.16,19.53,200g,W009
66.77,14.67,400g,W009,,34.18,7.29,400g,W009,,48.21,15.74,400g,W009,,105.85,33.91,400g,W009
92.18,33.42,800g,W009,,53.54,16.66,800g,W009,,81.34,20.8,800g,W009,,182.23,38.28,800g,W009
88.41,26.49,1000g,W009,,70.64,14.65,1000g,W009,,77.74,15.61,1000g,W009,,145.47,38.48,1000g,W009
139.03,26.45,2000g,W009,,96.32,15.88,2000g,W009,,194.18,60.1,2000g,W009,,304.03,124.03,2000g,W009
11.06,2.25,100g,W011,,23,9.16,100g,W011,,22.58,3.56,100g,W011,,103.34,44.48,100g,W011
14.58,6.43,200g,W011,,35.69,15.41,200g,W011,,50.82,6.23,200g,W011,,110.83,38,200g,W011
20.57,4.38,400g,W011,,66.11,5.47,400g,W011,,53.12,17.36,400g,W011,,150.4,78.9,400g,W011
