1 garment (343g),,,,5 garments  (1543g),,,,15 garments (3075g),,
Wash number,Fibre weight (mg),uncertainty,,Wash number,Fibre weight (mg),uncertainty,,Wash number,Fibre weight (mg),uncertainty
1,59.74,0.18,,1,67,0.23,,1,51.18,0.13
2,72.56,0.24,,2,103.08,0.2,,2,58.06,0.12
3,57.92,0.22,,3,85.88,0.16,,3,70.78,0.08
4,57.12,0.21,,4,131.36,0.18,,4,79.44,0.12
5,57.16,0.21,,5,121.6,0.17,,5,65.24,0.14
6,60.9,0.17,,6,124.52,0.21,,6,73.04,0.13
7,52.92,0.23,,7,108.68,0.2,,7,80.58,0.13
8,45.62,0.13,,8,106.06,0.19,,8,92.24,0.15
9,34.88,0.14,,9,105.04,0.17,,9,98.04,0.13
10,44.56,0.13,,10,129.12,0.17,,10,101.54,0.17
11,40.54,0.18,,11,127.86,0.14,,11,87.5,0.15
12,39.58,0.15,,12,126.08,0.17,,12,77.76,0.15
13,37.22,0.16,,13,134.4,0.18,,13,85.9,0.15
14,29.82,0.16,,14,131.06,0.21,,14,90.54,0.13
15,24.44,0.2,,15,153.78,0.18,,15,92.56,0.17
,,,,16,105.86,0.21,,16,112.2,0.15
,,,,17,127.1,0.19,,17,103.9,0.12
,,,,18,87.12,0.18,,18,99.98,0.15
,,,,19,118.36,0.73,,19,112.7,0.14
,,,,20,111.58,0.2,,20,112.34,0.13
,,,,21,126.5,0.19,,21,98.58,0.15
,,,,22,110.24,0.53,,22,112.94,0.16
,,,,23,106.66,0.21,,23,89.78,0.17
,,,,24,99.4,0.19,,24,93.06,0.14
,,,,25,99.42,0.18,,25,81.9,0.14
,,,,26,95.82,0.57,,26,102.74,0.13
,,,,27,112.22,0.21,,27,102.8,0.12
,,,,28,111.46,0.21,,28,101.96,0.13
,,,,29,114.68,0.21,,29,97.14,0.13
,,,,30,108.44,0.16,,30,104.2,0.16
,,,,31,105.66,0.21,,31,93.1,0.18
,,,,32,117.92,0.2,,32,95.76,0.12
,,,,33,118.56,0.21,,33,93.28,0.13
,,,,35,97.4,0.19,,34,88.38,0.14
,,,,36,79.88,0.18,,35,87.3,0.17
,,,,37,87.98,0.18,,36,98.32,0.14
,,,,38,102.06,0.17,,37,82.9,0.13
,,,,39,110.1,0.23,,38,94.92,0.15
,,,,40,108.28,0.19,,39,87.74,0.11
,,,,41,112.12,0.2,,40,95.24,0.15
,,,,42,109.46,0.19,,41,86.36,0.13
,,,,43,112.48,0.21,,,,
,,,,44,114.32,0.66,,,,
,,,,45,115.28,0.22,,,,
,,,,46,106.88,0.22,,,,
,,,,47,100.16,0.18,,,,
,,,,48,120.66,0.18,,,,
,,,,49,103.82,0.21,,,,
,,,,50,102.96,0.2,,,,
,,,,51,109.34,0.2,,,,
