1 garment,,,,,5 garments ,,,,,12 garments,,,
Washnumber,Wash,Rinse,Total,,Washnumber,Wash,Rinse,Total,,Washnumber,Wash,Rinse,Total
1,5.5,18,23.5,,1,5.5,14.5,20,,1,5.5,18,23.5
2,5.5,17,22.5,,2,5.5,14,19.5,,2,5.5,18,23.5
3,5.5,15.5,21,,3,5,16.5,21.5,,3,5.5,19,24.5
4,5.5,15.5,21,,4,5,17,22,,4,5.5,18,23.5
5,5.5,17,22.5,,5,5.5,17,22.5,,5,5.5,17.5,23
6,5.5,16.5,22,,6,5.5,15.5,21,,6,5.5,18,23.5
7,5.5,16.25,21.75,,7,5.5,18,23.5,,7,5.5,19,24.5
8,5.5,16,21.5,,8,5.5,16,21.5,,8,5.5,19,24.5
9,5.5,16.5,22,,9,5.5,17,22.5,,9,5.5,17.5,23
10,5.5,17,22.5,,10,6,18,24,,10,5.5,17,22.5
11,5.5,16.5,22,,11,5.5,15.5,21,,11,5.5,16.5,22
12,5.5,17,22.5,,12,6,17,23,,12,5.5,16,21.5
13,5.5,15.5,21,,13,8,14.5,22.5,,13,5.5,17.5,23
14,5.5,16,21.5,,14,7.5,19.5,27,,14,5.5,18,23.5
15,5.5,16.5,22,,15,8,18.5,26.5,,15,5.5,18,23.5
,,,,,16,5,19.5,24.5,,,,,
,,,,,17,6,19,25,,,,,
,,,,,18,5.5,16.5,22,,,,,
,,,,,19,6,20.5,26.5,,,,,
,,,,,20,6.5,18.5,25,,,,,
,,,,,21,5.5,18.8,24.3,,,,,
,,,,,22,6,18,24,,,,,
,,,,,23,5.5,20.5,26,,,,,
,,,,,24,5.5,20,25.5,,,,,
,,,,,25,5,19,24,,,,,
,,,,,26,6,18.5,24.5,,,,,
,,,,,27,5,18,23,,,,,
,,,,,28,5.5,15.5,21,,,,,
,,,,,29,6,20,26,,,,,
,,,,,30,5.5,19,24.5,,,,,
,,,,,31,7.5,17,24.5,,,,,
,,,,,32,7.5,19.5,27,,,,,
,,,,,34,7.5,17,24.5,,,,,
,,,,,33,6.5,18.5,25,,,,,
,,,,,35,5,20,25,,,,,
,,,,,36,5,16,21,,,,,
,,,,,37,5,15,20,,,,,
,,,,,38,6,18,24,,,,,
,,,,,39,6.5,18.5,25,,,,,
,,,,,40,6.5,17.5,24,,,,,
,,,,,41,6.5,19,25.5,,,,,
,,,,,42,6.5,19.8,26.3,,,,,
,,,,,43,7,17,24,,,,,
,,,,,44,5.5,19.5,25,,,,,
,,,,,45,5.5,19.5,25,,,,,
,,,,,46,6,18.5,24.5,,,,,
,,,,,47,6,18,24,,,,,
,,,,,48,6,18.5,24.5,,,,,
,,,,,49,7,18.5,25.5,,,,,
,,,,,50,6.5,19,25.5,,,,,
,,,,,51,6.5,18.5,25,,,,,
