wash,garment,Before transfer,After transfer,value,band
W000,G1,0,18,18,10
W000,G1,0,6,6,1
W000,G1,0,10,10,2
W000,G1,0,7,7,3
W000,G1,0,8,8,4
W000,G1,0,7,7,5
W000,G1,0,12,12,6
W000,G1,0,12,12,7
W000,G1,0,9,9,8
W000,G1,0,11,11,9
W000,G2,0,11,11,10
W000,G2,0,6,6,1
W000,G2,0,4,4,2
W000,G2,0,4,4,3
W000,G2,0,5,5,4
W000,G2,0,10,10,5
W000,G2,0,10,10,6
W000,G2,0,12,12,7
W000,G2,0,5,5,8
W000,G2,0,16,16,9
W000,G3,0,6,6,10
W000,G3,0,5,5,1
W000,G3,0,12,12,2
W000,G3,0,8,8,3
W000,G3,0,9,9,4
W000,G3,0,9,9,5
W000,G3,0,4,4,6
W000,G3,0,11,11,7
W000,G3,1,12,11,8
W000,G3,0,6,6,9
W000,G4,0,12,12,10
W000,G4,0,7,7,1
W000,G4,0,2,2,2
W000,G4,0,7,7,3
W000,G4,0,5,5,4
W000,G4,0,6,6,5
W000,G4,0,6,6,6
W000,G4,0,7,7,7
W000,G4,0,11,11,8
W000,G4,0,10,10,9
W000,G5,0,4,4,10
W000,G5,0,3,3,1
W000,G5,0,10,10,2
W000,G5,0,2,2,3
W000,G5,0,6,6,4
W000,G5,0,5,5,5
W000,G5,0,8,8,6
W000,G5,0,4,4,7
W000,G5,0,13,13,8
W000,G5,0,5,5,9
W001,G1,0,14,14,10
W001,G1,0,24,24,1
W001,G1,0,13,13,2
W001,G1,0,22,22,3
W001,G1,0,9,9,4
W001,G1,0,15,15,5
W001,G1,0,23,23,6
W001,G1,0,36,36,7
W001,G1,0,28,28,8
W001,G1,0,11,11,9
W001,G2,0,15,15,10
W001,G2,0,18,18,1
W001,G2,0,21,21,2
W001,G2,0,16,16,3
W001,G2,0,16,16,4
W001,G2,0,19,19,5
W001,G2,0,16,16,6
W001,G2,0,28,28,7
W001,G2,0,11,11,8
W001,G2,0,15,15,9
W001,G3,0,19,19,10
W001,G3,0,11,11,1
W001,G3,0,17,17,2
W001,G3,0,15,15,3
W001,G3,0,16,16,4
W001,G3,0,26,26,5
W001,G3,0,33,33,6
W001,G3,0,20,20,7
W001,G3,0,16,16,8
W001,G3,0,18,18,9
W001,G4,0,24,24,10
W001,G4,0,19,19,1
W001,G4,0,16,16,2
W001,G4,0,22,22,3
W001,G4,0,11,11,4
W001,G4,0,20,20,5
W001,G4,0,31,31,6
W001,G4,0,21,21,7
W001,G4,0,34,34,8
W001,G4,0,33,33,9
W001,G5,0,20,20,10
W001,G5,0,24,24,1
W001,G5,0,19,19,2
W001,G5,0,19,19,3
W001,G5,0,14,14,4
W001,G5,0,11,11,5
W001,G5,0,25,25,6
W001,G5,0,25,25,7
W001,G5,1,21,20,8
W001,G5,0,12,12,9
W002,G1,1,18,17,1
W002,G1,0,10,10,2
W002,G1,0,16,16,3
W002,G1,0,22,22,6
W002,G1,0,34,34,7
W002,G1,0,21,21,8
W002,G2,0,23,23,1
W002,G2,0,23,23,2
W002,G2,0,15,15,3
W002,G2,0,17,17,6
W002,G2,0,16,16,7
W002,G2,0,12,12,8
W002,G3,1,27,26,1
W002,G3,0,10,10,2
W002,G3,0,13,13,3
W002,G3,0,13,13,6
W002,G3,0,16,16,7
W002,G3,0,14,14,8
W002,G4,0,17,17,1
W002,G4,0,24,24,2
W002,G4,0,16,16,3
W002,G4,0,25,25,6
W002,G4,0,20,20,7
W002,G4,0,28,28,8
W002,G5,0,21,21,1
W002,G5,0,18,18,2
W002,G5,0,20,20,3
W002,G5,0,15,15,6
W002,G5,0,11,11,7
W002,G5,1,21,20,8
W003,G1,0,17,17,1
W003,G1,0,22,22,2
W003,G1,0,14,14,3
W003,G1,0,16,16,6
W003,G1,0,25,25,7
W003,G1,0,34,34,8
W003,G2,0,16,16,1
W003,G2,1,17,16,2
W003,G2,0,19,19,3
W003,G2,0,22,22,6
W003,G2,0,16,16,7
W003,G2,0,19,19,8
W003,G3,0,16,16,1
W003,G3,1,22,21,2
W003,G3,0,20,20,3
W003,G3,0,31,31,6
W003,G3,0,31,31,7
W003,G3,0,19,19,8
W003,G4,0,22,22,1
W003,G4,0,12,12,2
W003,G4,0,18,18,3
W003,G4,0,26,26,6
W003,G4,0,24,24,7
W003,G4,0,15,15,8
W003,G5,0,11,11,1
W003,G5,0,11,11,2
W003,G5,0,15,15,3
W003,G5,0,8,8,6
W003,G5,0,27,27,7
W003,G5,0,23,23,8
W004,G1,0,20,20,1
W004,G1,0,15,15,2
W004,G1,0,15,15,3
W004,G1,0,24,24,6
W004,G1,0,31,31,7
W004,G1,0,24,24,8
W004,G2,0,16,16,1
W004,G2,0,21,21,2
W004,G2,0,20,20,3
W004,G2,0,27,27,6
W004,G2,0,24,24,7
W004,G2,0,13,13,8
W004,G3,0,39,39,1
W004,G3,0,33,33,2
W004,G3,0,24,24,3
W004,G3,0,32,32,6
W004,G3,0,27,27,7
W004,G3,0,21,21,8
W004,G4,0,16,16,1
W004,G4,0,25,25,2
W004,G4,0,27,27,3
W004,G4,0,29,29,6
W004,G4,0,22,22,7
W004,G4,0,38,38,8
W004,G5,0,27,27,1
W004,G5,0,19,19,2
W004,G5,0,29,29,3
W004,G5,0,24,24,6
W004,G5,0,21,21,7
W004,G5,0,26,26,8
W005,G1,1,27,26,1
W005,G1,0,16,16,2
W005,G1,1,21,20,3
W005,G1,0,21,21,6
W005,G1,0,24,24,7
W005,G1,0,18,18,8
W005,G2,0,24,24,1
W005,G2,0,16,16,2
W005,G2,0,19,19,3
W005,G2,0,22,22,6
W005,G2,0,13,13,7
W005,G2,0,14,14,8
W005,G3,0,29,29,1
W005,G3,0,16,16,2
W005,G3,0,6,6,3
W005,G3,0,17,17,6
W005,G3,0,24,24,7
W005,G3,0,34,34,8
W005,G4,0,16,16,1
W005,G4,0,17,17,2
W005,G4,0,15,15,3
W005,G4,1,15,14,6
W005,G4,0,17,17,7
W005,G4,0,19,19,8
W005,G5,0,12,12,1
W005,G5,0,15,15,2
W005,G5,1,21,20,3
W005,G5,0,19,19,6
W005,G5,0,10,10,7
W005,G5,0,12,12,8
W006,G1,0,23,23,1
W006,G1,0,15,15,2
W006,G1,1,14,13,3
W006,G1,0,15,15,4
W006,G1,2,20,18,6
W006,G1,0,18,18,7
W006,G1,0,23,23,8
W006,G1,0,14,14,9
W006,G2,0,19,19,1
W006,G2,1,20,19,2
W006,G2,0,22,22,3
W006,G2,0,19,19,4
W006,G2,1,19,18,6
W006,G2,0,36,36,7
W006,G2,0,22,22,8
W006,G2,0,27,27,9
W006,G3,0,17,17,1
W006,G3,0,11,11,2
W006,G3,0,13,13,3
W006,G3,0,21,21,4
W006,G3,0,12,12,6
W006,G3,0,17,17,7
W006,G3,1,21,20,8
W006,G3,0,17,17,9
W006,G4,0,14,14,1
W006,G4,1,7,6,2
W006,G4,0,9,9,3
W006,G4,0,16,16,4
W006,G4,0,19,19,6
W006,G4,0,15,15,7
W006,G4,0,23,23,8
W006,G4,0,21,21,9
W006,G5,0,16,16,1
W006,G5,0,16,16,2
W006,G5,1,13,12,3
W006,G5,0,11,11,4
W006,G5,0,10,10,6
W006,G5,0,14,14,7
W006,G5,2,16,14,8
W006,G5,0,18,18,9
W007,G1,0,19,19,1
W007,G1,0,12,12,2
W007,G1,0,3,3,3
W007,G1,0,23,23,6
W007,G1,0,11,11,7
W007,G1,0,24,24,8
W007,G2,0,13,13,1
W007,G2,0,13,13,2
W007,G2,1,7,6,3
W007,G2,0,18,18,6
W007,G2,0,4,4,7
W007,G2,1,8,7,8
W007,G3,0,11,11,1
W007,G3,1,11,10,2
W007,G3,0,14,14,3
W007,G3,1,15,14,6
W007,G3,0,20,20,7
W007,G3,0,16,16,8
W007,G4,0,16,16,1
W007,G4,0,14,14,2
W007,G4,0,10,10,3
W007,G4,1,22,21,6
W007,G4,0,17,17,7
W007,G4,0,15,15,8
W007,G5,1,6,5,1
W007,G5,0,7,7,2
W007,G5,0,15,15,3
W007,G5,0,11,11,6
W007,G5,0,11,11,7
W007,G5,1,8,7,8
W008,G1,0,1,1,1
W008,G1,2,4,2,2
W008,G1,0,1,1,3
W008,G1,0,7,7,6
W008,G1,0,6,6,7
W008,G1,0,3,3,8
W008,G2,0,3,3,1
W008,G2,0,4,4,2
W008,G2,0,2,2,3
W008,G2,0,3,3,6
W008,G2,0,8,8,7
W008,G2,0,7,7,8
W008,G3,0,7,7,1
W008,G3,0,7,7,2
W008,G3,0,5,5,3
W008,G3,0,9,9,6
W008,G3,1,3,2,7
W008,G3,0,3,3,8
W008,G4,0,3,3,1
W008,G4,0,5,5,2
W008,G4,0,4,4,3
W008,G4,0,9,9,6
W008,G4,1,5,4,7
W008,G4,0,7,7,8
W008,G5,1,6,5,1
W008,G5,0,2,2,2
W008,G5,1,3,2,3
W008,G5,0,8,8,6
W008,G5,0,4,4,7
W008,G5,1,4,3,8
W009,G1,0,17,17,1
W009,G1,0,6,6,2
W009,G1,0,7,7,3
W009,G1,0,13,13,6
W009,G1,1,3,2,7
W009,G1,0,7,7,8
W009,G2,1,5,4,1
W009,G2,0,6,6,2
W009,G2,0,7,7,3
W009,G2,0,6,6,6
W009,G2,0,4,4,7
W009,G2,0,2,2,8
W009,G3,0,27,27,1
W009,G3,0,16,16,2
W009,G3,0,7,7,3
W009,G3,0,10,10,6
W009,G3,0,16,16,7
W009,G3,2,11,9,8
W009,G4,0,10,10,1
W009,G4,0,8,8,2
W009,G4,0,9,9,3
W009,G4,0,11,11,6
W009,G4,0,5,5,7
W009,G4,0,23,23,8
W009,G5,0,8,8,1
W009,G5,0,8,8,2
W009,G5,0,6,6,3
W009,G5,0,13,13,6
W009,G5,0,5,5,7
W009,G5,1,8,7,8
W010,G1,0,11,11,1
W010,G1,0,7,7,2
W010,G1,0,10,10,3
W010,G1,0,3,3,6
W010,G1,0,6,6,7
W010,G1,1,9,8,8
W010,G2,0,10,10,1
W010,G2,0,6,6,2
W010,G2,0,4,4,3
W010,G2,0,11,11,6
W010,G2,0,8,8,7
W010,G2,0,7,7,8
W010,G3,0,3,3,1
W010,G3,0,5,5,2
W010,G3,0,2,2,3
W010,G3,0,8,8,6
W010,G3,0,8,8,7
W010,G3,0,7,7,8
W010,G4,0,7,7,1
W010,G4,0,7,7,2
W010,G4,0,7,7,3
W010,G4,0,7,7,6
W010,G4,0,9,9,7
W010,G4,0,12,12,8
W010,G5,0,5,5,1
W010,G5,1,5,4,2
W010,G5,1,5,4,3
W010,G5,0,2,2,6
W010,G5,1,3,2,7
W010,G5,0,2,2,8
W011,G1,0,7,7,10
W011,G1,1,5,4,1
W011,G1,0,2,2,2
W011,G1,0,4,4,3
W011,G1,0,4,4,4
W011,G1,0,4,4,5
W011,G1,0,3,3,6
W011,G1,0,6,6,7
W011,G1,0,6,6,8
W011,G1,0,6,6,9
W011,G2,1,8,7,10
W011,G2,0,6,6,1
W011,G2,0,1,1,2
W011,G2,NA,8,NA,3
W011,G2,0,5,5,4
W011,G2,0,6,6,5
W011,G2,0,6,6,6
W011,G2,0,3,3,7
W011,G2,0,14,14,8
W011,G2,0,7,7,9
W011,G3,0,4,4,10
W011,G3,0,10,10,1
W011,G3,0,10,10,2
W011,G3,0,7,7,3
W011,G3,1,8,7,4
W011,G3,1,5,4,5
W011,G3,0,6,6,6
W011,G3,0,11,11,7
W011,G3,0,13,13,8
W011,G3,0,9,9,9
W011,G4,0,4,4,10
W011,G4,0,4,4,1
W011,G4,0,7,7,2
W011,G4,0,4,4,3
W011,G4,1,1,0,4
W011,G4,0,4,4,5
W011,G4,0,1,1,6
W011,G4,1,10,9,7
W011,G4,0,7,7,8
W011,G4,0,4,4,9
W011,G5,0,5,5,10
W011,G5,0,5,5,1
W011,G5,0,3,3,2
W011,G5,1,3,2,3
W011,G5,0,9,9,4
W011,G5,0,6,6,5
W011,G5,0,6,6,6
W011,G5,0,6,6,7
W011,G5,0,12,12,8
W011,G5,0,5,5,9
W012,G1,0,6,6,1
W012,G1,0,5,5,2
W012,G1,1,1,0,3
W012,G1,2,11,9,6
W012,G1,0,3,3,7
W012,G1,0,3,3,8
W012,G2,0,8,8,1
W012,G2,0,7,7,2
W012,G2,0,5,5,3
W012,G2,0,10,10,6
W012,G2,0,5,5,7
W012,G2,1,7,6,8
W012,G3,0,11,11,1
W012,G3,1,3,2,2
W012,G3,0,8,8,3
W012,G3,1,4,3,6
W012,G3,0,2,2,7
W012,G3,0,5,5,8
W012,G4,0,3,3,1
W012,G4,0,3,3,2
W012,G4,0,8,8,3
W012,G4,0,4,4,6
W012,G4,0,3,3,7
W012,G4,1,11,10,8
W012,G5,0,5,5,1
W012,G5,0,6,6,2
W012,G5,1,20,19,3
W012,G5,0,9,9,6
W012,G5,0,7,7,7
W012,G5,0,10,10,8
W013,G1,0,4,4,1
W013,G1,0,2,2,2
W013,G1,1,7,6,3
W013,G1,0,4,4,6
W013,G1,0,4,4,7
W013,G1,0,9,9,8
W013,G2,0,5,5,1
W013,G2,0,12,12,2
W013,G2,0,5,5,3
W013,G2,0,6,6,6
W013,G2,1,0,-1,7
W013,G2,0,7,7,8
W013,G3,0,7,7,1
W013,G3,0,6,6,2
W013,G3,0,2,2,3
W013,G3,0,4,4,6
W013,G3,0,2,2,7
W013,G3,0,4,4,8
W013,G4,0,7,7,1
W013,G4,0,4,4,2
W013,G4,0,5,5,3
W013,G4,0,7,7,6
W013,G4,1,5,4,7
W013,G4,0,7,7,8
W013,G5,0,4,4,1
W013,G5,0,3,3,2
W013,G5,0,4,4,3
W013,G5,0,4,4,6
W013,G5,0,5,5,7
W013,G5,0,1,1,8
W014,G1,0,9,9,1
W014,G1,1,2,1,2
W014,G1,0,3,3,3
W014,G1,0,5,5,6
W014,G1,0,1,1,7
W014,G1,0,2,2,8
W014,G2,0,4,4,1
W014,G2,0,0,0,2
W014,G2,1,4,3,3
W014,G2,0,2,2,6
W014,G2,0,2,2,7
W014,G2,0,7,7,8
W014,G3,0,4,4,1
W014,G3,1,2,1,2
W014,G3,1,7,6,3
W014,G3,0,3,3,6
W014,G3,0,4,4,7
W014,G3,1,6,5,8
W014,G4,0,6,6,1
W014,G4,1,1,0,2
W014,G4,0,6,6,3
W014,G4,0,10,10,6
W014,G4,1,6,5,7
W014,G4,0,13,13,8
W014,G5,0,15,15,1
W014,G5,0,5,5,2
W014,G5,0,5,5,3
W014,G5,0,7,7,6
W014,G5,0,11,11,7
W014,G5,0,13,13,8
W015,G1,0,6,6,1
W015,G1,0,2,2,2
W015,G1,0,2,2,3
W015,G1,0,2,2,6
W015,G1,0,3,3,7
W015,G1,0,5,5,8
W015,G2,0,4,4,1
W015,G2,0,7,7,2
W015,G2,0,5,5,3
W015,G2,0,3,3,6
W015,G2,0,3,3,7
W015,G2,0,5,5,8
W015,G3,0,7,7,1
W015,G3,0,8,8,2
W015,G3,0,4,4,3
W015,G3,0,5,5,6
W015,G3,0,3,3,7
W015,G3,0,1,1,8
W015,G4,0,6,6,1
W015,G4,0,6,6,2
W015,G4,0,3,3,3
W015,G4,0,5,5,6
W015,G4,0,1,1,7
W015,G4,0,5,5,8
W015,G5,0,7,7,1
W015,G5,0,1,1,2
W015,G5,0,7,7,3
W015,G5,0,3,3,6
W015,G5,0,3,3,7
W015,G5,0,7,7,8
W016,G1,0,3,3,1
W016,G1,0,3,3,2
W016,G1,0,0,0,3
W016,G1,1,1,0,4
W016,G1,0,7,7,6
W016,G1,0,4,4,7
W016,G1,1,2,1,8
W016,G1,0,8,8,9
W016,G2,0,4,4,1
W016,G2,0,3,3,2
W016,G2,1,2,1,3
W016,G2,0,4,4,4
W016,G2,0,5,5,6
W016,G2,0,3,3,7
W016,G2,0,4,4,8
W016,G2,0,3,3,9
W016,G3,0,2,2,1
W016,G3,0,0,0,2
W016,G3,0,1,1,3
W016,G3,0,2,2,4
W016,G3,0,5,5,6
W016,G3,0,5,5,7
W016,G3,0,1,1,8
W016,G3,0,1,1,9
W016,G4,0,5,5,1
W016,G4,0,2,2,2
W016,G4,0,4,4,3
W016,G4,0,10,10,4
W016,G4,0,7,7,6
W016,G4,0,1,1,7
W016,G4,0,7,7,8
W016,G4,0,6,6,9
W016,G5,0,2,2,1
W016,G5,3,3,0,2
W016,G5,0,2,2,3
W016,G5,0,4,4,4
W016,G5,0,4,4,6
W016,G5,0,1,1,7
W016,G5,0,11,11,8
W016,G5,0,4,4,9
W017,G1,1,8,7,1
W017,G1,0,8,8,2
W017,G1,0,6,6,3
W017,G1,0,4,4,6
W017,G1,0,3,3,7
W017,G1,0,2,2,8
W017,G2,0,3,3,1
W017,G2,0,3,3,2
W017,G2,0,1,1,3
W017,G2,0,4,4,6
W017,G2,0,2,2,7
W017,G2,0,8,8,8
W017,G3,1,9,8,1
W017,G3,0,7,7,2
W017,G3,0,3,3,3
W017,G3,0,7,7,6
W017,G3,0,3,3,7
W017,G3,0,3,3,8
W017,G4,0,6,6,1
W017,G4,0,5,5,2
W017,G4,0,1,1,3
W017,G4,0,5,5,6
W017,G4,0,4,4,7
W017,G4,0,3,3,8
W017,G5,0,6,6,1
W017,G5,0,5,5,2
W017,G5,0,7,7,3
W017,G5,0,1,1,6
W017,G5,0,9,9,7
W017,G5,0,6,6,8
W018,G1,0,2,2,1
W018,G1,0,7,7,6
W018,G2,1,0,-1,1
W018,G2,0,2,2,6
W018,G3,0,1,1,1
W018,G3,0,0,0,6
W018,G4,0,1,1,1
W018,G4,0,3,3,6
W018,G5,0,0,0,1
W018,G5,0,1,1,6
W019,G1,1,1,0,1
W019,G1,0,0,0,2
W019,G1,0,4,4,3
W019,G1,0,3,3,6
W019,G1,0,3,3,7
W019,G1,0,7,7,8
W019,G2,0,1,1,1
W019,G2,0,0,0,2
W019,G2,0,0,0,3
W019,G2,0,7,7,6
W019,G2,1,8,7,7
W019,G2,0,6,6,8
W019,G3,0,5,5,1
W019,G3,0,2,2,2
W019,G3,0,5,5,3
W019,G3,0,2,2,6
W019,G3,0,1,1,7
W019,G3,1,0,-1,8
W019,G4,1,4,3,1
W019,G4,0,2,2,2
W019,G4,0,3,3,3
W019,G4,1,4,3,6
W019,G4,0,6,6,7
W019,G4,0,1,1,8
W019,G5,0,3,3,1
W019,G5,0,1,1,2
W019,G5,2,0,-2,3
W019,G5,0,3,3,6
W019,G5,0,1,1,7
W019,G5,0,7,7,8
W020,G1,1,5,4,1
W020,G1,0,2,2,6
W020,G2,0,3,3,1
W020,G2,0,5,5,6
W020,G3,0,4,4,1
W020,G3,0,8,8,6
W020,G4,0,3,3,1
W020,G4,0,3,3,6
W020,G5,0,3,3,1
W020,G5,0,4,4,6
W021,G1,0,3,3,10
W021,G1,0,0,0,1
W021,G1,0,0,0,2
W021,G1,1,2,1,3
W021,G1,0,2,2,4
W021,G1,0,2,2,5
W021,G1,0,2,2,6
W021,G1,1,1,0,7
W021,G1,1,2,1,8
W021,G1,0,0,0,9
W021,G2,0,1,1,10
W021,G2,2,4,2,1
W021,G2,0,2,2,2
W021,G2,1,1,0,3
W021,G2,0,1,1,4
W021,G2,0,3,3,5
W021,G2,0,1,1,6
W021,G2,1,1,0,7
W021,G2,0,5,5,8
W021,G2,0,1,1,9
W021,G3,0,3,3,10
W021,G3,0,1,1,1
W021,G3,0,4,4,2
W021,G3,0,4,4,3
W021,G3,2,3,1,4
W021,G3,0,7,7,5
W021,G3,0,2,2,6
W021,G3,0,4,4,7
W021,G3,0,6,6,8
