Experiment,Diff.FA,U.F.FA,Diff.FN,U.F.FN,Wf,U.C,U.C3
1,0.0199999999999818,0.031622776601655,51.1800000000001,0.0316227766017269,51.16,0.044721359550006,0.13
2,-0.260000000000218,0.0244948974278652,58.0599999999999,0.0316227766016838,58.32,0.0400000000000205,0.12
3,0.0199999999999818,0.0200000000000273,70.78,0.0199999999999818,70.76,0.0282842712474683,0.08
4,0.0399999999999636,0.0244948974278652,79.4400000000001,0.0316227766016838,79.4,0.0400000000000205,0.12
5,-0.0799999999999272,0.0346410161513854,65.24,0.0316227766016982,65.32,0.0469041575982498,0.14
6,0.120000000000118,0.0316227766016838,73.04,0.0282842712474683,72.92,0.0424264068711971,0.13
7,-0.259999999999991,0.0282842712474683,80.5799999999999,0.0346410161513854,80.84,0.044721359550006,0.13
8,0.0399999999999636,0.0282842712474683,92.24,0.0400000000000261,92.2,0.0489897948556886,0.15
9,0.119999999999891,0.0316227766016982,98.0400000000002,0.0316227766017269,97.92,0.0447213595500365,0.13
10,21.5999999999999,0.0346410161513854,101.54,0.0447213595499907,79.94,0.0565685424949246,0.17
11,-0.0200000000002092,0.0346410161514248,87.5,0.034641016151346,87.52,0.0489897948556747,0.15
12,-0.0600000000001728,0.0400000000000261,77.76,0.0316227766016838,77.82,0.0509901951359484,0.15
13,0.200000000000045,0.0346410161514248,85.8999999999999,0.0346410161513854,85.7,0.0489897948557026,0.15
14,-0.259999999999991,0.0316227766016982,90.54,0.031622776601655,90.8,0.0447213595499856,0.13
15,0.0999999999999091,0.0424264068711543,92.5600000000002,0.0400000000000261,92.46,0.0583095189484429,0.17
16,0.240000000000009,0.0282842712474683,112.2,0.0424264068711757,111.96,0.0509901951359171,0.15
17,-0.240000000000009,0.0282842712474683,103.9,0.0282842712474683,104.14,0.0400000000000091,0.12
18,0.120000000000118,0.0374165738677358,99.98,0.034641016151346,99.86,0.0509901951359038,0.15
19,-0.319999999999936,0.0374165738677601,112.7,0.0282842712474683,113.02,0.0469041575982546,0.14
20,0.159999999999854,0.0316227766016838,112.34,0.031622776601655,112.18,0.0447213595499754,0.13
21,-0.200000000000045,0.0346410161513854,98.5799999999999,0.034641016151346,98.78,0.0489897948556468,0.15
22,0.240000000000009,0.0447213595500161,112.94,0.0316227766016838,112.7,0.0547722557505332,0.16
23,-0.119999999999891,0.0447213595499856,89.78,0.034641016151346,89.9,0.0565685424948965,0.17
24,-0.120000000000118,0.0346410161513854,93.0599999999999,0.0316227766016982,93.18,0.0469041575982498,0.14
25,0.380000000000109,0.0316227766016982,81.9000000000001,0.0346410161513854,81.52,0.0469041575982498,0.14
26,-0.299999999999955,0.0282842712474362,102.74,0.0316227766017269,103.04,0.0424264068712078,0.13
27,0.399999999999864,0.0282842712474683,102.8,0.0282842712475005,102.4,0.0400000000000318,0.12
28,0,0.0282842712475005,101.96,0.031622776601655,101.96,0.0424264068711971,0.13
29,-0.180000000000064,0.0316227766017269,97.1400000000001,0.0316227766016838,97.32,0.0447213595500263,0.13
30,0.040000000000191,0.0447213595500263,104.2,0.0282842712474362,104.16,0.0529150262213038,0.16
31,0.0399999999999636,0.0424264068711971,93.0999999999999,0.0424264068711864,93.06,0.0599999999999985,0.18
32,-0.1400000000001,0.0282842712474362,95.76,0.0282842712474683,95.9,0.0399999999999863,0.12
33,0.0399999999999636,0.0282842712474683,93.28,0.0316227766017269,93.24,0.0424264068712293,0.13
34,-0.0799999999999272,0.0316227766016838,88.3799999999999,0.0346410161513854,88.46,0.0469041575982401,0.14
35,-0.0799999999999272,0.034641016151346,87.3,0.0469041575982304,87.38,0.0583095189484312,0.17
36,0,0.034641016151346,98.3199999999999,0.031622776601655,98.32,0.0469041575981916,0.14
37,0,0.034641016151346,82.8999999999999,0.0282842712474683,82.9,0.0447213595499754,0.13
38,0.0999999999999091,0.034641016151346,94.9200000000001,0.0346410161513854,94.82,0.0489897948556468,0.15
39,-0.0599999999999454,0.0244948974278095,87.74,0.0282842712474362,87.8,0.0374165738677054,0.11
40,0.0599999999999454,0.0316227766016838,95.24,0.039999999999992,95.18,0.0509901951359216,0.15
41,-0.0599999999999454,0.0316227766016838,86.3599999999999,0.0316227766016982,86.42,0.044721359550006,0.13
