Experiment,Diff.FA,U.F.FA,Diff.FN,U.F.FN,Wf,U.C,U.C3
1,0.0999999999999091,0.0424264068711543,59.74,0.0447213595500161,59.64,0.061644140029678,0.18
2,-0.159999999999854,0.0616441400296743,72.5599999999999,0.0529150262212952,72.72,0.0812403840463501,0.24
3,0.179999999999836,0.0663324958071025,57.9200000000001,0.034641016151346,57.74,0.0748331477354594,0.22
4,-0.0799999999999272,0.0489897948556422,57.1199999999999,0.0489897948556793,57.2,0.0692820323027512,0.21
5,-0.0799999999999272,0.0447213595499551,57.1600000000001,0.0547722557505208,57.24,0.0707106781186322,0.21
6,0.299999999999955,0.034641016151346,60.9000000000001,0.0469041575982256,60.6,0.0583095189484273,0.17
7,-0.1400000000001,0.0509901951359261,52.9199999999998,0.0583095189484702,53.06,0.0774596669241601,0.23
8,-0.0600000000001728,0.0282842712475005,45.6200000000001,0.0316227766016838,45.68,0.0424264068712186,0.13
9,9.8599999999999,0.0316227766016982,34.8799999999999,0.0346410161513854,25.02,0.0469041575982498,0.14
10,-0.1400000000001,0.0282842712474362,44.5599999999999,0.0316227766016982,44.7,0.0424264068711864,0.13
11,-0.0599999999999454,0.0282842712474362,40.54,0.0547722557504959,40.6,0.0616441400296595,0.18
12,-0.200000000000045,0.034641016151346,39.5799999999999,0.0346410161513854,39.78,0.0489897948556468,0.15
13,-0.259999999999991,0.0282842712474683,37.22,0.0447213595499551,37.48,0.0529150262212609,0.16
14,-0.0600000000001728,0.0282842712475005,29.8199999999999,0.0447213595499856,29.88,0.0529150262213038,0.16
15,-0.139999999999873,0.0244948974278652,24.4400000000001,0.0632455532033748,24.58,0.0678232998312715,0.2
