Experiment,Diff.FA,U.F.FA,Diff.FN,Normalised,U.F.FN,Wf,U.C,U.C3
1,0.1,0.052915026,67,43.42,0.054772256,66.9,0.076157731,0.23
2,-0.12,0.048989795,103.08,66.80,0.04472136,103.2,0.066332496,0.2
3,-0.16,0.04,85.88,55.66,0.034641016,86.04,0.052915026,0.16
4,0.08,0.04472136,131.36,85.13,0.04,131.28,0.06,0.18
5,-0.02,0.04472136,121.6,78.81,0.034641016,121.62,0.056568542,0.17
6,-0.02,0.04472136,124.52,80.70,0.054772256,124.54,0.070710678,0.21
7,0.04,0.04472136,108.68,70.43,0.048989795,108.64,0.066332496,0.2
8,0.06,0.050990195,106.06,68.74,0.04,106,0.064807407,0.19
9,-0.14,0.04,105.04,68.08,0.04,105.18,0.056568542,0.17
10,0,0.034641016,129.12,83.68,0.04472136,129.12,0.056568542,0.17
11,-0.08,0.034641016,127.86,82.86,0.031622777,127.94,0.046904158,0.14
12,0.02,0.04472136,126.08,81.71,0.034641016,126.06,0.056568542,0.17
13,0.4,0.042426407,134.4,87.10,0.042426407,134,0.06,0.18
14,-0.12,0.04472136,131.06,84.94,0.054772256,131.18,0.070710678,0.21
15,0.24,0.050990195,153.78,99.66,0.031622777,153.54,0.06,0.18
16,-0.4,0.04472136,105.86,68.61,0.052915026,106.26,0.069282032,0.21
17,0,0.054772256,127.1,82.37,0.034641016,127.1,0.064807407,0.19
18,0.28,0.048989795,87.12,56.46,0.037416574,86.84,0.06164414,0.18
19,-0.24,0.04472136,118.36,76.71,0.237907545,118.6,0.242074369,0.73
20,0.04,0.04,111.58,72.31,0.054772256,111.54,0.0678233,0.2
21,-0.04,0.04472136,126.5,81.98,0.04472136,126.54,0.063245553,0.19
22,0.12,0.04472136,110.24,71.45,0.172046505,110.12,0.177763888,0.53
23,-0.16,0.052915026,106.66,69.13,0.04472136,106.82,0.069282032,0.21
24,0.02,0.034641016,99.4,64.42,0.052915026,99.38,0.063245553,0.19
25,0.24,0.04,99.42,64.43,0.04472136,99.18,0.06,0.18
26,-0.22,0.037416574,95.82,62.10,0.187082869,96.04,0.19078784,0.57
27,0.1,0.042426407,112.22,72.72845107,0.054772256,112.12,0.069282032,0.21
28,-0.26,0.052915026,111.46,72.23590408,0.04472136,111.72,0.069282032,0.21
29,0.14,0.04472136,114.68,74.32274789,0.054772256,114.54,0.070710678,0.21
30,-0.02,0.034641016,108.44,70.2786779,0.04,108.46,0.052915026,0.16
31,0.04,0.04472136,105.66,68.47699287,0.052915026,105.62,0.069282032,0.21
32,0.06,0.054772256,117.92,76.42255347,0.037416574,117.86,0.066332496,0.2
33,-0.02,0.054772256,118.56,76.83732988,0.042426407,118.58,0.069282032,0.21
35,-0.06,0.04472136,97.4,63.12378483,0.04472136,97.46,0.063245553,0.19
36,0.24,0.052915026,79.88,51.76928062,0.031622777,79.64,0.06164414,0.18
37,-0.12,0.048989795,87.98,57.01879456,0.034641016,88.1,0.06,0.18
38,-0.08,0.037416574,102.06,66.14387557,0.04472136,102.14,0.058309519,0.17
39,0.2,0.028284271,110.1,71.35450421,0.070710678,109.9,0.076157731,0.23
40,-0.14,0.042426407,108.28,70.1749838,0.048989795,108.42,0.064807407,0.19
41,0.18,0.04472136,112.12,72.66364226,0.048989795,111.94,0.066332496,0.2
42,-0.26,0.04,109.46,70.9397278,0.050990195,109.72,0.064807407,0.19
43,0.04,0.050990195,112.48,72.89695399,0.048989795,112.44,0.070710678,0.21
44,-0.22,0.054772256,114.32,74.08943616,0.214476106,114.54,0.221359436,0.66
45,0,0.052915026,115.28,74.71160078,0.048989795,115.28,0.072111026,0.22
46,0.2,0.052915026,106.88,69.2676604,0.048989795,106.68,0.072111026,0.22
47,0.02,0.04472136,100.16,64.9125081,0.04,100.14,0.06,0.18
48,0.06,0.04,120.66,78.19831497,0.04472136,120.6,0.06,0.18
49,-0.02,0.048989795,103.82,67.28451069,0.048989795,103.84,0.069282032,0.21
50,0.02,0.048989795,102.96,66.72715489,0.04472136,102.94,0.066332496,0.2
51,0.08,0.048989795,109.34,70.86195723,0.04472136,109.26,0.066332496,0.2
,,,,,,,,
,,Min,67,43.42190538,67.00 (43.42),,,
,,Max,153.78,99.66299417,153.78 (99.66),,,
,,Average,110.514,71.6228127,110.51 (71.62),,,
,,Median,109.78,71.14711601,109.78 (71.15),,,
,,SD,14.97676691,9.706265007,14.98 (9.71),,,
,,SEM,2.118034688,1.372673161,2.12 (1.37),,,
