V1,V2,V3,V4,V5,V6
W000,7.6,5.8,8.6,5.4,5.2
W001,16.6,18,17,17.6,17.4
W002,14.33,20.33,16.33,19,19.67
W003,17.67,17,19,17.33,12.33
W004,16.67,19,32,22.67,25
W005,20.67,19.67,17,16,15.67
W006,16.5,19.75,15.5,11.25,13.75
W007,11.33,10.67,11.67,13.33,9
W008,1.33,3,6.33,4,3
W009,10,5.67,16.67,9,7.33
W010,9.33,6.67,3.33,7,4.33
W011,3.6,4.5,7.6,3.8,5
W012,3.67,6.67,7,4.67,10
W013,4,7.33,5,5.33,3.67
W014,4.33,2.33,3.67,4,8.33
W015,3.33,5.33,6.33,5,5
W016,1.5,3,1.25,5.25,2
W017,7,2.33,6,4,6
W018,2,-1,1,1,0
W019,1.33,0.33,4,2.67,0.67
W020,4,3,4,3,3
W021,1,1.6,3.4,1.8,2.6
W022,4,5,3,2,6
W023,1.67,1,1.33,1,2.33
W024,2,3,1,1,1
W025,0.67,1,2,1.67,2
W026,5,0.5,1,1,0
W027,1,1,1,2.67,1.33
W028,1,1,3,0,0
W029,1.33,1,1.33,2.67,2
W030,2,1,0,3,0
W031,2.2,1.4,2.2,1.2,2.6
W032,1,0,-1,1,0
W033,0.67,0.67,1.67,1.67,1.33
W034,-1,-1,-1,1,0
W035,1,2,0.67,0.67,1.67
W036,4.5,0.5,1,1,2
W037,0.33,0.67,0.33,0,1
W038,3,1,0,0,0
W039,1.33,1,0.67,1,1.33
W040,0,1,0,0,0
W041,-0.4,0.6,1.2,0.4,0.6
W042,0,0,0,0,-1
W043,0,2,0,0.67,0.33
W044,0,3,1,0,1
W045,0,0,0.67,0.33,1.33
W046,1,1,0.5,0.5,0
W047,0,1.33,1,0.33,2
W048,2,1,1,0,0
W049,-0.33,0,-0.33,0,0
W050,0,1,0,0,0
W051,-0.2,0.8,0,0,0
