V1,V2,V3,V4,V5,V6
W000,12.4,10.8,7.6,9.2,6.8
W001,22.4,17,21.2,28.6,20.4
W002,25.67,15,14.33,24.33,15.33
W003,25,19,27,21.67,19.33
W004,26.33,21.33,26.67,29.67,23.67
W005,21,16.33,25,16.67,13.67
W006,18.25,25.75,16.5,19.5,14
W007,19.33,9.67,16.67,17.67,9.67
W008,5.33,6,4.67,6.67,5
W009,7.33,4,11.67,13,8.33
W010,5.67,8.67,7.67,9.33,2
W011,5.6,7.4,8.6,5,6.8
W012,5,7,3.33,5.67,8.67
W013,5.67,4,3.33,6,3.33
W014,2.67,3.67,4,9.33,10.33
W015,3.33,3.67,3,3.67,4.33
W016,5,3.75,3,5.25,5
W017,3,4.67,4.33,4,5.33
W018,7,2,0,3,1
W019,4.33,6.67,0.67,3.33,3.67
W020,2,5,8,3,4
W021,1.2,1.6,3.8,1.8,2.6
W022,3,6,5,0,2
W023,1.33,3.33,0,3,1.33
W024,2,0,0,2,0
W025,1.67,2,1.67,2,1.33
W026,1,1.5,1.5,0,0
W027,0.67,2,2.33,3,2
W028,2,0,2,2,2
W029,2.67,0.67,0.33,2,3.33
W030,-1,0,1,0,2
W031,3.8,2.2,1.6,3.2,2.8
W032,-1,0,0,0,0
W033,0.33,2.67,1,2,1.33
W034,0,2,0,1,5
W035,0.33,1,1,0.33,1.67
W036,0,4.5,1,1,0
W037,1.33,0.33,0.67,0,2.67
W038,-2,3,1,1,2
W039,0,1,1.67,0.33,1
W040,0,1,1,0,8
W041,0.8,0.4,0.8,0.4,0
W042,0,0,0,0,0
W043,0.67,0.33,1,0.67,1
W044,-1,0,1,1,0
W045,0.67,0.67,1.67,0.67,1
W046,2,1,1.5,0.5,0.5
W047,0.67,0,0,1,2.33
W048,0,1,0,0,3
W049,0.67,0,0,0.67,0.33
W050,0,0,0,2,0
W051,0.2,0.4,0.8,0.2,-0.2
