"Wash.number","Average","Median","SD"
"1","W000",5.47,5,3.12
"2","W001",12.3,12.5,5.23
"3","W002",15.37,15,5.18
"4","W003",13.1,14,3.35
"5","W004",15.17,15,4.73
"6","W005",11.37,11.5,3.57
"7","W006",13.03,13.5,4.5
"8","W007",10.3,9,3.92
"9","W008",9.2,9,3.85
"10","W009",10.3,10,3.28
"11","W010",9.93,9,4.54
"12","W011",6.57,7,2.25
"13","W012",9.3,8.5,4.68
"14","W013",8.67,8.5,3.9
"15","W014",8.53,8,4.55
"16","W015",6.3,7,3.29
"17","W018",7.45,7,3.27
"18","W019",5.97,6,2.98
"19","W020",4.23,4,2.47
"20","W021",5.83,5.5,3.36
"21","W022",4,4,2.65
"22","W023",4.73,4,3.48
"23","W025",4.8,4,3.86
"24","W027",2.4,2,2.3
"25","W029",3.13,3,1.31
"26","W031",2.47,3,1.74
"27","W033",2.87,3,2.03
"28","W035",2.63,2,1.43
"29","W037",3.03,3,1.65
"30","W039",2.7,2,1.8
"31","W041",1.4,1,1.4
