date,exp,wash,garment,band,sample,Before transfer,After transfer,value
20230620,MP,W000,G1,10,B,0,6,6
20230620,MP,W000,G1,1,B,0,3,3
20230620,MP,W000,G1,2,B,0,12,12
20230620,MP,W000,G1,3,B,1,10,9
20230620,MP,W000,G1,4,B,0,2,2
20230620,MP,W000,G1,5,B,0,2,2
20230620,MP,W000,G1,6,B,1,6,5
20230620,MP,W000,G1,7,B,1,5,4
20230620,MP,W000,G1,8,B,0,3,3
20230620,MP,W000,G1,9,B,0,9,9
20230620,MP,W000,G2,10,B,0,9,9
20230620,MP,W000,G2,1,B,0,7,7
20230620,MP,W000,G2,2,B,0,2,2
20230620,MP,W000,G2,3,B,0,3,3
20230620,MP,W000,G2,4,B,0,8,8
20230620,MP,W000,G2,5,B,0,5,5
20230620,MP,W000,G2,6,B,0,7,7
20230620,MP,W000,G2,7,B,0,2,2
20230620,MP,W000,G2,8,B,0,8,8
20230620,MP,W000,G2,9,B,0,5,5
20230620,MP,W000,G3,10,B,0,0,0
20230620,MP,W000,G3,1,B,0,11,11
20230620,MP,W000,G3,2,B,0,4,4
20230620,MP,W000,G3,3,B,0,5,5
20230620,MP,W000,G3,4,B,0,2,2
20230620,MP,W000,G3,5,B,0,8,8
20230620,MP,W000,G3,6,B,0,2,2
20230620,MP,W000,G3,7,B,0,4,4
20230620,MP,W000,G3,8,B,0,8,8
20230620,MP,W000,G3,9,B,0,9,9
20230626,MP,W001,G1,10,B,0,13,13
20230626,MP,W001,G1,1,B,0,14,14
20230626,MP,W001,G1,2,B,0,10,10
20230626,MP,W001,G1,3,B,0,9,9
20230626,MP,W001,G1,4,B,0,16,16
20230626,MP,W001,G1,5,B,0,11,11
20230626,MP,W001,G1,6,B,0,19,19
20230626,MP,W001,G1,7,B,0,20,20
20230626,MP,W001,G1,8,B,0,18,18
20230626,MP,W001,G1,9,B,0,15,15
20230626,MP,W001,G2,10,B,0,18,18
20230626,MP,W001,G2,1,B,0,11,11
20230626,MP,W001,G2,2,B,0,11,11
20230626,MP,W001,G2,3,B,0,5,5
20230626,MP,W001,G2,4,B,0,14,14
20230626,MP,W001,G2,5,B,0,6,6
20230626,MP,W001,G2,6,B,0,21,21
20230626,MP,W001,G2,7,B,0,10,10
20230626,MP,W001,G2,8,B,0,14,14
20230626,MP,W001,G2,9,B,0,14,14
20230626,MP,W001,G3,10,B,0,23,23
20230626,MP,W001,G3,1,B,0,6,6
20230626,MP,W001,G3,2,B,0,12,12
20230626,MP,W001,G3,3,B,0,9,9
20230626,MP,W001,G3,4,B,0,9,9
20230626,MP,W001,G3,5,B,1,5,4
20230626,MP,W001,G3,6,B,0,3,3
20230626,MP,W001,G3,7,B,0,14,14
20230626,MP,W001,G3,8,B,0,5,5
20230626,MP,W001,G3,9,B,0,15,15
20230626,MP,W002,G1,10,B,0,32,32
20230626,MP,W002,G1,1,B,1,17,16
20230626,MP,W002,G1,2,B,0,15,15
20230626,MP,W002,G1,3,B,0,16,16
20230626,MP,W002,G1,4,B,0,15,15
20230626,MP,W002,G1,5,B,1,14,13
20230626,MP,W002,G1,6,B,0,15,15
20230626,MP,W002,G1,7,B,0,17,17
20230626,MP,W002,G1,8,B,2,22,20
20230626,MP,W002,G1,9,B,1,19,18
20230626,MP,W002,G2,10,B,0,19,19
20230626,MP,W002,G2,1,B,0,15,15
20230626,MP,W002,G2,2,B,1,17,16
20230626,MP,W002,G2,3,B,0,10,10
20230626,MP,W002,G2,4,B,0,14,14
20230626,MP,W002,G2,5,B,0,10,10
20230626,MP,W002,G2,6,B,0,19,19
20230626,MP,W002,G2,7,B,2,13,11
20230626,MP,W002,G2,8,B,0,12,12
20230626,MP,W002,G2,9,B,0,13,13
20230626,MP,W002,G3,10,B,1,18,17
20230626,MP,W002,G3,1,B,0,23,23
20230626,MP,W002,G3,2,B,1,4,3
20230626,MP,W002,G3,3,B,0,8,8
20230626,MP,W002,G3,4,B,0,14,14
20230626,MP,W002,G3,5,B,0,10,10
20230626,MP,W002,G3,6,B,0,18,18
20230626,MP,W002,G3,7,B,0,14,14
20230626,MP,W002,G3,8,B,0,17,17
20230626,MP,W002,G3,9,B,1,22,21
20230628,MP,W003,G1,10,B,0,15,15
20230628,MP,W003,G1,1,B,0,14,14
20230628,MP,W003,G1,2,B,0,14,14
20230628,MP,W003,G1,3,B,0,7,7
20230628,MP,W003,G1,4,B,1,7,6
20230628,MP,W003,G1,5,B,0,17,17
20230628,MP,W003,G1,6,B,0,17,17
20230628,MP,W003,G1,7,B,0,16,16
20230628,MP,W003,G1,8,B,0,12,12
20230628,MP,W003,G1,9,B,0,19,19
20230628,MP,W003,G2,10,B,0,16,16
20230628,MP,W003,G2,1,B,0,10,10
20230628,MP,W003,G2,2,B,0,12,12
20230628,MP,W003,G2,3,B,0,15,15
20230628,MP,W003,G2,4,B,0,17,17
20230628,MP,W003,G2,5,B,0,11,11
20230628,MP,W003,G2,6,B,0,10,10
20230628,MP,W003,G2,7,B,0,10,10
20230628,MP,W003,G2,8,B,3,13,10
20230628,MP,W003,G2,9,B,0,16,16
20230628,MP,W003,G3,10,B,0,11,11
20230628,MP,W003,G3,1,B,0,12,12
20230628,MP,W003,G3,2,B,0,16,16
20230628,MP,W003,G3,3,B,0,11,11
20230628,MP,W003,G3,4,B,0,10,10
20230628,MP,W003,G3,5,B,0,14,14
20230628,MP,W003,G3,6,B,0,17,17
20230628,MP,W003,G3,7,B,0,15,15
20230628,MP,W003,G3,8,B,1,9,8
20230628,MP,W003,G3,9,B,0,15,15
20230628,MP,W004,G1,10,B,0,15,15
20230628,MP,W004,G1,1,B,0,13,13
20230628,MP,W004,G1,2,B,0,10,10
20230628,MP,W004,G1,3,B,0,20,20
20230628,MP,W004,G1,4,B,0,21,21
20230628,MP,W004,G1,5,B,1,19,18
20230628,MP,W004,G1,6,B,0,9,9
20230628,MP,W004,G1,7,B,0,19,19
20230628,MP,W004,G1,8,B,0,12,12
20230628,MP,W004,G1,9,B,1,13,12
20230628,MP,W004,G2,10,B,0,15,15
20230628,MP,W004,G2,1,B,0,17,17
20230628,MP,W004,G2,2,B,0,8,8
20230628,MP,W004,G2,3,B,0,18,18
20230628,MP,W004,G2,4,B,0,7,7
20230628,MP,W004,G2,5,B,0,14,14
20230628,MP,W004,G2,6,B,0,20,20
20230628,MP,W004,G2,7,B,0,20,20
20230628,MP,W004,G2,8,B,0,15,15
20230628,MP,W004,G2,9,B,0,18,18
20230628,MP,W004,G3,10,B,1,14,13
20230628,MP,W004,G3,1,B,0,10,10
20230628,MP,W004,G3,2,B,0,19,19
20230628,MP,W004,G3,3,B,0,12,12
20230628,MP,W004,G3,4,B,0,12,12
20230628,MP,W004,G3,5,B,0,11,11
20230628,MP,W004,G3,6,B,0,9,9
20230628,MP,W004,G3,7,B,0,22,22
20230628,MP,W004,G3,8,B,0,22,22
20230628,MP,W004,G3,9,B,0,24,24
20230629,MP,W005,G1,10,B,1,12,11
20230629,MP,W005,G1,1,B,0,10,10
20230629,MP,W005,G1,2,B,0,13,13
20230629,MP,W005,G1,3,B,1,7,6
20230629,MP,W005,G1,4,B,0,8,8
20230629,MP,W005,G1,5,B,2,10,8
20230629,MP,W005,G1,6,B,0,15,15
20230629,MP,W005,G1,7,B,0,20,20
20230629,MP,W005,G1,8,B,0,10,10
20230629,MP,W005,G1,9,B,0,11,11
20230629,MP,W005,G2,10,B,1,7,6
20230629,MP,W005,G2,1,B,0,16,16
20230629,MP,W005,G2,2,B,1,14,13
20230629,MP,W005,G2,3,B,0,8,8
20230629,MP,W005,G2,4,B,0,13,13
20230629,MP,W005,G2,5,B,1,13,12
20230629,MP,W005,G2,6,B,0,16,16
20230629,MP,W005,G2,7,B,0,11,11
20230629,MP,W005,G2,8,B,0,14,14
