wash,garment,band,orientation,condition,Before transfer,After transfer,value
W000,G1,10,perp,B,0,18,18
W000,G1,1,para,B,0,6,6
W000,G1,2,para,B,0,10,10
W000,G1,3,para,B,0,7,7
W000,G1,4,para,B,0,8,8
W000,G1,5,para,B,0,7,7
W000,G1,6,perp,B,0,12,12
W000,G1,7,perp,B,0,12,12
W000,G1,8,perp,B,0,9,9
W000,G1,9,perp,B,0,11,11
W000,G2,10,perp,B,0,11,11
W000,G2,1,para,B,0,6,6
W000,G2,2,para,B,0,4,4
W000,G2,3,para,B,0,4,4
W000,G2,4,para,B,0,5,5
W000,G2,5,para,B,0,10,10
W000,G2,6,perp,B,0,10,10
W000,G2,7,perp,B,0,12,12
W000,G2,8,perp,B,0,5,5
W000,G2,9,perp,B,0,16,16
W000,G3,10,perp,B,0,6,6
W000,G3,1,para,B,0,5,5
W000,G3,2,para,B,0,12,12
W000,G3,3,para,B,0,8,8
W000,G3,4,para,B,0,9,9
W000,G3,5,para,B,0,9,9
W000,G3,6,perp,B,0,4,4
W000,G3,7,perp,B,0,11,11
W000,G3,8,perp,B,1,12,11
W000,G3,9,perp,B,0,6,6
W000,G4,10,perp,B,0,12,12
W000,G4,1,para,B,0,7,7
W000,G4,2,para,B,0,2,2
W000,G4,3,para,B,0,7,7
W000,G4,4,para,B,0,5,5
W000,G4,5,para,B,0,6,6
W000,G4,6,perp,B,0,6,6
W000,G4,7,perp,B,0,7,7
W000,G4,8,perp,B,0,11,11
W000,G4,9,perp,B,0,10,10
W000,G5,10,perp,B,0,4,4
W000,G5,1,para,B,0,3,3
W000,G5,2,para,B,0,10,10
W000,G5,3,para,B,0,2,2
W000,G5,4,para,B,0,6,6
W000,G5,5,para,B,0,5,5
W000,G5,6,perp,B,0,8,8
W000,G5,7,perp,B,0,4,4
W000,G5,8,perp,B,0,13,13
W000,G5,9,perp,B,0,5,5
W001,G1,10,perp,B,0,14,14
W001,G1,1,para,B,0,24,24
W001,G1,2,para,B,0,13,13
W001,G1,3,para,B,0,22,22
W001,G1,4,para,B,0,9,9
W001,G1,5,para,B,0,15,15
W001,G1,6,perp,B,0,23,23
W001,G1,7,perp,B,0,36,36
W001,G1,8,perp,B,0,28,28
W001,G1,9,perp,B,0,11,11
W001,G2,10,perp,B,0,15,15
W001,G2,1,para,B,0,18,18
W001,G2,2,para,B,0,21,21
W001,G2,3,para,B,0,16,16
W001,G2,4,para,B,0,16,16
W001,G2,5,para,B,0,19,19
W001,G2,6,perp,B,0,16,16
W001,G2,7,perp,B,0,28,28
W001,G2,8,perp,B,0,11,11
W001,G2,9,perp,B,0,15,15
W001,G3,10,perp,B,0,19,19
W001,G3,1,para,B,0,11,11
W001,G3,2,para,B,0,17,17
W001,G3,3,para,B,0,15,15
W001,G3,4,para,B,0,16,16
W001,G3,5,para,B,0,26,26
W001,G3,6,perp,B,0,33,33
W001,G3,7,perp,B,0,20,20
W001,G3,8,perp,B,0,16,16
W001,G3,9,perp,B,0,18,18
W001,G4,10,perp,B,0,24,24
W001,G4,1,para,B,0,19,19
W001,G4,2,para,B,0,16,16
W001,G4,3,para,B,0,22,22
W001,G4,4,para,B,0,11,11
W001,G4,5,para,B,0,20,20
W001,G4,6,perp,B,0,31,31
W001,G4,7,perp,B,0,21,21
W001,G4,8,perp,B,0,34,34
W001,G4,9,perp,B,0,33,33
W001,G5,10,perp,B,0,20,20
W001,G5,1,para,B,0,24,24
W001,G5,2,para,B,0,19,19
W001,G5,3,para,B,0,19,19
W001,G5,4,para,B,0,14,14
W001,G5,5,para,B,0,11,11
W001,G5,6,perp,B,0,25,25
W001,G5,7,perp,B,0,25,25
W001,G5,8,perp,B,1,21,20
W001,G5,9,perp,B,0,12,12
W002,G1,1,para,B,1,18,17
W002,G1,2,para,B,0,10,10
W002,G1,3,para,B,0,16,16
W002,G1,6,perp,B,0,22,22
W002,G1,7,perp,B,0,34,34
W002,G1,8,perp,B,0,21,21
W002,G2,1,para,B,0,23,23
W002,G2,2,para,B,0,23,23
W002,G2,3,para,B,0,15,15
W002,G2,6,perp,B,0,17,17
W002,G2,7,perp,B,0,16,16
W002,G2,8,perp,B,0,12,12
W002,G3,1,para,B,1,27,26
W002,G3,2,para,B,0,10,10
W002,G3,3,para,B,0,13,13
W002,G3,6,perp,B,0,13,13
W002,G3,7,perp,B,0,16,16
W002,G3,8,perp,B,0,14,14
W002,G4,1,para,B,0,17,17
W002,G4,2,para,B,0,24,24
W002,G4,3,para,B,0,16,16
W002,G4,6,perp,B,0,25,25
W002,G4,7,perp,B,0,20,20
W002,G4,8,perp,B,0,28,28
W002,G5,1,para,B,0,21,21
W002,G5,2,para,B,0,18,18
W002,G5,3,para,B,0,20,20
